HALLWAY - DAY- CONTINUOUS		BOY	  Hey, Bianca.	GIRL	 Awesome shoes.	GUIDANCE COUNSELOR'S OFFICE - DAY		10 Things I Hate About You 	adoring
MICHAEL	 (continuing) Derek - save some for after lunch, bub?	DEREK	  Michael, my brother, peace	CAMERON	 So where do you fit in all this?			10 Things I Hate About You 	very stoned
ENGLISH CLASS - DAY		MRS. BLAISE	 Well, then.  Oh, yes.  I guess that does it for our analysis of The Old Man and the Sea.  Any other comments?  Kat?	KAT	 Why didn't we just read the Hardy Boys?	MRS. BLAISE	 I'm sorry?	10 Things I Hate About You 	with dread
GOD!"		TEACHER (0.S.)	  Ms. Stratford, do you care to comment on what you've read so far?	BIANCA	 Not really.	TEACHER	 Mandella -- since you're assisting us, you might as well comment.  I'm assuming you read the assignment.	10 Things I Hate About You 	continuing
MANDELIA	 The whole folio.  All the plays.	TEACHER	  You've read every play by William Shakespeare?	MANDELLA	 Haven't you?			10 Things I Hate About You 	disbelieving
KAT	 Yeah, and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.	JOEY	  They're running the rest of me next month.	KAT	 The people at this school are so incredibly foul.	MANDELLA	 You could always go with me.  I'm sure William has some friends.	10 Things I Hate About You 	practically spitting
MANDELLA	 That's a charming new development	KAT	  Remove head from sphincter!  Then pedal!	CAMERON	 You all right?	MICHAEL	 Yeah, just a minor encounter with the shrew.	10 Things I Hate About You 	yelling
SHARON	 In the microwave.	WALTER	  Make anyone cry today?	KAT	 Sadly, no.  But it's only four-thirty.	KAT	 (continuing) Where've you been?	10 Things I Hate About You 	to Kat
KAT	 (continuing) Where've you been?	BIANCA	  Nowhere... Hi, Daddy.	WALTER	 Hello, precious.	KAT	 How touching.	10 Things I Hate About You 	eyeing Walter
SHARON	 Swollen...turgid.	WALTER	  Who drove you home?	BIANCA	 Now don't get upset. Daddy, but there's this boy... and I think he might ask...	WALTER	 No! You're not dating until your sister starts dating.  End of discussion.	10 Things I Hate About You 	to Bianca; upset
WALTER	 (continuing) Do you know what this is?	BIANCA AND WALTER	  The sound of a fifteen-year-old in labor.	WALTER	 This is why you're not dating until your sister does.	BIANCA	 But she doesn't want to date.	10 Things I Hate About You 	in unison, by rote
SHARON	 Tumescent!	WALTER	  You're not helping.					10 Things I Hate About You 	to Sharon; as he leaves
BIANCA	 Not the hacking and gagging and spitting part.  Please.	CAMERON	  Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?	BIANCA	 You're asking me out.  That's so cute. What's your name again?	CAMERON	 (embarrassed) Forget it.	10 Things I Hate About You 	looking down
BIANCA	 You're asking me out.  That's so cute. What's your name again?	CAMERON	  Forget it.	BIANCA	 No, no, it's my fault -- we didn't have a proper introduction ---	CAMERON	 Cameron.	10 Things I Hate About You 	embarrassed
CAMERON	 What about him?	MICHAEL	  You wanna go out with him?	CAMERON	 (impatient) No - he could wrangle with the sister.	MICHAEL	 What makes you think he'll do it?	10 Things I Hate About You 	confused
MICHAEL	 (confused) You wanna go out with him?	CAMERON	  No - he could wrangle with the sister.	MICHAEL	 What makes you think he'll do it?	CAMERON	 He seems like he thrives on danger	10 Things I Hate About You 	impatient
JOEY	 We're not.	MICHAEL	  Hear me out.  You want Bianca don't you?	MICHAEL	 (continuing) But she can't go out with you because her sister is this insane head case and no one will go out with her. right?	JOEY	 Does this conversation have a purpose?	10 Things I Hate About You 	grimacing
TREVOR	 You're a freedom fighter. Be proud, sister.	MANDELLA	  It's Mandella with two L's.  I am not related to Nelson Mandela.  I am not a political figure.  I do not live in South Africa.  My parents just spent a few too many acid trips thinking they were revolutionaries.	TREVOR	 But you freed our people	MANDELLA	 Your "people" are white, suburban high school boys who smoke too much hemp.  I have not freed you, Trevor. (grabbing his arm dramatically) Only you can free yourself.	10 Things I Hate About You 	rotely
TREVOR	 But you freed our people	MANDELLA	 Your "people" are white, suburban high school boys who smoke too much hemp.  I have not freed you, Trevor.  Only you can free yourself.					10 Things I Hate About You 	grabbing his arm dramatically
BIANCA	 Where?	CAMERON	 I guess he didn't see me  Some other time --	BIANCA	 My God, he's repulsive. He's so perfect!			10 Things I Hate About You 	calling after Patrick
JOEY	 But you'd go out with her if you had the cake?	PATRICK	  Yeah, I'd take her to Europe if I had the plane.	JOEY	 You got it, Verona.  I pick up the tab, you do the honors.	PATRICK	 You're gonna pay me to take out some girl?	10 Things I Hate About You 	sarcastic
PATRICK	 (continuing) I mean Wo-man.  How ya doin'?	KAT	  Sweating like a pig, actually.  And yourself?	PATRICK	 There's a way to get a guy's attention.	KAT	 My mission in life.	10 Things I Hate About You 	smiles brightly
KAT	 Doubtful.  Very doubtful.	PATRICK	  You're no bargain either, sweetheart.	SCURVY	 So I guess the Jeep won't be getting a new Blaupunkt.	MICHAEL	 He took the bait.	10 Things I Hate About You 	calling after her
WALTER	 You're eighteen.  You don't know what you want.  You won't know until you're forty-five and you don't have it.	KAT	  I want to go to an East Coast school! I want you to trust me to make my own choices.  I want --	WALTER	 Christ!  I want a night to go by that I'm not staring a contraction in the face.			10 Things I Hate About You 	emphatic
PATRICK	 I just upped my price	JOEY	  What?	PATRICK	 A hundred bucks a date.	JOEY	 Forget it.	10 Things I Hate About You 	turning
BIANCA	 You're sweet.	CAMERON	  How do you get your hair to look like that?	BIANCA	 Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment.	CAMERON	 You know, I read an article about that.	10 Things I Hate About You 	appreciative
PATRICK	 (without turning around) Say it	MICHAEL	  What?	PATRICK	 Whatever the hell it is you're standin' there waitin' to say.	CAMERON	 We wanted to talk to you about the plan.	10 Things I Hate About You 	clearing his throat
PATRICK	 You two are gonna help me tame the wild beast?	MICHAEL	  We're your guys.	CAMERON	 And he means that strictly in a non- prison-movie type of way.	PATRICK	 Yeah -- we'll see.	10 Things I Hate About You 	grinning
CAMERON	 Sure have.	BIANCA	  I really, really, really wanna go, but I can't.  Not unless my sister goes.	CAMERON	 I'm workin' on it. But she doesn't seem to be goin' for him.	CAMERON	 (continuing) She's not a...	10 Things I Hate About You 	pouting
CAMERON	 I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.	MICHAEL	 	PATRICK	 What?!	MICHAEL	 Good enough.	10 Things I Hate About You 	to Patrick
MICHAEL	 Dead at forty-one.	PATRICK	 Are you telling me I'm a -  "non-smoker"?	MICHAEL	 Just for now.	CAMERON	 Another thing.  Bianca said that Kat likes -- pretty guys.	10 Things I Hate About You 	spits the word out
MICHAEL	 I also retrieved a list of her most recent CD purchases, courtesy of American Express.	PATRICK	  Michael -- did you get this information "illegally"?	MICHAEL	 I prefer to think of it simply as an alternative to what the law allows.	PATRICK	 I'm likin' you guys better	10 Things I Hate About You 	smiling
KAT	 It means that Gigglepuss is playing at Club Skunk and we're going.	BIANCA	  Oh, I thought you might have a date (beat	KAT	 What do you think?	BIANCA	 I think you're a freak.  I think you do this to torture me.  And I think you suck.	10 Things I Hate About You 	disappointed
MANDELLA	 I'll bet you can..	BRUCE	 Go ahead.  And you	MANDELLA	 (all come hither) Yes?	BRUCE	 Take it easy on the guys in there.	10 Things I Hate About You 	to Mandella
BRUCE	 Go ahead. (to Mandella) And you	MANDELLA	  Yes?	BRUCE	 Take it easy on the guys in there.			10 Things I Hate About You 	all come hither
