A WOMAN		JO	 I'm requesting... I'm... Captain, I'd like to request that I be the attorney assigned to rep -- I'd like to request that it be myself who is assigned to represent -- (she stops) "That it be myself who is assigned to represent"? ...Good, Jo, that's confidence inspiring.	UNITED STATES NAVY - JUDGE ADVOCATE GENERAL'S CORPS				A Few Good Men 
GIBBS	 Captain West, this is Lt. Commander Galloway. Jo, you know Mike Lawrence.	JO	 Yes sir. (to WEST) Captain, I appreciate your seeing me on such short notice.	WEST	 I understand there was some trouble over the weekend down in Cuba.	JO	 Yes sir... This past Friday evening. Two marines, Corporal Harold Dawson and Private Louden Downey, entered the barracks room of a PFC William Santiago and assaulted him. Santiago died at the base hospital approximately an hour later. The NIS agent who took their statements maintains they were trying to prevent Santiago from naming them in a fenceline shooting incident. They're scheduled to have a hearing down in Cuba at 4:00 this afternoon.	A Few Good Men 
JO	 Dawson and Downey are both recruiting poster marines and Santiago was known to be a screw-up. I was thinking that it sounded an awful lot like a code red.	WEST	 (under his breath) Christ.	JO	 I'd like them moved up to Washington and assigned counsel. Someone who can really look into this. Someone who possesses not only the legal skill, but a familiarity with the inner workings of the military. In short, Captain, I'd like to suggest that... I be the one who, that it be me who is assigned to represent them. (beat) Myself.	WEST	 Joanne, why don't you get yourself a cup of coffee.	A Few Good Men 
WEST	 (under his breath) Christ.	JO	 I'd like them moved up to Washington and assigned counsel. Someone who can really look into this. Someone who possesses not only the legal skill, but a familiarity with the inner workings of the military. In short, Captain, I'd like to suggest that... I be the one who, that it be me who is assigned to represent them. (beat) Myself.	WEST	 Joanne, why don't you get yourself a cup of coffee.	JO	 Thank you, sir, I'm fine.	A Few Good Men 
WEST	 And I'll have Division assign them counsel...	JO	 (beat) But... not me.	WEST	 From what I understand from your colleagues, you're much too valuable in your present assignment to be wasted on what I'm sure will boil down to a five minute plea bargain and a week's worth of paper work.	JO	 Sir --	A Few Good Men 
THE RIGHT MAN FOR THE JOB		KAFFEE	 (calling out to the team) Alright, let's get two!	SECOND BASE	 Sorry!	KAFFEE	 Nothing to be sorry about, Sherby. Just look the ball into your glove.	A Few Good Men 
SPRADLING	 Kaffee!!	KAFFEE	 (turning) Dave. You seem upset and distraught.	SPRADLING	 We were supposed to meet in your office 15 minutes ago to talk about the McDermott case. You're stalling on this thing. Now we got this done and I mean now, or no kidding, Kaffee, I'll hang your boy from a fuckin' yardarm.	KAFFEE	 A yardarm? (calling out) Sherby, does the Navy still hang people from yardarms?	A Few Good Men 
SPRADLING	 We were supposed to meet in your office 15 minutes ago to talk about the McDermott case. You're stalling on this thing. Now we got this done and I mean now, or no kidding, Kaffee, I'll hang your boy from a fuckin' yardarm.	KAFFEE	 A yardarm? (calling out) Sherby, does the Navy still hang people from yardarms?	SHERBY	 (calling back) I don't think so, Danny.	KAFFEE	 (back to SPRADLING) Dave, Sherby doesn't think the Navy hangs people from yardarms anymore. (back to the field) Let's go, let's get two!	A Few Good Men 
KAFFEE	 A yardarm? (calling out) Sherby, does the Navy still hang people from yardarms?	SHERBY	 (calling back) I don't think so, Danny.	KAFFEE	 (back to SPRADLING) Dave, Sherby doesn't think the Navy hangs people from yardarms anymore. (back to the field) Let's go, let's get two!	SPRADLING	 I'm gonna charge him with possession and being under the influence while on duty. Plead guilty and I'll recommend 30 days in the brig with loss of rank and pay.	A Few Good Men 
SHERBY	 (calling back) I don't think so, Danny.	KAFFEE	 (back to SPRADLING) Dave, Sherby doesn't think the Navy hangs people from yardarms anymore. (back to the field) Let's go, let's get two!	SPRADLING	 I'm gonna charge him with possession and being under the influence while on duty. Plead guilty and I'll recommend 30 days in the brig with loss of rank and pay.	KAFFEE	 It was oregano, Dave, it was ten dollars worth of oregano.	A Few Good Men 
WHITAKER	 'Morning.	LAWYERS	 (school class) 'Morning Captain Whitaker.	WHITAKER	 Sam, how's the baby?	SAM	 I think she's ready to say her first word any day now.	A Few Good Men 
