FOX	 We're all C.I.A. But these guys are from a page that ain't on the map. 10   EXT. JUNGLE - LATE AFTERNOON Nico in the point,   leading Fox and the three CIT (Chemical Interrogation Team)   men down an unmarked, twisting trail. We see from Nico's   gait that he is athletic, a born leader and totally at home   in the jungle.	11   TRAIL - LATE AFTERNOON	 snakes along a ridge line, high enough to give us a view and let us know these guys are way out in the boonies.	ZAGON	 How long till we're across the border?			Above the Law 
ZAGON	 What are you looking at, hotshot?	NICO	 (indicates cigarette glow) Why don't you light a bonfire?	ZAGON	 Just drive the taxi, ace.			Above the Law 
FOX	 (to Zagon) They're in there.	NICO	 I don't trust these yo-yo's.	15   FULL SHOT - BASE CAMP	 We see Nico moving like a shadow from one defensive position to another, checking the perimeter. We can vaguely hear him ROUSTING the Cambodian lookouts, speaking in dialect.			Above the Law 
ZAGON	 Don't you die on me, fucker --	FOX	 (from the side) What the hell's wrong?	ZAGON	 (throws the prisoner down) This pussy can't hold his liquor.	23   NICO	 enters at this point. He takes in the scene quickly, moves to a spot beside the entrance. Zagon doesn't look at Nico, but it's plain he is aware of Nico's presence. It is as if he wants to prove something to this muscular kid -- and prove it to the others, too.	Above the Law 
FOX	 (from the side) What the hell's wrong?	ZAGON	 (throws the prisoner down) This pussy can't hold his liquor.	23   NICO	 enters at this point. He takes in the scene quickly, moves to a spot beside the entrance. Zagon doesn't look at Nico, but it's plain he is aware of Nico's presence. It is as if he wants to prove something to this muscular kid -- and prove it to the others, too.	24   FIRST PRISONER	 dies in agony on the ground.	Above the Law 
25   SECOND PRISONER	 watches with eyes like flint. He is in his mid-forties, scarred, missing several fingers. Probably a colonel or higher, he looks like he's been fighting these round-eyes since the French in the 50's. He is plainly one tough customer. The second prisoner meets Zagon's eyes, as if daring him to use the drugs on him, too. Zagon eyes the prisoner with barely contained hatred. The prisoner doesn't back down an inch.	ZAGON	 (to second prisoner) So my little doctor bag doesn't                      * scare you, eh? Well I don't need                     * it to open your yap.                                 * Zagon reaches to a scabbard on his Western belt, pulls out a fearsome serrated blade -- a cross between a bowie knife and a scalpel. He steps toward the prisoner, displaying the blade in the lantern light.	26   NICO	 watches impassively.	ZAGON (O.S.)	 (to prisoner) Where's our load, you sack of slime? What did you do with my shit? --	Above the Law 
26   NICO	 watches impassively.	ZAGON (O.S.)	 (to prisoner) Where's our load, you sack of slime? What did you do with my shit? --	27   ZAGON	 punches  the prisoner full in the face, holding the knife handle  in his fist to double the force of the blow and to terrify  him with the proximity of the blade. The prisoner crashes  sideways, face bloody --	ZAGON	 I'm gonna teach you good. I'm gonna teach you never to fuck with my opium --	Above the Law 
29   NICO		ZAGON	 (to prisoner) You're a hard nigger, aren't you, boy? You took it from the Chinks... you took it from the French. You'll be fucked if some Yankee peckerwood's gonna start your gums flapping -- Nico watches Zagon move the knife blade closer to the prisoner.	ZAGON	 -- Well, you're gonna chirp for me, tough guy. You're gonna sing like a choir --	NICO	 What the fuck does this have to do with military intelligence?	Above the Law 
ZAGON	 Your orders are 'assist and observe' cherry -- Zagon turns to face Nico --	FOX	 (to Nico) Back off, partner -- Zagon turns from Nico. He moves close to the second prisoner, close as a lover, displaying the blade in the lamplight.	ZAGON	 (to second prisoner) I'm gonna start carving at your ankles. We'll throw your feet in that box right over there. Then I'm gonna take off your arms -- One of the CIT men yanks the prisoner's leg forward, clamping it to the ground with his hands. The prisoner still hasn't flinched. He seems as locked into this dance of death as Zagon.	NICO	 (can't take much more) Fox --	Above the Law 
FOX	 (to Nico) Back off, partner -- Zagon turns from Nico. He moves close to the second prisoner, close as a lover, displaying the blade in the lamplight.	ZAGON	 (to second prisoner) I'm gonna start carving at your ankles. We'll throw your feet in that box right over there. Then I'm gonna take off your arms -- One of the CIT men yanks the prisoner's leg forward, clamping it to the ground with his hands. The prisoner still hasn't flinched. He seems as locked into this dance of death as Zagon.	NICO	 (can't take much more) Fox --	FOX	 Shut up, Nico.	Above the Law 
ZAGON	 (to second prisoner) I'm gonna start carving at your ankles. We'll throw your feet in that box right over there. Then I'm gonna take off your arms -- One of the CIT men yanks the prisoner's leg forward, clamping it to the ground with his hands. The prisoner still hasn't flinched. He seems as locked into this dance of death as Zagon.	NICO	 (can't take much more) Fox --	FOX	 Shut up, Nico.	ZAGON	 You can disappear as easy as this slope, kid --	Above the Law 
FOX	 I'll cover this. Get back to the	L.Z. --	 (as Nico resists) -- I'll fix it! Get out! Get the fuck outa here! The CIT man calls out to the Cambodian troops, in dialect, pointing at Nico. The soldiers start toward Nico, as if to seize him. Fox, too, starts yelling to the troops in dialect, apparently countermanding the orders of the CIT men. The troops, confused, hold up for a moment.	FOX	 (to Nico) I'll call for a chopper... get outa here!	31   CHURCH STEEPLE - DAY		Above the Law 
