LUTHER	 (as they nod to each other) Redhead.	RED	 Luther. (as Luther hands him a videotape) Your life would be a whole lot simpler if you could learn to operate a V.C.R.	LUTHER	 My only failing.			Absolute Power 
39   CONTINUED:                                                       39		CHRISTY	 (drunk) It's okay -- I told him I was sick -- anyway, he's gone -- relax...					Absolute Power 
62   CONTINUED:                                                     62	 Richmond, from her POINT OF VIEW -- a wonderfully- handsome man. Christy, from his POINT OF VIEW. A glorious, vibrant young woman. She smiles, touches her lips to a finger, reaches out, touches the finger to his mouth.	CHRISTY	 (slurred) You fucking bastard.					Absolute Power 
64   CONTINUED:                                                      64		RICHMOND	 (very slurred --) You little whore --	64   CONTINUED:   (2)                                              64				Absolute Power 
BURTON	 Jesus, Tim, what did we do?	COLLIN	 (echoing Burton) No choice in the matter.					Absolute Power 
70    CONTINUED:                                                  70		RUSSELL	 (to Burton and Collin) Do you realize what a shitstorm we're in? (beat) Go on -- tell me.	COLLIN	 Nothing to tell. He screamed.	RUSSELL	 And you heard no sounds of violence 'til then?	Absolute Power 
RUSSELL	 And you heard no sounds of violence 'til then?	BURTON	 (beat) Nothing we haven't heard before.	BURTON	 Maybe I should call the police now.	RUSSELL	 (soft) Bill?     Why don't you think about that? (beat -- starting to move toward him) Take a second and just think about that. (closing in on Burton, furious) Think... real... fucking... hard.	Absolute Power 
BURTON	 Maybe I should call the police now.	RUSSELL	 (soft) Bill?     Why don't you think about that? (beat -- starting to move toward him) Take a second and just think about that. (closing in on Burton, furious) Think... real... fucking... hard.	BURTON                                                           *		BURTON	 (backing away) Probably not a good idea.	Absolute Power 
BURTON	 (backing away) Probably not a good idea.	RUSSELL	 (taking charge) Okay -- here's what happened tonight -- poor Christy came home alone and interrupted a burglary. That sound logical?					Absolute Power 
RUSSELL	 We're going to have to sanitize this place. (shaking Richmond) Alan, did you have sex with her?	RICHMOND	 ... Don'... 'member...	RUSSELL	 Bill, you're going to have to examine her.			Absolute Power 
BURTON	 I'm no gynecologist.	RUSSELL	 (she takes nothing from nobody) I just made you one.					Absolute Power 
RUSSELL	 I'll take that.	COLLIN	 (surprised) It's got their prints on it.	RUSSELL	 (she holds out her hand) Thanks for sharing.	RICHMOND	 Gloria -- I killed her --	Absolute Power 
COLLIN	 (surprised) It's got their prints on it.	RUSSELL	 (she holds out her hand) Thanks for sharing.	RICHMOND	 Gloria -- I killed her --			Absolute Power 
75   CONTINUED:                                                   75		RUSSELL	 ... I'll take care of everything just like I always do. (to Burton and Collin) Gentlemen?					Absolute Power 
RUSSELL	 (close to losing it) Gee, guys, maybe it was the bogeyman -- don't forget to check under the bed -- (exploding) -- You may have buried us! --	COLLIN	 -- relax, I got his license number, remember? --	RUSSELL	 (whirling on him) -- you think he's going to just sit around waiting for us? -- Asshole --			Absolute Power 
COLLIN	 -- relax, I got his license number, remember? --	RUSSELL	 (whirling on him) -- you think he's going to just sit around waiting for us? -- Asshole --	COLLIN	 -- take it easy, Miss Russell --	129   CONTINUED:                                                      129		Absolute Power 
129   CONTINUED:                                                      129		BURTON	 (trying for calm) -- everybody shut up, all right?	BURTON	 Oh boy...			Absolute Power 
