GIRL STUDENT	 You work with your hands, don't you? An enigmatic smile.    Now, from that -- A nice working class part of town. Nothing fancy here but there's a pleasant feel. The streets are clean, the houses neat and well tended. Luther, carrying his sketchbook, walks along. It's afternoon now. Up ahead is a local bar: RED'S. Luther walks in. Nothing fancy here. Strictly working class. And relatively empty. An overweight bald man Luther's age works behind the bar. This is RED. They are good enough friends not to ask each other questions.	LUTHER	 (as they nod to each other) Redhead.	RED	 Luther. (as Luther hands him a videotape) Your life would be a whole lot simpler if you could learn to operate a V.C.R.	LUTHER	 My only failing. As he turns -- A street of   small row houses. Clean, well tended. Luther walks   toward one. Later in the afternoon. He carries half   a dozen small shopping bags, from the market, the   hardware store, the drug store, the cleaners.	Absolute-Power
LUTHER	 (as they nod to each other) Redhead.	RED	 Luther. (as Luther hands him a videotape) Your life would be a whole lot simpler if you could learn to operate a V.C.R.	LUTHER	 My only failing. As he turns -- A street of   small row houses. Clean, well tended. Luther walks   toward one. Later in the afternoon. He carries half   a dozen small shopping bags, from the market, the   hardware store, the drug store, the cleaners. A terra cotta planter to the right of the front door. Luther shifts his packages, tilts the planter slightly, bends down, pulls out a key, inserts it in the front door. as he enters. Neat, tidy. A Cuisinart, a cheese slicer, lots of other nice equipment. As he begins putting food away -- Evening now. Table set for one. A single candle. Beside the candle is Luther's sketch pad. Now Luther himself moves INTO VIEW, carrying a tray. He puts it down. A gorgeous omelet is on a fine china plate, parsley sprinkled neatly on top. An elegant green salad is on another plate, covered with thinly sliced parmesan cheese. An expensive water pitcher, a lovely glass. Clearly, a great deal of thought has gone into dinner. Luther lights the single candle. We are now aware of a photograph nearby. The picture is old. A pretty little girl stands in the center, smiling. Her mother stands alongside, smiling too. A man is with them, looking at them happily. It's Luther. When he was young. Luther studies the photo a moment.    Then he turns, looks out the window. is visible.     Lovely.   Peaceful. Now Luther opens the sketch pad, quickly flips past the hands and eyes and faces -- -- we are looking at something totally different:   a mansion. HOLD ON Luther's drawing of the mansion.			Absolute-Power
BURTON	 Jesus, Tim, what did we do?	COLLIN	 (echoing Burton) No choice in the matter. Luther, staring at it all. The shock is still there but so is something new: anger. And on that -- GLORIA RUSSELL moving through the bedroom door. Russell's 40, well-dressed, attractive and very smart. Now she sees what's happened, stops dead. Now she moves forward, looks at Burton and Collin.    It's very clear from the outset: these three are not friendly.	RUSSELL	 (to Burton and Collin) Do you realize what a shitstorm we're in? (beat) Go on -- tell me.	COLLIN	 Nothing to tell. He screamed.	Absolute-Power
COLLIN	 (echoing Burton) No choice in the matter. Luther, staring at it all. The shock is still there but so is something new: anger. And on that -- GLORIA RUSSELL moving through the bedroom door. Russell's 40, well-dressed, attractive and very smart. Now she sees what's happened, stops dead. Now she moves forward, looks at Burton and Collin.    It's very clear from the outset: these three are not friendly.	RUSSELL	 (to Burton and Collin) Do you realize what a shitstorm we're in? (beat) Go on -- tell me.	COLLIN	 Nothing to tell. He screamed.	RUSSELL	 And you heard no sounds of violence 'til then?	Absolute-Power
RUSSELL	 And you heard no sounds of violence 'til then?	BURTON	 (beat) Nothing we haven't heard before. Richmond, on the bed, out. Russell studies his face as Burton moves toward the telephone.	BURTON	 Maybe I should call the police now.	RUSSELL	 (soft) Bill?     Why don't you think about that? (beat -- starting to move toward him) Take a second and just think about that. (closing in on Burton, furious) Think... real... fucking... hard.	Absolute-Power
BURTON	 Maybe I should call the police now.	RUSSELL	 (soft) Bill?     Why don't you think about that? (beat -- starting to move toward him) Take a second and just think about that. (closing in on Burton, furious) Think... real... fucking... hard.	BURTON                                                           *	 He is strong enough to snap her neck with one hand.	BURTON	 (backing away) Probably not a good idea.	Absolute-Power
BURTON	 (backing away) Probably not a good idea.	RUSSELL	 (taking charge) Okay -- here's what happened tonight -- poor Christy came home alone and interrupted a burglary. That sound logical? Luther in the closet.    He nods. Burton and Collin nod, too.	RUSSELL	 We're going to have to sanitize this place. (shaking Richmond) Alan, did you have sex with her? Richmond, eyes barely open.			Absolute-Power
BURTON	 I'm no gynecologist.	RUSSELL	 (she takes nothing from nobody) I just made you one. End of discussion. A clock on the side table beside the three clickers. There is the sound of a VACUUM -- it's later now. The place is incredibly changed. Christy is lying as before -- except now she is fully dressed. The bed has been made with clean sheets. There is a large black garbage bag that Collin shoves the sheets in, dumps in Christy's jewelry. Burton is VACUUMING the rug. Richmond is visible, still in terrible shape, finishing putting his clothes on in the open master bedroom. Everyone wears gloves. Everything that is incriminating is gone -- -- except the letter opener, which has been put in a clear plastic bag. Collin reaches for it, starts to dump it in along with the sheets and the jewelry.	RUSSELL	 I'll take that.			Absolute-Power
RUSSELL	 I'll take that.	COLLIN	 (surprised) It's got their prints on it.	RUSSELL	 (she holds out her hand) Thanks for sharing. Collin glances at Burton, shrugs, hands it over. Russell puts it in her handbag, puts the handbag on the bed table when suddenly -- Richmond, careening into the room, wide-eyed, crying out --	RICHMOND	 Gloria -- I killed her -- Russell, turning, shocked as Richmond bears down -- -- she holds out her arms for him, but he is staggering and he collides hard with her, spins against the wall, uses the bed table to try to steady himself. Luther, stunned, staring. What he's staring at: the letter opener has spilled from her open purse and fallen behind the bed, out of sight. Russell, calm, going to Richmond, starting to lead him from the room --	Absolute-Power
COLLIN	 (surprised) It's got their prints on it.	RUSSELL	 (she holds out her hand) Thanks for sharing. Collin glances at Burton, shrugs, hands it over. Russell puts it in her handbag, puts the handbag on the bed table when suddenly -- Richmond, careening into the room, wide-eyed, crying out --	RICHMOND	 Gloria -- I killed her -- Russell, turning, shocked as Richmond bears down -- -- she holds out her arms for him, but he is staggering and he collides hard with her, spins against the wall, uses the bed table to try to steady himself. Luther, stunned, staring. What he's staring at: the letter opener has spilled from her open purse and fallen behind the bed, out of sight. Russell, calm, going to Richmond, starting to lead him from the room --	RUSSELL	 It's all going to be fine, Alan.	Absolute-Power
RUSSELL	 ... I'll take care of everything just like I always do. (to Burton and Collin) Gentlemen? She gestures to leave. Burton and Collin finish up -- Collin grabs the large plastic bag. Burton glances around one final time and backs toward the door, vacuuming carefully. Then -- Collin stops dead.   He stares across at the bed table. Luther, holding his breath.	COLLIN	 Shit.	BURTON	 What? In reply, Collin dashes back toward the bed table, grabs Russell's purse, snaps it shut, tucks it under one arm and leaves. Burton flicks the light out, closes the door. The room is lit by moonlight now. Christy looks beautiful and still. HOLD for a moment. It's open and Russell leads a staggering Richmond outside. Two dark Towncars are parked in the driveway. Burton is behind them, turning off all lights. Collin is last, with Russell's purse, the garbage bag. As he follows them outside, he closes the front door firmly -- it makes a loud, solid sound. The sound is barely audible.   He has been looking at his watch --			Absolute-Power
