BARNES	 Still diving, depth nine hundred feet.  Port clearance to cliff wall, one hundred fifty feet.	FRANK	 (simultaneously) Still diving, depth nine hundred feet.  Port clearance to cliff wall, one hundred fifty feet.	EXEC	 (low, to Captain) It's getting tight in here.	CAPTAIN	 We can still give him a haircut.  Helm, come right to oh six niner, down five degrees.	Abyss,-The
FRANK	 (simultaneously) Still diving, depth nine hundred feet.  Port clearance to cliff wall, one hundred fifty feet.	EXEC	 (low, to Captain) It's getting tight in here.	CAPTAIN	 We can still give him a haircut.  Helm, come right to oh six niner, down five degrees.	HELMSMAN	 Coming right to oh six niner, sir.  Down five degrees.	Abyss,-The
BARNES	 Range to contact, two hundred.  Contact junked to bearing two six oh and accelerated to... one hundred thirty knots, sir!	EXEC	 (really freaked now) Nothing goes one thirty!	EXEC	 Turbulence!  We're in its wake!	CAPTAIN	 Helm, all stop!  Full right rudder!	Abyss,-The
DEMARCO	 I need them to go to over two thousand.	KIRKHILL	 They can do it. (to McBride) Get Brigman on the line.					Abyss,-The
BUD	 Hey, you guys are milking that job.	CATFISH	 (Kentucky drawl) That's cause we love freezin' our butts off out here sooo much, boss.	JAMMER	 (yelling) Bud!  Hippy's on the bitch-box.  It's a call from topside.  That new company man.	BUD	 Kirkhill?  That guy doesn't know his butt from a rathole.  Hey, Perry!	Abyss,-The
CATFISH	 (Kentucky drawl) That's cause we love freezin' our butts off out here sooo much, boss.	JAMMER	 (yelling) Bud!  Hippy's on the bitch-box.  It's a call from topside.  That new company man.	BUD	 Kirkhill?  That guy doesn't know his butt from a rathole.  Hey, Perry!	BUD	 Do me a favor and square away the mud hose and those cable slings.  This place is starting to look like my apartment.	Abyss,-The
PILOT	 No way I'm putting her down.  I shouldn't even be flying in this shit.	COFFEY	 (cool) Just hold it over the deck.	COFFEY	 You want to be on that ship, there's only one way it's going to happen.			Abyss,-The
COFFEY	 You want to be on that ship, there's only one way it's going to happen. CUT TO: MCBRIDE (on screen) Well, it's official, sportsfans.  They're calling it Hurricane Frederick, and it's going to be making our lives real interesting in a few hours.	BUD	 Fred, huh?  I don't know.  Hurricanes should be named after women.					Abyss,-The
LINDSEY	 I can't believe you let them do this!	BUD	 (unpreturbed, almost cheerful) Hi, Lins.  I thought you were in Houston.	LINDSEY	 I was, but I managed to bum a ride on the last flight out here.  Only here isn't where I left it, is it, Bud?	BUD	 Wasn't up to me.	Abyss,-The
LINDSEY	 Take her up, Byron!	KIRKHILL	 What the hell is she doing out there?  Son of a bitch... (into microphone) Lindsey... get out of Cab Three.  Bates is taking her down.	LINDSEY	 Bates is sick.  Besides I've got more hours in this thing than he does. (to Coffey) A little change of plan.	COFFEY	 Lady, we better fish or cut bait.	Abyss,-The
KIRKHILL	 What the hell is she doing out there?  Son of a bitch... (into microphone) Lindsey... get out of Cab Three.  Bates is taking her down.	LINDSEY	 Bates is sick.  Besides I've got more hours in this thing than he does. (to Coffey) A little change of plan.	COFFEY	 Lady, we better fish or cut bait.	LINDSEY	 Just hold your water, okay? (to Kirkhill) So Kirkhill, we gonna do this or we gonna talk about it?	Abyss,-The
