VALERIE	 We think you're just great.	KAUFMAN	 (with studied modesty) Oh, thank you.	VALERIE	 And we're thrilled you're interested.	KAUFMAN	 Oh, thanks, wow. That's nice to hear.	Adaptation 
KAUFMAN	 Thanks.   Thank you.   Thanks.	VALERIE	 (looking up) So --	KAUFMAN	 Sort of hot in here.	VALERIE	 (kindly) Yeah, it is a bit. So, why don't you tell me your thoughts on this crazy little project of ours.	Adaptation 
KAUFMAN	 Sort of hot in here.	VALERIE	 (kindly) Yeah, it is a bit. So, why don't you tell me your thoughts on this crazy little project of ours.	KAUFMAN	 First, I think it's a great book.	VALERIE	 Laroche is a fun character, isn't he?	Adaptation 
MARGARET	 You should take this job. Doesn't it sound exciting, to immerse yourself in a real subject and learn everything about it? Blake wrote about seeing heaven in a wild flower. And after you learn all this stuff, you can teach me!	KAUFMAN	 (thrilled but controlled) That'd be fun.	MARGARET	 God, they're such beautiful flowers.    And so sexy. Y'know? (whispering) Did you know that orchid means --	KAUFMAN	 Testicle.     I just read that.	Adaptation 
KAUFMAN	 (thrilled but controlled) That'd be fun.	MARGARET	 God, they're such beautiful flowers.    And so sexy. Y'know? (whispering) Did you know that orchid means --	KAUFMAN	 Testicle.     I just read that.	MARGARET	 (shrieks with delight) Testicle! Can you believe it!	Adaptation 
KAUFMAN	 Testicle.     I just read that.	MARGARET	 (shrieks with delight) Testicle! Can you believe it!	MARGARET (CONT'D)	 I swear, it'd be fucking great for someone to have the testicles to make that book into a movie, man. Instead of this bullshit all the time. Something not about sex and violence and car chases and love stories, people learning profound lessons. Jesus, isn't nature enough?			Adaptation 
BOY (CONT'D)	 I want this then.	MOTHER	 (hugging him) A wonderful choice! And spiritually significant! Did you know that Native Americans believe the whole world rests on the back of a turtle?	BOY	 Cool!   I can't wait to tell the guys.			Adaptation 
MARGARET	 Absolutely. I think David, this guy I'm seeing, would enjoy it, too. He's a real naturalist. Okay if he comes along?	KAUFMAN	 (covering heartbreak) Yeah, of course. Sure.	MARGARET	 He wants to meet you anyway.     All I do is tell him how great you are.	KAUFMAN	 Oh, thanks. That's nice to hear.	Adaptation 
TONY	 Okay, I'm asking then.	LAROCHE	 Oh, Okay then! Let's see... (peeking in bags) Five kinds of bromeliad, one peperomia, nine orchid varieties. About a hundred and thirty plants all told, which my colleagues have removed from the swamp.	TONY	 You're aware that it's illegal to remove plants or animals from state owned land?	LAROCHE	 And don't forget these plants are all endangered, sir. Every one of them.	Adaptation 
TONY	 Exactly. Well, that's exactly the issue. This is a state preserve.	LAROCHE	 Yes, sir, it is. (afterthought) Oh, and my colleagues are all Seminole Indians. Did I mention that? You're familiar, I'm sure, with the State of Florida v. James E. Billie. Tony nods, even though he has no idea.	LAROCHE (CONT'D)	 So you know that even though Seminole Chief Billie killed a Florida panther, one of, what, forty in the entire world?	LAROCHE (CONT'D)	 The state couldn't successfully prosecute him. Because he's an Indian and it's his right. As repugnant as you or I as white conservationists might find his actions.	Adaptation 
RUSSELL	 Yeah.	TONY	 Yeah, but I don't... I can't let you fellas go yet. Just hold on while I... (into radio) Hey, Barry, can I get some help? Barry?					Adaptation 
KAUFMAN	 A job is a plan. Is your plan a job?	DONALD	 (big build up) I'm gonna be a screenwriter!   Like you!	DONALD (CONT'D)	 I know you think this is just one of my get-rich-quick schemes. But I'm doing it right this time. I'm taking a seminar!			Adaptation 
DONALD (O.S.)	 It's only five hundred bucks!	KAUFMAN	 (muffled by pillow) Screenwriting seminars are bullshit.	DONALD (O.S.)	 In theory I agree with you. But this one is highly regarded within the industry.	KAUFMAN	 Donald, don't say "industry."	Adaptation 
KAUFMAN	 Anybody who says he's got "the answer" is going to attract desperate people. Be it in the world of religion --	DONALD	 (indicating his back) I just need to lie down while you explain this to me. Sorry. I apologize. (lies down, stares at ceiling) Okay, go ahead. Sorry. Okay. Go.	KAUFMAN	 There are no rules to follow, Donald, and anybody who says there are, is just --	DONALD	 Not rules, principles. McKee writes: "A rule says, you must do it this way.   A principle says, this works... and has through all remembered time."	Adaptation 
MIKE OWEN	 I'm sorry, Encyclia what?	LAROCHE	 (pointing to each) Coch-le-ata. Tem-pen-sis. (checks Owen's spelling) Okay, let's see, twenty-two Epidendrum Nocturnum. A very good haul. Two Catopsi Floribunda. Three Polyrrhiza Lindenii, the ghost orchid. What I really came for. These sweeties grow nowhere in the U.S. except in your swamp.	MIKE OWEN	 That true? Boy, you really know your plants, Mr. Laroche.	LAROCHE	 Yeah. I do. I'm one of the world's foremost experts. But that'll all be revealed at the hearing.	Adaptation 
LERNER	 Finally, Mr. Laroche, what is your experience in the area of horticulture?	LAROCHE	 Okay, I've been a professional horticulturist for twelve years. I've owned a plant nursery of my own which was destroyed by the hurricane. I'm a professional plant lecturer. I've given at least sixty lectures on the cultivation of plants. I'm a published author, both in magazine and book form. I have extensive experience with orchids, and the asexual micropropagation of orchids under aseptic cultures.   This is laboratory work, not at all like your nursery work. (grins) I'm probably the smartest person I know.	LERNER	 Thank you.	LAROCHE	 You're very welcome.	Adaptation 
KAUFMAN	 Go away.    God damn it.	DONALD	 (lost) Y'know, I'm just trying to do something.	DONALD (CONT'D)	 Hey, thanks a lot, man. Cool. (flicks on light, then in pitch mode:) Okay, there's this serial killer, right --	DONALD (CONT'D)	 No, wait. See, he's being hunted by a cop. And he's taunting the cop, right? Sending clues who his next victim is. He's already holding her hostage in his creepy basement. So the cop gets obsessed with figuring out her identity, and in the process he falls in love with her. Even though he's never even met her. She becomes, like, the unattainable, like the Holy Grail.	Adaptation 
