RANDY	 Crazy White Man is now Drowsy White Man.	ORLEAN (O.S.)	 (wistful) John Laroche is a tall guy, skinny as a stick, pale-eyed, slouch-shouldered and sharply handsome despite the fact that he is missing all his front teeth.	ORLEAN	 Two years ago I went to Florida to meet Laroche after reading a small article about a white man and three Seminole men arrested with rare orchids they'd stolen out of a place called the...			Adaptation
KAUFMAN	 (with studied modesty) Oh, thank you.	VALERIE	 And we're thrilled you're interested.	KAUFMAN	 Oh, thanks, wow. That's nice to hear.			Adaptation
KAUFMAN	 Thanks.   Thank you.   Thanks.	VALERIE	 (looking up) So --	KAUFMAN	 Sort of hot in here.	VALERIE	 (kindly) Yeah, it is a bit. So, why don't you tell me your thoughts on this crazy little project of ours.	Adaptation
KAUFMAN	 Sort of hot in here.	VALERIE	 (kindly) Yeah, it is a bit. So, why don't you tell me your thoughts on this crazy little project of ours.	KAUFMAN	 First, I think it's a great book.			Adaptation
MARGARET	 You should take this job. Doesn't it sound exciting, to immerse yourself in a real subject and learn everything about it? Blake wrote about seeing heaven in a wild flower. And after you learn all this stuff, you can teach me!	KAUFMAN	 (thrilled but controlled) That'd be fun.	MARGARET	 God, they're such beautiful flowers.    And so sexy. Y'know? (whispering) Did you know that orchid means --	KAUFMAN	 Testicle.     I just read that.	Adaptation
KAUFMAN	 (thrilled but controlled) That'd be fun.	MARGARET	 God, they're such beautiful flowers.    And so sexy. Y'know? (whispering) Did you know that orchid means --	KAUFMAN	 Testicle.     I just read that.	MARGARET	 (shrieks with delight) Testicle! Can you believe it!	Adaptation
KAUFMAN	 Testicle.     I just read that.	MARGARET	 (shrieks with delight) Testicle! Can you believe it!	MARGARET (CONT'D)	 I swear, it'd be fucking great for someone to have the testicles to make that book into a movie, man. Instead of this bullshit all the time. Something not about sex and violence and car chases and love stories, people learning profound lessons. Jesus, isn't nature enough?			Adaptation
BOY (CONT'D)	 I want this then.	MOTHER	 (hugging him) A wonderful choice! And spiritually significant! Did you know that Native Americans believe the whole world rests on the back of a turtle?	BOY	 Cool!   I can't wait to tell the guys.	MARGARET	 To a fucking awesome assignment, man.	Adaptation
MARGARET	 Absolutely. I think David, this guy I'm seeing, would enjoy it, too. He's a real naturalist. Okay if he comes along?	KAUFMAN	 (covering heartbreak) Yeah, of course. Sure.	MARGARET	 He wants to meet you anyway.     All I do is tell him how great you are.	KAUFMAN	 Oh, thanks. That's nice to hear.	Adaptation
TONY	 Okay, I'm asking then.	LAROCHE	 Oh, Okay then! Let's see... (peeking in bags) Five kinds of bromeliad, one peperomia, nine orchid varieties. About a hundred and thirty plants all told, which my colleagues have removed from the swamp.	TONY	 You're aware that it's illegal to remove plants or animals from state owned land?	LAROCHE	 And don't forget these plants are all endangered, sir. Every one of them.	Adaptation
TONY	 Exactly. Well, that's exactly the issue. This is a state preserve.	LAROCHE	 Yes, sir, it is. (afterthought) Oh, and my colleagues are all Seminole Indians. Did I mention that? You're familiar, I'm sure, with the State of Florida v. James E. Billie.	LAROCHE (CONT'D)	 So you know that even though Seminole Chief Billie killed a Florida panther, one of, what, forty in the entire world?	LAROCHE (CONT'D)	 The state couldn't successfully prosecute him. Because he's an Indian and it's his right. As repugnant as you or I as white conservationists might find his actions.	Adaptation
RUSSELL	 Yeah.	TONY	 Yeah, but I don't... I can't let you fellas go yet. Just hold on while I... (into radio) Hey, Barry, can I get some help? Barry?	ORLEAN	 Nothing in Florida seems hard or permanent. The developed places are just little clearings in the jungle, but the jungle is unstoppably fertile, everything is always growing or expanding. At the same time, the wilderness disappears before your eyes.			Adaptation
KAUFMAN	 A job is a plan. Is your plan a job?	DONALD	 (big build up) I'm gonna be a screenwriter!   Like you!	DONALD (CONT'D)	 I know you think this is just one of my get-rich-quick schemes. But I'm doing it right this time. I'm taking a seminar!			Adaptation
DONALD (O.S.)	 It's only five hundred bucks!	KAUFMAN	 (muffled by pillow) Screenwriting seminars are bullshit.	DONALD (O.S.)	 In theory I agree with you. But this one is highly regarded within the industry.	KAUFMAN	 Donald, don't say "industry."	Adaptation
KAUFMAN	 Anybody who says he's got "the answer" is going to attract desperate people. Be it in the world of religion --	DONALD	 (indicating his back) I just need to lie down while you explain this to me. Sorry. I apologize. (lies down, stares at ceiling) Okay, go ahead. Sorry. Okay. Go.	KAUFMAN	 There are no rules to follow, Donald, and anybody who says there are, is just --			Adaptation
MIKE OWEN	 I'm sorry, Encyclia what?	LAROCHE	 (pointing to each) Coch-le-ata. Tem-pen-sis. (checks Owen's spelling) Okay, let's see, twenty-two Epidendrum Nocturnum. A very good haul. Two Catopsi Floribunda. Three Polyrrhiza Lindenii, the ghost orchid. What I really came for. These sweeties grow nowhere in the U.S. except in your swamp.	MIKE OWEN	 That true? Boy, you really know your plants, Mr. Laroche.			Adaptation
LERNER	 Finally, Mr. Laroche, what is your experience in the area of horticulture?	LAROCHE	 Okay, I've been a professional horticulturist for twelve years. I've owned a plant nursery of my own which was destroyed by the hurricane. I'm a professional plant lecturer. I've given at least sixty lectures on the cultivation of plants. I'm a published author, both in magazine and book form. I have extensive experience with orchids, and the asexual micropropagation of orchids under aseptic cultures.   This is laboratory work, not at all like your nursery work. (grins) I'm probably the smartest person I know.	LERNER	 Thank you.	LAROCHE	 You're very welcome.	Adaptation
DONALD (CONT'D)	 No, wait. See, he's being hunted by a cop. And he's taunting the cop, right? Sending clues who his next victim is. He's already holding her hostage in his creepy basement. So the cop gets obsessed with figuring out her identity, and in the process he falls in love with her. Even though he's never even met her. She becomes, like, the unattainable, like the Holy Grail.	KAUFMAN	 (through a blanket) It's a little obvious, don't you think?	DONALD	 Okay, but there's a twist. See, we find out the killer suffers from multiple personality disorder. Okay? See, he's really also the cop and the girl. All of them. It's all him! Isn't that crazy?	KAUFMAN	 Look, the only idea more overused than serial killers, is multiple personality. On top of that you explore the notion that cop and criminal are really two aspects of the same person. See every cop movie ever made for other examples of this.	Adaptation
KAUFMAN	 Um. Hi. Thank you. The key lime pie, please. A small slice. I'm watching my... And a coffee, please. Skim milk.	ALICE	 (sees book) Orchids! I absolutely love orchids.	KAUFMAN	 Yes.   They're really great.	ALICE	 So, I'll be right back with your pie.	Adaptation
MOTHER	 What do you have to do, honey?	BOY	 Collect one of every turtle in the world. (beat) It's a long list, ma. Cuora galbinifrons, Graptemys versa, Callagur borneoensis, all the Galapagos species, people think there's only one, but that's hardly the case. Cycloderma frenatum, Cuora pani... (sighs) I don't think my life is worth living if I can't do this.	MOTHER	 Well, we'd better get started, huh, baby?			Adaptation
ORLEAN	 Wow, that's some story. So how many turtles did you end up collecting?	LAROCHE	 (matter-of-fact) Oh, I lost interest right after that.	ORLEAN	 Oh.	LAROCHE	 I dropped turtles when I fell in love with Ice Age fossils. Learned everything about them. Collected the shit out of 'em. Fossils were the only thing made any sense to me in this fucking world. Y'know?	Adaptation
LAROCHE (CONT'D)	 I vow to never set foot in the ocean again, that's how much fuck fish. That was seventeen years ago and I have never since stuck so much as a toe into that ocean. And I love the ocean!	ORLEAN	 (beat) But why?	LAROCHE	 (shrugs) Done with fish.	THERAPIST	 So --	Adaptation
ORLEAN	 (beat) But why?	LAROCHE	 (shrugs) Done with fish.	THERAPIST	 So --	KAUFMAN	 I'm still obsessed with that girl.	Adaptation
KAUFMAN	 (thrilled she remembered) Okay, yeah! That sounds great!     Yeah!	ALICE	 I'll pick you out an extra large piece. Preferred customer.	KAUFMAN	 Thank you.     That's really sweet of you.			Adaptation
KAUFMAN	 That's what's called an epiphyte.	ALICE	 (pointing at him excitedly) Right! Boy, you know your stuff, huh?	KAUFMAN	 Not really. I'm just learning. Epiphytes grow on trees, but they're not parasites. They get all their nourishment from the air and rain.	ALICE	 Well, I'm impressed.    That's great.	Adaptation
KAUFMAN	 I'm sorry.     I apologize.   I'm sorry.	ALICE	 (nodding) So I'll be right back with your pie then.	KAUFMAN (V.O.)	 I am fat.     I am old. I am repulsive.	ORLEAN	 There are more than thirty thousand known orchid species. One species looks like a German shepherd...	Adaptation
TEENAGED LAROCHE	 Maybe somehow she can see it.    Y'know?	MOTHER	 (beat) So... after this one how many, honey?	TEENAGED LAROCHE	 Only one hundred and seventeen more.			Adaptation
KAUFMAN	 I'm successful, right? I mean, I could say to a woman, I'm a screenwriter and she'd look at me differently. I could get laid. But I want someone to like me. For me. Y'know?    The way I like them. The way I'd do anything for that woman walking down the street. A million women walking down the street. I don't need to know what their jobs are. No one will ever love me like that. Like I love almost every woman I see.	LAROCHE	 Once you get the sickness, it takes over your life. I started out just photographing 'em. Now look at me. (dramatic pause) It'll happen to you. You'll see.	ORLEAN	 I don't think so.     I'm not prone to --			Adaptation
LAROCHE	 Angraecum sesquipedale! Beauty! God! Darwin wrote about this one. Charles Darwin? Evolution guy? Hello?	ORLEAN	 (annoyed) I know who Darwin is.	DARWIN (V.O.)	 Therefore I should infer from analogy that probably all the organic beings which have ever lived on this earth have descended from some one primordial form, into which life was first breathed.	KAUFMAN	 Okay, opening of movie. Four billion years ago. Life has not begun. Endless, barren terrain. Silence. Silence.	Adaptation
