2    CONTINUED:                                                  2		GOMEZ	 (gazing at Morticia) Look at her -- I would die for her. I would kill for her. Either way -- what bliss. Low-voiced, incisive, and subtle, with Morticia, smiles are rare. The ghostly whiteness of her complexion is offset by the red of the pillowcase upon which her hair is spread like a diabolic halo. A dark Garbo, sultry and remote, she's a ruined beauty. Morticia OPENS HER EYES.	GOMEZ	 (adoringly) Unhappy, darling?	MORTICIA	 (passionately) Oh, yes, yes. Completely.	Addams Family, The 
GOMEZ	 (adoringly) Unhappy, darling?	MORTICIA	 (passionately) Oh, yes, yes. Completely.					Addams Family, The 
MORTICIA		GOMEZ	 (wildly aroused) Tish... that's French!	MORTICIA	 (nonchalant) Oui.	GOMEZ		Addams Family, The 
GOMEZ	 (wildly aroused) Tish... that's French!	MORTICIA	 (nonchalant) Oui.	GOMEZ		GOMEZ		Addams Family, The 
GOMEZ	 (disturbed) Granny - where's your fog?	7   CONTINUED:                                                 7		FROM ABOVE				Addams Family, The 
WEDNESDAY	 (taking her bag) Thank you, Lurch.	9    CONTINUED:                                                 9						Addams Family, The 
GOMEZ	 (calls) Sorry about the window, Judge! Keep the ball! I have a whole bucketful. He holds up a bucket of golf balls. He tosses his golfclub to Thing, who DEPOSITS IT in the golfbag.	13    CONTINUED:                                                   13		MORTICIA				Addams Family, The 
GOMEZ		MORTICIA	 (yearningly) Oh Gomez, don't torture yourself. That's my job.	GOMEZ	 (lustfully) Tish...	MORTICIA		Addams Family, The 
MORTICIA	 (yearningly) Oh Gomez, don't torture yourself. That's my job.	GOMEZ	 (lustfully) Tish...	MORTICIA		GOMEZ		Addams Family, The 
MORTICIA	 (looking out) Tully is here, darling.	GOMEZ		113   CONTINUED:   (2)                                             113				Addams Family, The 
113   CONTINUED:   (2)                                             113		FESTER	 (coming to his senses) Mother, I'm... I'm so terribly sorry... (he kneels at her side) It was just a party. It's over. It means nothing. Those Siamese twins, that hunchback, Cousin It - they're not you.	ABIGAIL	 (clutching him savagely) Say it, Gordon. Make me believe it.	FESTER		Addams Family, The 
FESTER	 (coming to his senses) Mother, I'm... I'm so terribly sorry... (he kneels at her side) It was just a party. It's over. It means nothing. Those Siamese twins, that hunchback, Cousin It - they're not you.	ABIGAIL	 (clutching him savagely) Say it, Gordon. Make me believe it.	FESTER		ABIGAIL	 (very no-nonsense) We've got to find Tully.	Addams Family, The 
