JILL	 Who's fault is it then if it's not yours? You're the one in charge, Daddy.	WADE	 (shakes cigarette from pack) Yeah.	JILL	 Look. Those kids are still trick-or- treating. They're still out.	WADE	 Those are the Hoyts.	Affliction 
LARIVIERE	 We're looking for the funniest costume! And the scariest! And the most imaginative! And the best costume of all!	WADE	 (nudges Jill) Got here just in time. Go ahead. Jump in line. Maybe you'll win a prize.	WADE	 Go on, Jill. Some of those kids you still know.	JILL	 I don't want to.	Affliction 
WADE	 It's fun.	JILL	 (voice breaking) I want to go home. (Wade kneels down) I don't like it here.	WADE	 Oh, Jesus, come on, will you? Don't mess this up anymore than it's already been messed up. Join the other kids. Do that and before you know it you'll be as happy as a goddamned clam.	LARIVIERE	 Wade! And who's that tiger? Is that Jill? Come and join us.	Affliction 
FRANKIE	 You see the damage these little sons- of bitches been raising tonight?	WADE	 (to Jack) You're going to have to move your pickup.	JACK	 I know.	CHICK	 (offers whiskey pint) Take a bite.	Affliction 
JACK	 I know.	CHICK	 (offers whiskey pint) Take a bite.	WADE	 Don't mind if I do.	JACK	 LaRiviere's having a hell of a time in there. Master of fucking ceremonies.	Affliction 
JACK	 No brag. Just fact.	WADE	 (admires gun) Got you for -- 450, 500 bucks? (passes it to Frankie)	FRANKIE	 Nice.	JACK	 (to Wade) See you got Jill tonight. How'd you manage that?	Affliction 
FRANKIE	 Nice.	JACK	 (to Wade) See you got Jill tonight. How'd you manage that?	WADE	 (turns) Don't forget to move your truck. (walks inside)			Affliction 
JACK	 (to Wade) See you got Jill tonight. How'd you manage that?	WADE	 (turns) Don't forget to move your truck. (walks inside)					Affliction 
WADE	 No what?	JILL	 (lifts mask atop head) No I didn't see anybody I know. No I don't want to go to school here tomorrow. I want to go home.	WADE	 You are home. There are lots of kids you still know here.	JILL	 I don't want to be here. Don't worry, I love you, Daddy, I do. But I want to go home.	Affliction 
JILL	 I don't want to be here. Don't worry, I love you, Daddy, I do. But I want to go home.	WADE	 (sighs) Jesus. Listen, Jill, tell you what. Tomorrow morning, you still want to go home, I'll drive you down. I'll get off work or something.	JILL	 (pause) I called Mommy.	WADE	 What? You called Mommy? Just now?	Affliction 
WADE	 (sighs) Jesus. Listen, Jill, tell you what. Tomorrow morning, you still want to go home, I'll drive you down. I'll get off work or something.	JILL	 (pause) I called Mommy.	WADE	 What? You called Mommy? Just now?	JILL	 Yes.	Affliction 
