FRED	 First, I go to Yale, then Harvard law, then when I'm making a hundred grand a year, I'll have a whole stable of hot chicks sitting around topless on my yacht. He smiles ears to ear, looking for approval.	MATT	 (to Deacon) Will that work?	DEACON	 (to Fred) You are a complete moron. Deacon and Matt walk off. Fred calls after them.	FRED	 What?	After School Special 
MATT	 (to Deacon) Will that work?	DEACON	 (to Fred) You are a complete moron. Deacon and Matt walk off. Fred calls after them.	FRED	 What?			After School Special 
DEACON (V.O.)	 Testosterone is a drug more powerful than heroin. I don't really have any evidence to support that, but the point is, a horny teenage boy will do almost anything for even a glimpse of sex. ... his BIOLOGY TEACHER's erect NIPPLES visible through her conservative bra and blouse. Aside from her flashing headlights, she's the kind of woman you wouldn't notice even if you were alone with her on a two-man luge. But that doesn't matter-- Deacon can't take his eyes off of them.	BIOLOGY TEACHER	 (in the background) ... the increase in the hormone testosterone causes certain physiological changes in the adolescent male...	DEACON (V.O.)	 We're suffering. Suffering from a deep, debilitating addiction to something we've never even had. Teenage boys are like time bombs, ready to explode.	BEHIND DEACON	 Two GUYS are whispering.	After School Special 
GUY 1	 Yeah. It was at Richard Rosenblatt's party. In the bathroom.	DEACON	 (crushed)					After School Special 
FRED	 Did you videotape it?	MATT	 (sarcastically) Yeah. I took my camera to gym class with me.	FRED	 You are the biggest moron I have ever known. Just then, Deacon comes up to them.	DEACON	 Hey, guys. Here's the money. He hands out the proceeds from the operation, and Matt notices that Deacon is a little out of sorts.	After School Special 
DEACON	 Whatever. It just wasn't good timing.	FRED	 It doesn't get any better than that. You and Rachael were perfect for each other. And naked girls don't just appear out of thin air. (scoffs) "I have a math test tomorrow."	DEACON	 Will you shut up already? (beat) Look, I've been thinking about this all day. We're juniors now. Upperclassmen.	MATT	 So? They reach the bike rack and start unlocking their bikes.	After School Special 
FRED	 It doesn't get any better than that. You and Rachael were perfect for each other. And naked girls don't just appear out of thin air. (scoffs) "I have a math test tomorrow."	DEACON	 Will you shut up already? (beat) Look, I've been thinking about this all day. We're juniors now. Upperclassmen.	MATT	 So? They reach the bike rack and start unlocking their bikes.	DEACON	 So we have a responsibility to ourselves to start having fun and getting girls. This year is our year. (takes the chain off his bike) There's nothing holding us back any more. Over in the parking lot, JAKE, a studly senior, revs the engine on his truck. Two hot girls, KELLY and WENDY, sit on his bumper, chatting.	After School Special 
MATT	 So? They reach the bike rack and start unlocking their bikes.	DEACON	 So we have a responsibility to ourselves to start having fun and getting girls. This year is our year. (takes the chain off his bike) There's nothing holding us back any more. Over in the parking lot, JAKE, a studly senior, revs the engine on his truck. Two hot girls, KELLY and WENDY, sit on his bumper, chatting.	DEACON (CONT'D)	 You see? That's exactly what I'm talking about. That could be us.	FRED	 That's not going to be us this year, or next year, or any year, ever.	After School Special 
MATT	 Ooh. Good movie.	DEACON AND MATT	 (with Cuban accents) "First you get the money, then you get the power, then you get the women."	FRED	 So, we're going to become Cuban drug lords?	DEACON	 Listen, the porno pirating operation is bringing in plenty of money. When I get my new car tonight for my birthday, we'll have the power to go wherever we want. Then, there's nothing stopping us from getting the girls. Fred and Matt look at Deacon warily. Is this a plan? Then, the hot girls and Jake drive past the guys.	After School Special 
17   OMITTED                                                            17	 18   INT. VIDEO CASA DEL RUSS A.K.A. RUSS'S VIDEO MAGIC - DAY           18 Fred arrives dressed for work (name tag, shirt, etc.) and waves to RUSS, the scraggly owner of this small video rental store. Fred passes J.T., Mark, Wendy, and Kelly and a bunch of other CUSTOMERS on his way to the back section of the store.	ADULT SECTION	 Fred makes sure Russ isn't looking and ducks into the porno section. Hurriedly, he pulls out "Half-Cyborg 5: Final Showdown" from his book bag. But inside the case is the tape for "Dirty Darla #7." He makes the switch. Fred sighs a breath of relief, smiles, and walks out of the adult section...	MAIN AREA	 ...right into...			After School Special 
EVERYONE	 Surprise! Deacon pretends to be surprised.	DEACON	 Wow. This is great. The room is sparsely populated with a few of Deacon's RELATIVES, his MOM and DAD, younger brother MAX (14), and ROGER, a wheelchair-bound nerd with a face full of orthodontic headgear and braces.	MATT	 Were you surprised?	DEACON	 Yeah.	After School Special 
