MRS. AYRES	 The Antique Carlisle. Definitely the Antique Carlisle.	ELIOT	 (writes in his notebook) Excellent choice.	MRS. AYRES	 An antique coffin for an antique lady. We suit each other.	ELIOT		After.Life
JACK	 I tripped.   It was an accident.	ANNA	 (to the Older Boys) Show's over. Get to your classes.	(TO JACK)	 Jack. Help me clear up.	JACK	 I think it's dead.	After.Life
(EARNESTLY)	 Continually voted one of the top ten roller coaster rides in America, the Alpengeist is a breathtaking avalanche of adventure.	ANNA	 (tries to keep a straight-face) I didn't know the park was open yet.	JACK	 My mom's friends with the manager. They're opening it specially for me.	ANNA	 Sounds like fun.	After.Life
(HESITATES)	 I have to go to a funeral.   My old piano teacher.	JACK	 (with sudden interest) Can I come?	ANNA	 No Jack.   Funerals are very private affairs.	JACK	 I've never been to a funeral.	After.Life
PAUL	 What?    You always have the duck here.	ANNA	 (picks up the menu) I don't always have the duck.	ANNA	 I'll have the duck.	PAUL	 The duck is very good.	After.Life
(SMILES QUESTIONINGLY)	 What's the special occasion?	PAUL	 (suddenly very serious) Actually there is something I need to talk to you about.	PAUL	 I've been offered a transfer to head office in Chicago.			After.Life
(NERVOUS)	 ...well I've been thinking. Maybe it's time for us to...	ANNA	 (without looking up) You're going to leave me.	ANNA	 You could've just told me this morning. You didn't need to buy me off with an expensive meal.	PAUL	 Anna wait.	After.Life
ANNA	 I'm not being ridiculous. Why do you always talk to me like I'm a small child?	PAUL	 (as if talking to a small child) Anna.	ANNA	 See? There you go again.      Do you know how irritating that is?	PAUL		After.Life
BEATRICE	 What's the point of preserving the body if the soul's already left?	ELIOT	 (quietly to himself) No.   The soul never leaves.	BEATRICE	 It's us who are left behind. It's us who suffer.			After.Life
PAUL	 My name's Conran.      Paul Conran.	ELIOT	 Of course. The lawyer. (off Paul's surprised look) It's a small town. In my line of work you get to know everyone eventually.	PAUL	 I'm Anna Bryant's fiance.			After.Life
ELIOT	 (holds out his hand) Give me the scissors. I only want to help you.	ANNA	 Don't come any closer.     I swear to God I'll kill you.	ELIOT				After.Life
ELIOT	 What are you waiting for?	ANNA	 I'm breathing! (raises her head) Look. I'm still alive!	ELIOT	 You think you're still alive because you're still attached to life. It's normal. You're just imagining you still have symptoms of life.	ANNA	 Maybe I was in some kind of coma. The doctors made a mistake. They're always making mistakes.	After.Life
ELIOT	 It's your dress. For your funeral. Your mother brought it round this morning.	ANNA	 This isn't my dress. (realizes with shock) This is my mother's dress! It was supposed to be for her funeral. Why has she given it to me?					After.Life
ANNA	 What do you mean?	ELIOT	 (nods to the phone) He still feels your presence. You're only causing him more pain. If you really loved him, you'd accept your death and let him go.	ANNA	 Then prove to me I'm really dead.	ELIOT	 You people.   You always need proof.	After.Life
ANNA	 What are you doing?	PAUL	 (puts his finger to his lips) Ssh. Don't talk so loud. You'll wake the neighbors.	ANNA	 What neighbors? You don't have any neighbors.			After.Life
JACK	 You think I'm lying.   I'm not lying.	PAUL	 Look... (trying to remember his name) Jack. I'm in no mood--	JACK	 She needs your help.	PAUL		After.Life
PAUL	 (almost to himself) I can't help her anymore.	JACK	 Maybe you just don't love her anymore?	PAUL	 You little fuck. You think this is funny?			After.Life
TOM	 What the hell's wrong with you? (holds his fingers close together) You're this close to fucking up your career.	PAUL	 (suddenly looks up) You know what he told me? He told me Anna's alive.	TOM	 You didn't believe him did you?	PAUL	 No.   Of course not.	After.Life
ANNA	 My mother... She didn't cry did she? When she came to see me?	ELIOT	 (shakes his head) I'm sorry.	ANNA	 And Paul?	ELIOT	 It's not important anymore.	After.Life
VINCENT	 Something's not right here.	ELIOT	 (looks up sharply) Not right?	VINCENT	 His smile.    It was a bit more...	VINCENT	 ...smiley.	After.Life
VINCENT	 Well. I guess I should be off then. I'll see you at the service. Thanks again.	ELIOT	 I just told you. That was your brother. (turns to Frank) You had an accident. You're dead. Why do you people never listen to me?	ELIOT	 No.   It's not a gift.   It's a curse.	ELIOT	 I take care of each of you as if you were my children. I wash the shit from your bodies. I dress you. I do everything to make you look more beautiful than when you were alive. And what do you do?	After.Life
ELIOT	 I'm sorry?	PAUL	 One of Anna's students. (nods towards the funeral home) In the window.	ELIOT	 Do you mean Jack?	PAUL	 You know him?	After.Life
TOM	 Here's the Coroner's report.	PAUL	 Look. (shows file to Tom) The paramedics phoned it in. They only checked for eye dilation and pulse. The doctor signed the death certificate without even seeing her body.	TOM		(IRRITATED)	 So?   That's standard procedure.	After.Life
DIANE	 Violets. They were her favorite flowers. (turns to Eliot) How did you know?	ELIOT	 Violets just seemed appropriate somehow.					After.Life
TOM	 (shakes his head) She's at peace now.	ON COFFIN						After.Life
