SECRETARY (V.O.)	 Hi, Marty it's Helen again. I cancelled your Wednesday afternoon appointment so you can visit with your mother. Bye bye.	MAN	 (in French)	???				Agnes of God 
MOTHER SUPERIOR	 (beaming at her own little joke) Doctor Livingston I presume? I'm Mother Miriam Ruth. You needn't call Mother if you don't wish. (shaking hands) Most people find it uncomfortable.	MARTHA	 Well... I...	MOTHER MIRIAM	 (carrying right on) I'm afraid the word brings up the most unpleasant connatations in this day and age...			Agnes of God 
MARTHA	 Well... I...	MOTHER MIRIAM	 (carrying right on) I'm afraid the word brings up the most unpleasant connatations in this day and age...	MARTHA	 Yes... I...	MOTHER MIRIAM	 You can call me Sister.	Agnes of God 
MARTHA	 How did she hide it during the day?	MOTHER MIRIAM	 (indicating her habit) She could have hidden a machine gun in here if she had wanted to.	MARTHA	 Didn't she have any physical examinations	MOTHER MIRIAM	 We're examined once a year. Her pregnancy fell in between the doctor's visits.	Agnes of God 
MARTHA	 Could there have been anyone else?	MOTHER MIRIAM	 (a pause) Obviously there was.	MARTHA	 And you didn't try to find out who?	MOTHER MIRIAM	 (standing) Believe me, I've done everything possible short of asking Agnes.	Agnes of God 
MARTHA	 And you didn't try to find out who?	MOTHER MIRIAM	 (standing) Believe me, I've done everything possible short of asking Agnes.	MARTHA	 Why haven't you asked her?	MOTHER MIRIAM	 (sitting again) She can't even remember the birth. Do you think she'd admit to the conception?	Agnes of God 
MARTHA	 Why haven't you asked her?	MOTHER MIRIAM	 (sitting again) She can't even remember the birth. Do you think she'd admit to the conception?	MARTHA	 Look, someone gave her the baby.	MOTHER    MIRIAM	 Yes, but that was some    ten months ago. I fail to see that the    identity of that somebody has anything    to do with this trial.	Agnes of God 
MARTHA	 The science of psychiatry.	MOTHER MIRIAM	 (standing) Exactly. I want you do deal with Agnes as speedily and as easily as possible. She won't hold up under any sort of cross examination.	MARTHA	 (also standing) I am not with the Inquisition.	MOTHER MIRIAM	 And I am not from the Middle Ages. I know what you are! I don't want that mind cut open.	Agnes of God 
MOTHER MIRIAM	 (standing) Exactly. I want you do deal with Agnes as speedily and as easily as possible. She won't hold up under any sort of cross examination.	MARTHA	 (also standing) I am not with the Inquisition.	MOTHER MIRIAM	 And I am not from the Middle Ages. I know what you are! I don't want that mind cut open.			Agnes of God 
AGNES	 I love you.	MARTHA	 (a pause) Agnes, have you ever loved another man... other than, Jesus Christ?	AGNES	 Yes.	MARTHA	 Who?	Agnes of God 
MARTHA	 Who?	AGNES	 (chuckles) Oh, there are so many.	MARTHA	 Well do you love... do you love Father Martineau?	AGNES	 Oh, yes!	Agnes of God 
MARTHA	 Where do you meet?	AGNES	 (obviously) In the confessional.	MARTHA	 Agnes, do ever see Father Martineau outside the...	AGNES	 You want to talk about the baby don't you?	Agnes of God 
