SHIRLEY	 Jack, isn't that Fred Bliffert over there in the blue turtleneck? Maybe he's on our flight to Chicago.	JACK	 Yeah, I think he is. (waves) Hey, Fred!	FRED	 (yelling) Hi, Jack!!!			Airplane 
JACK	 Yeah, I think he is. (waves) Hey, Fred!	FRED	 (yelling) Hi, Jack!!!					Airplane 
ZEALOT #2	 Hello, we'd like you to have this flower from the Church of Consciousness. Would you like to make a donation?	KRISHNA	 (shakes his head) No, we gave at the office.					Airplane 
STRIKER	 Elaine!	ELAINE	 (surprised) Ted!	STRIKER	 I came home early and found your note. I guess you meant for me to read it later. Elaine, I've got to talk to you.	ELAINE	 I just don't want to go over it any more.	Airplane 
ELAINE	 It takes so many things to make love last. Most of all it takes respect. And I can't live with a man I don't respect!	STRIKER	 (to CAMERA) What a pisser.					Airplane 
MURDOCK	 Sorry, Clarence. Latest weather report shows everything socked in from Salt Lake to Lincoln.	OVEUR	 (to Murdock) Hi, Roger. Good to have you aboard. Victor, this is Roger Murdock.	BASTA	 How do you do, Roger?			Airplane 
OVEUR	 Roger.	MURDOCK	 (turning to Oveur) Huh?	BASTA	 (to tower) Request vector...over.	OVEUR	 (turning to Basta) What?	Airplane 
MURDOCK	 (turning to Oveur) Huh?	BASTA	 (to tower) Request vector...over.	OVEUR	 (turning to Basta) What?	MURDOCK	 We have clearance, Clarence.	Airplane 
BASTA	 (to tower) Request vector...over.	OVEUR	 (turning to Basta) What?	MURDOCK	 We have clearance, Clarence.	OVEUR	 Roger, Roger. What's our vector, Victor?	Airplane 
ELAINE	 How about this leaflet: 'Famous Jewish Sports Legends?'	MRS. ELDERLY	 (taking pamphlet) Yes. Thank you.	ELAINE	 Ted, what are you doing here?	STRIKER	 Elaine, I've got to talk to you.	Airplane 
MURDOCK	 Do you want me to check the weather, Clarence?	OVEUR	 (looking at Joey) No, why don't you take care ot it?	ELAINE	 We'd better get back now.	OVEUR	 Joey can stay up here for a while if he'd like to.	Airplane 
JOEY	 I think you're the greatest. But my Dad says you don't work hard enough on defense.	MURDOCK	 (into microphone) Denver Control, this is Flight two-zero- niner intersecting Victor Airway seven- niner-niner.	JOEY	 ...and that lots of times you don't even run down court.	MURDOCK	 We are turning left to a heading of zero- niner-niner.	Airplane 
MRS. DAVIS	 Oh, I think that would be nice.	RANDY	 (to Lisa, who is reading) Hi!	LISA	 Hi!	RANDY	 I'm Randy.	Airplane 
OVEUR	 (excitedly) Get him out of there!	INSERT - ALTIMETER AND FLIGHT CONTROLS						Airplane 
RANDY	 We have two more sick people, and the rest of the passengers are worried.	OVEUR	 I'll take care of the passengers. Elaine, find out what the two sick people had for dinner. (into P.A.) This is Captain Oveur speaking.					Airplane 
OVEUR	 (into microphone) Chicago, this is flight two-zero-niner. We're in trouble.	DISPATCHER	 We read you. Stand by, two-zero-niner.					Airplane 
OVEUR	 (gasping) Turn...on...automatic pilot.	ELAINE	 Uh, automatic pilot...automatic pilot?	ELAINE				Airplane 
DR. RUMACK	 I'll get back to the passengers. (over radio) Come in two-zero-niner. This is Chicago. Flight two-zero-niner, come in, please.	ELAINE	 This is Elaine Dickinson. I'm the stewardess. Captain Oveur is passed out on the floor, and we've lost the co-pilot and navigator, too. We're in terrible trouble. Over.	ELAINE	 Hi, Steve!			Airplane 
ELAINE	 I'm standing over Oveur. Over. INT. CHICAGO DISPATCH - NIGHT (into mike) All right, Elaine. Just hold on. We'll be back to you in a minute.	HINSHAW	 No thanks.	AIR CONTROLLER #1	 Chief, there's fog down to the deck everywhere east of the Rockies. There's no possible place they can land. They'll have to come through to Chicago.			Airplane 
MRS. KRAMER	 Shep, sit...sit! So, I understand you've got a real emergency down there.	CAREY	 (holding off dog) Well, to tell the truth, they really didn't fill me in on many of the details. Just told me to pick up Captain Kramer.	MRS. KRAMER	 Something about a plane with no pilot?	CAREY	 Yeah, something like that, but as I say, they didn't have time to tell me very much.	Airplane 
JACK	 Would ya like a little whiskey, ma'am?	SPINSTER	 (insulted) Certainly not.					Airplane 
STRIKER	 Well, I flew single-engine fighters in the Air Force, but this plane has four engines. It's an entirely different kind of flying...all together!!!	RANDY/RUMACK	 (all together) It's an entirely different kind of flying.	STRIKER	 Besides, I haven't touched any kind of plane in six years.	DR. RUMACK	 Mister Striker. I know nothing about flying. All I know is this: you're the only person on this plane who can possibly fly it. You're the only chance we've got.	Airplane 
STRIKER	 (into mike) Mayday! INT. CHICAGO DISPATCH - NIGHT (surprised) Mayday? What the hell is that for?	HINSHAW	 It's the Russian New Year! We'll have a parade! They'll serve hot hors d'oeuvres!					Airplane 
JACK	 Get hold of yourself! Get hold of yourself!	DR. RUMACK	 (to Jack) Get back to your seat; I'll take care of this.	DR. RUMACK	 Calm down. Calm down. Get hold of yourself!	SISTER ANGELINA	 (to Rumack) Doctor, you're wanted on the phone.	Airplane 
