ANGELO DUNDEE	 (approving; past newspaper) Yeah. Like that, Daddy. Don't jump in one place. Bad for the heart. That's the most important thing. (without looking)	TIME!						Ali 
EXPLODES:		CASSIUS/BUNDINI	 (shout) Float like a butterfly! Sting like a bee! Rumble, young man, rumble. Aaaaaaargh!	CASSIUS	 Sonny Liston: you ain't no champ! You a chump! (beat) You want to lose your money, bet on Sonny. He know I'm great. He will go in eight!	CASSIUS (CONT'D)	 What you lookin' at, you ugly bear?!	Ali 
CASSIUS/BUNDINI	 (shout) Float like a butterfly! Sting like a bee! Rumble, young man, rumble. Aaaaaaargh!	CASSIUS	 Sonny Liston: you ain't no champ! You a chump! (beat) You want to lose your money, bet on Sonny. He know I'm great. He will go in eight!	CASSIUS (CONT'D)	 What you lookin' at, you ugly bear?!	CASSIUS (CONT'D)	 C'mon, bum. I whup you right here!	Ali 
CASSIUS (CONT'D)	 C'mon, bum. I whup you right here!	A MAN	 (reading) ...210... Cassius Clay weighs 210 pounds.	CASSIUS	 (changes down) You sure you got that right...?	THE MAN	 218. Sonny Liston...the heavyweight champion of the world weighs 218 pounds...	Ali 
A MAN	 (reading) ...210... Cassius Clay weighs 210 pounds.	CASSIUS	 (changes down) You sure you got that right...?	THE MAN	 218. Sonny Liston...the heavyweight champion of the world weighs 218 pounds...	BUNDINI	 Pounds of what?!	Ali 
CASSIUS	 Pounds of ugly! He so ugly, sweat run backwards off his forehead to get away from his face! C'mon, bear! I turn you into a rug!! Rumble right now, man!	SONNY LISTON	 (low) Keep talkin', punk-ass faggot! I'll fuck you up like I's your daddy...	CASSIUS	 You whup me, I'll crawl out of the ring on my knees and catch the next jet plane out of the country.	JIMMY CANNON	 (older reporter) That a promise?	Ali 
CASSIUS	 You whup me, I'll crawl out of the ring on my knees and catch the next jet plane out of the country.	JIMMY CANNON	 (older reporter) That a promise?	CASSIUS	 (to Jimmy Cannon) ...you be the first eatin' his words!	THE DOCTOR	 (alarmed, to Pacheco) 210 over 110?! I can't let him in the ring in this condition!	Ali 
JIMMY CANNON	 (older reporter) That a promise?	CASSIUS	 (to Jimmy Cannon) ...you be the first eatin' his words!	THE DOCTOR	 (alarmed, to Pacheco) 210 over 110?! I can't let him in the ring in this condition!	REPORTERS	 (shout) Liston says he'll talk with his fists. "Lip from Louisville." (laughter) ...odds 7:1 against you. Big bet's whether he'll knock you out in the first round or third round or kill you altogether. You scared of him?	Ali 
CASSIUS	 (to Jimmy Cannon) ...you be the first eatin' his words!	THE DOCTOR	 (alarmed, to Pacheco) 210 over 110?! I can't let him in the ring in this condition!	REPORTERS	 (shout) Liston says he'll talk with his fists. "Lip from Louisville." (laughter) ...odds 7:1 against you. Big bet's whether he'll knock you out in the first round or third round or kill you altogether. You scared of him?	CASSIUS	 I'm scared of no man. I give Sonny Liston talking lessons, boxing lessons and falling down lessons.	Ali 
THE DOCTOR	 (alarmed, to Pacheco) 210 over 110?! I can't let him in the ring in this condition!	REPORTERS	 (shout) Liston says he'll talk with his fists. "Lip from Louisville." (laughter) ...odds 7:1 against you. Big bet's whether he'll knock you out in the first round or third round or kill you altogether. You scared of him?	CASSIUS	 I'm scared of no man. I give Sonny Liston talking lessons, boxing lessons and falling down lessons.	CANNON/OTHERS	 Yeah, sure. Are you a Black Muslim? Pat Putnam in the Miami Herald said...	Ali 
REPORTERS/HOWARD COSELL	 Does he hate white people? Malcolm X was in town. Then he left. Was that so he wouldn't embarrass you? Liston cannot stand you...	ANGELO DUNDEE	 (sees) Howard!	HOWARD COSELL	 ...cannot stand you, Cassius.   He really wants to kill you...	CASSIUS	 Howard Cosell, you are an instigator! (Cosell smiles) How you get that way? When I'm done with Liston, I'm comin' for you!	Ali 
HOWARD COSELL	 ...cannot stand you, Cassius.   He really wants to kill you...	CASSIUS	 Howard Cosell, you are an instigator! (Cosell smiles) How you get that way? When I'm done with Liston, I'm comin' for you!	DOCTOR	 (to Pacheco) It doesn't come down, I cancel this fight. You call me in an hour with his blood pressure.			Ali 
CASSIUS	 Howard Cosell, you are an instigator! (Cosell smiles) How you get that way? When I'm done with Liston, I'm comin' for you!	DOCTOR	 (to Pacheco) It doesn't come down, I cancel this fight. You call me in an hour with his blood pressure.					Ali 
(MIAMI)		BUNDINI	 (entering) I'm called Bundini, rhymes with Houdini. He was a Jew, too...some other people call me Fastblack...or Daddy Mac...	BUNDINI (CONT'D)	 (motions at lounge chair) Shorty sent me to Sugar Ray Robinson. I gave my power to Sugar Ray for seven years, gave him my voodoo, my magic. Now Shorty sent me to you.	CASSIUS	 Who Shorty?	Ali 
BUNDINI	 'Cause I'm gonna be your Inspiration. Your motivator. In your corner. Can I be in your corner, young man?	CASSIUS	 (thinks, then) Yeah...	BUNDINI	 (inexplicably moved, covers) Ain't spent much time in Miami. Where the water?			Ali 
CASSIUS	 (thinks, then) Yeah...	BUNDINI	 (inexplicably moved, covers) Ain't spent much time in Miami. Where the water?					Ali 
MALCOLM X	 Nothing wrong with being cool, my brother. You been working toward this moment for four years.	ANGELO DUNDEE	 (while tying) He's right.	MALCOLM X	 It's a crusade in modern times. And television is beaming if off Telstar to the whole world. So Allah has brought this about for a reason... (time to leave) Salaam alaikum, my brother...			Ali 
ANGELO DUNDEE	 (while tying) He's right.	MALCOLM X	 It's a crusade in modern times. And television is beaming if off Telstar to the whole world. So Allah has brought this about for a reason... (time to leave) Salaam alaikum, my brother...					Ali 
LISTON'S LEFT		ANNOUNCER	 (at ringside, on radio) He's opened a cut on Liston. Liston's never been cut!					Ali 
CASSIUS	 (his gloves) Cut 'em off! Cut 'em!   I'm blind.	ANGELO DUNDEE	 No. You quit, it's over! Get out there. Be a yardstick. This is the big one, daddy. Get out there and run!					Ali 
HOWARD COSELL	 Was there any single point you knew you had him?	CASSIUS	 I had him in the first round. 'Cause I'm the greatest! (and seeing at ringside, calling him up) Sam... Hey, Sam! Let him up.	CASSIUS (CONT'D)	 I am the greatest! And he the greatest rock 'n' roll singer. Sam Cooke! I want everybody to bear witness. (they embrace) I shook up the world! Don't have a mark on me! I was burning. I was blind. I'm the prettiest thing that ever lived. I shook up the world! I shook up the world!			Ali 
SAM COOKE	 Hey!   The mummy always gets his man...	CASSIUS	 No, he don't! (to kid) Now, don't believe that stuff on television...					Ali 
A REPORTER	 The people look to you. Do you plan on being a people's champ, like Joe Louis?	CASSIUS	 (tentative) Yeah. I going to be a people's champ... (beat) But not like Joe Louis, exactly...	A REPORTER	 (starts) Mr. Clay...?	CASSIUS	 And I'm not Clay. Clay's the name of the people who owned by ancestors. I don't want to be called after that slave name no more. So I'm "X." Cassius X. And I'm a member of the Nation of Islam. The Honorable Elijah Muhammad is my spiritual guide. Malcolm X is my mentor.	Ali 
CASSIUS	 (tentative) Yeah. I going to be a people's champ... (beat) But not like Joe Louis, exactly...	A REPORTER	 (starts) Mr. Clay...?	CASSIUS	 And I'm not Clay. Clay's the name of the people who owned by ancestors. I don't want to be called after that slave name no more. So I'm "X." Cassius X. And I'm a member of the Nation of Islam. The Honorable Elijah Muhammad is my spiritual guide. Malcolm X is my mentor.	REPORTERS	 (all at once) You a card-carrying member?    Aren't Black Muslims a hate group?	Ali 
CASSIUS	 And I'm not Clay. Clay's the name of the people who owned by ancestors. I don't want to be called after that slave name no more. So I'm "X." Cassius X. And I'm a member of the Nation of Islam. The Honorable Elijah Muhammad is my spiritual guide. Malcolm X is my mentor.	REPORTERS	 (all at once) You a card-carrying member?    Aren't Black Muslims a hate group?	CASSIUS	 (droll) "Card-carrying"...? Don't need no "card." You got a Christian card? 750 million people believe in Islam. I'm one of them.	ANOTHER REPORTER (O.S.)	 Minister Malcolm...what about the reports of a split between you and Elijah Muhammad?	Ali 
REPORTERS	 (all at once) You a card-carrying member?    Aren't Black Muslims a hate group?	CASSIUS	 (droll) "Card-carrying"...? Don't need no "card." You got a Christian card? 750 million people believe in Islam. I'm one of them.	ANOTHER REPORTER (O.S.)	 Minister Malcolm...what about the reports of a split between you and Elijah Muhammad?	MALCOLM X	 This is the champ's time. And I'm here as a friend to celebrate his victory. So I got nothing you want...	Ali 
MALCOLM X	 I was leaving, saw the light on...how come you're up?	CASSIUS	 (mumbles, half-asleep) ...watchin' a show on termites...they knockin' down this house, here.	MALCOLM X	 I been invited to speak at Ibadan University in Nigeria. C'mon with me?	CASSIUS	 Six million in your house and you don't know it. Where?	Ali 
MALCOLM X	 Next Thursday.	CASSIUS	 (sees) What is it?	MALCOLM X	 You ever been so angry...have you ever been so angry that you'd explode?	CASSIUS	 (after a beat) Tore out a picture of Emmett Till when I was little. Couldn't take my eyes to it...couldn't look at it. Barb-wire around his neck to a 75- pound cotton-gin fan. Took out his eye. The cruelty to it...I couldn't look at it...couldn't throw it away.	Ali 
MALCOLM X	 You ever been so angry...have you ever been so angry that you'd explode?	CASSIUS	 (after a beat) Tore out a picture of Emmett Till when I was little. Couldn't take my eyes to it...couldn't look at it. Barb-wire around his neck to a 75- pound cotton-gin fan. Took out his eye. The cruelty to it...I couldn't look at it...couldn't throw it away.	MALCOLM X	 What else?	CASSIUS	 I thought, "What I do wrong to be so low that people could do that to people like me?" It made me feel ashamed. And that makes no sense. But that's what it was.	Ali 
CASSIUS	 I thought, "What I do wrong to be so low that people could do that to people like me?" It made me feel ashamed. And that makes no sense. But that's what it was.	MALCOLM X	 ...when I heard about the four girls bombed in the 16th Street Church in Birmingham? (beat) The prohibitions of the Honorable Elijah Muhammad prevented me from speaking my voice in action. Because Birmingham was part of the civil rights movement, begging for a place at the white man's table... But dead children...are dead children. So the anger I felt, I had to contain. I locked that down! So tight my muscles seized. I lost control over the right side of my body. Leg didn't work...right arm didn't work. "I'm having a stroke," I thought. I had to hold it in 'cause I wanted, all I wanted was to BREAK SOMETHING! Break a part...any part of this system. Because you are so provoked as a human being. In your spirit. In your heart... At the death of children. But I COULD DO...nothing.	MALCOLM X (CONT'D)	 (putting his glasses back on) Everyone knows... Now I'm advocating more direct political action involvement with the international struggle... So Elijah Muhammad has suspended me as a Minister in the Nation of Islam for 90 days.	CASSIUS	 You can fix that...	Ali 
ELIJAH MUHAMMAD	 Only after long service and high merit in the spiritual and physical rebirth of Afro-American people...is one granted an original name. But you are special. A world champion. So there is a gift I wish to give you. From this day forward you will be known as Muhammad Ali...which means "one worthy of praise," and Ali means "most high."	CASSIUS	 (a beat, sounding it) Muhammad Ali. (humble) "Worthy of praise..." Thank you!	ELIJAH MUHAMMAD	 (cautioning) Be very careful what you say...your words reflect on the nation of Islam, now.	CASSIUS	 Yes, sir.	Ali 
CASSIUS	 (a beat, sounding it) Muhammad Ali. (humble) "Worthy of praise..." Thank you!	ELIJAH MUHAMMAD	 (cautioning) Be very careful what you say...your words reflect on the nation of Islam, now.	CASSIUS	 Yes, sir.	ELIJAH MUHAMMAD	 (after a beat) Up until now, I have entrusted your spiritual development to Brother Malcolm. (beat) I do not feel this is a wise course anymore.	Ali 
