JOHN	 He likes when I read to him and -- I can't --	ABBOT	 (smiles) Someone must have left this one unlocked. Take the book with you.	JOHN	 Father, I --?	ABBOT	 Kyle tells me you did a good job at the glassworks today.	Alien 3 
ABBOT	 Just have it back before the end of lunch. Oh -- And I didn't see you in here.	JOHN	 Thank you. (to Mattias) Let's go upstairs, boy.					Alien 3 
COMPUTER VOICE	 (sotto) Seal broken...seal broken...	WOMAN	 ...taking pod four.  The Crew of the SS Sulaco and all Marine commandoes are dead. Ship's sensors have interrupted the hyper sleep cycle.  An overlooked alien egg has hatched.  Bishop and Hicks have been killed. Xenomorphs have infested the cruiser.  Newt and I are taking pod four.  The Crew of...	KYLE	 John - what is it?  Is this a Supply ship?			Alien 3 
FIRST MONK	 (reverent) A space ship...	SECOND MONK	 (even more reverent) A woman...	KYLE	 You shouldn't have gone in --	JOHN	 I'm supposed to be a doctor.	Alien 3 
RIPLEY	 Ripley.  How did I get here?	ABBOT	 Your vehicle crash landed. (indicates John) Brother John found you and brought you here.	RIPLEY	 Where is here?	ABBOT	 This is the Minorite Abbey within the manmade orbiter Arceon.	Alien 3 
ABBOT	 You were the only living thing found aboard that vessel.	RIPLEY	 (slowly) Oh, God.  Newt.	RIPLEY	 It came with us.	ABBOT	 What came with you?	Alien 3 
ABBOT	 Almost two days --	RIPLEY	 (calculates) Loose for two days.  This planet could be overrun within the week.	RIPLEY	 Look, there's a xenomorph -- (sees his confusion) An Alien creature.  A killer.  A monster. And now it's here.	RIPLEY	 Calm down, Ripley.  Okay, I was with a platoon of Colonial Marines on a mission to planetoid LV426.  We left Earth six months ago - maybe a year --	Alien 3 
RIPLEY	 Calm down, Ripley.  Okay, I was with a platoon of Colonial Marines on a mission to planetoid LV426.  We left Earth six months ago - maybe a year --	ABBOT	 (interrupts) Wait a moment --	ABBOT	 Leave us.	ABBOT	 Continue.	Alien 3 
ABBOT	 When we left Earth seventy years ago, it was on the brink of a New Dark Age. Technology was on the verge of destroying the planet's environment.  A computer virus was threatening to wipe away all recorded knowledge.  There didn't seem to be any way it could be averted.  In the almost forty years since we were towed out here in hypersleep, the news that came with occasional supply ships only got worse. Finally, the ships stopped coming.  We had to resign ourselves to the fact that worst had come to pass, and the Earth no longer existed.	RIPLEY	 (slowly) Uh...All right... Forget the Earth - How many people do you have here?  Let's worry about them.  Warn them --	ABBOT	 Your mind is troubled.  You need to rest some more.	RIPLEY	 I don't need rest - I need to get to your people.  You've got to get to them -- tell them about the alien --	Alien 3 
RIPLEY	 I was on the Earth less than a year ago. It's still there.  People, cities, all still there!	ABBOT	 (matter of fact) All dead.	RIPLEY	 (screams) It's still there!	ABBOT	 You could not have been on the Earth a year ago, because there is no Earth to be on -- for at least twenty years.	Alien 3 
ABBOT	 (matter of fact) All dead.	RIPLEY	 (screams) It's still there!	ABBOT	 You could not have been on the Earth a year ago, because there is no Earth to be on -- for at least twenty years.	RIPLEY	 I haven't been floating in space for twenty years.  Let me get to my ship and I'll prove it.	Alien 3 
