FEDORCHUK	 I remember where I was -- pissing off my balcony at the neighbor's dog!	ALTEREZ	 (yells at Crais on TV) Get to the goddamn ball scores!					Alien Nation 
SYKES	 Hope their plumbing's the same.	TUGGLE	 It is. (and Sykes gives him a look)					Alien Nation 
SYKES	 How can I go?	TUGGLE	 Put on your wash-and-wear suit and your clip-on tie, have your landlady tie your shoes for you, and show up at the church.  Simple. (beat) Me and Carol are going.	SYKES	 What?	TUGGLE	 Hey, look -- we've known Kristin since... since she was conceived in that cabin up in Big Bear. Remember?  You and Edie banged the wall so hard, me and Carol were picking plaster out of our hair for a week...	Alien Nation 
HUMAN COP	 Whoa, whoa... hold it.  Take it easy. (to alien on the ground) You okay?	JETSON	 I am all right.	HUMAN COP	 I better call in.			Alien Nation 
JETSON	 Perhaps because even the larger caliber handguns aren't always effective against my people.	SYKES	 (mulls this, then) You saying there's some connection to this other homicide?	FEMALE COP	 Hey, give me a hand with this woman, will ya Jetson?  We've got to get her to Division for her statement and she won't budge.	JETSON	 (to Sykes) Excuse me.	Alien Nation 
FEMALE COP	 Hey, give me a hand with this woman, will ya Jetson?  We've got to get her to Division for her statement and she won't budge.	JETSON	 (to Sykes) Excuse me.	SYKES	 So, you think there's a connection, or what?  Hey!			Alien Nation 
KRISTIN'S VOICE	 (bouncy, bride-to-be happy) Hi, Daddy, it's me.  I'm over at Danny's parents' house... talking about Sunday.  I thought maybe you'd be home by now.  Anyway, uh, nothing really.  I just wanted to call and say I love you.  I love you, Daddy. (she giggles) Uh-oh, I shouldn't'a done that. Knowing you, you'll probably pull this tape out of your machine and save it -- in that drawer where you keep every card I ever gave you, and all of my old baby teeth... gross! Anyway, Daddy, don't save this tape -- but I do love you, and I'll talk to you before Sunday. (beat) Oh, Tug and Carol came by and met Danny last week. (Sykes stiffens) Danny thought Tug was the greatest -- but, then, who doesn't?  Anyway, love you, talk to you soon.  'Bye.	FADE TO:						Alien Nation 
GOLDRUP	 Victor Goldrup, Mayor's office. Congratulations, gentlemen.	WARNER	 (to Sykes) You are to have nothing to do with the investigation into Bill Tuggle's death.  You know that.  Leave that for Fedorchuk.	SYKES	 (nodding) Departmental policy.	WARNER	 (to Jetson) You?	Alien Nation 
WARNER	 (to Sykes) You are to have nothing to do with the investigation into Bill Tuggle's death.  You know that.  Leave that for Fedorchuk.	SYKES	 (nodding) Departmental policy.	WARNER	 (to Jetson) You?	JETSON	 Yes, sir.	Alien Nation 
SYKES	 (nodding) Departmental policy.	WARNER	 (to Jetson) You?	JETSON	 Yes, sir.	WARNER	 Good.	Alien Nation 
SYKES	 ... and we work my hours.  I'll do the driving, you do the paperwork. You gotta learn it so you might as well do it all.	JETSON	 (after a moment) Sergeant... I'd like to thank you for what you're doing.	SYKES	 What's that? (then realizing) Look, Jetson.  Get this straight in your head.  We're not pals, we're not married, and we ain't gonna take long moonlight walks together... We're just partners.  And don't call me Sergeant.  Call me Sykes... or Matt if you have to.	JETSON	 I am George.	Alien Nation 
JETSON	 (after a moment) Sergeant... I'd like to thank you for what you're doing.	SYKES	 What's that? (then realizing) Look, Jetson.  Get this straight in your head.  We're not pals, we're not married, and we ain't gonna take long moonlight walks together... We're just partners.  And don't call me Sergeant.  Call me Sykes... or Matt if you have to.	JETSON	 I am George.	SYKES	 Wait a minute.  George?  George Jetson?	Alien Nation 
SYKES	 Anyway, what's it matter to you if we think it's funny, right?  Whatta you care?	JETSON	 That is exactly so. (completely deadpan) It is like your name... Sykes.  I'm sure it doesn't bother you at all that it sounds like "ss'ai k'ss", two words in my language which mean "excrement" and "cranium".	JETSON	 "Shit... head".			Alien Nation 
SYKES	 Let's talk Hubley.	JETSON	 (refers to a folder he holds) His body was discovered three days ago, in an alley off of Central Avenue, near downtown.	SYKES	 With two BRI Sabot slugs in the chest.	JETSON	 (gently correcting him) Through the chest.  Rupturing both the primary and secondary hearts.	Alien Nation 
SYKES	 With two BRI Sabot slugs in the chest.	JETSON	 (gently correcting him) Through the chest.  Rupturing both the primary and secondary hearts.	SYKES	 (out the window) Nice signal, dickwad!	JETSON	 He was employed at the Northwest Petroleum Refinery in Torrance.  He was manager of the Methane Facility. He was also a principle partner in a real estate venture to develop low- cost housing for Newcomers.	Alien Nation 
JETSON	 (gently correcting him) Through the chest.  Rupturing both the primary and secondary hearts.	SYKES	 (out the window) Nice signal, dickwad!	JETSON	 He was employed at the Northwest Petroleum Refinery in Torrance.  He was manager of the Methane Facility. He was also a principle partner in a real estate venture to develop low- cost housing for Newcomers.	SYKES	 Terrific.  A real pillar of the community. (beat) Was Hubley missing anything when they found him?  Was he ripped off?	Alien Nation 
JETSON	 He was employed at the Northwest Petroleum Refinery in Torrance.  He was manager of the Methane Facility. He was also a principle partner in a real estate venture to develop low- cost housing for Newcomers.	SYKES	 Terrific.  A real pillar of the community. (beat) Was Hubley missing anything when they found him?  Was he ripped off?	JETSON	 (checks file) There was no wallet... but he was still wearing a watch and two rings.	SYKES	 The guys at the mini-mart last night made a half-assed stab at the money in the till -- but I don't think that's what they were there for.  I think we got us a couple'a executions on our hands, George...	Alien Nation 
SYKES	 Terrific.  A real pillar of the community. (beat) Was Hubley missing anything when they found him?  Was he ripped off?	JETSON	 (checks file) There was no wallet... but he was still wearing a watch and two rings.	SYKES	 The guys at the mini-mart last night made a half-assed stab at the money in the till -- but I don't think that's what they were there for.  I think we got us a couple'a executions on our hands, George...	JETSON	 The murder at the mini-mart is not our case.  The Captain said--	Alien Nation 
