MED-TECH	 And how are we today?	RIPLEY	 (weakly) Terrible.	MED-TECH	 Just terrible?  That's better than yesterday at least.	RIPLEY	 How long have I been on Gateway station?	Aliens 
RIPLEY	 How long was I out there?  They won't tell me anything.	BURKE	 (soothing) Well, maybe you shouldn't worry about that just yet.	RIPLEY	 How long?	BURKE	 All right.  My instinct says you're strong enough to handle this...Fifty-seven years.	Aliens 
BURKE	 You'd drifted right through the core systems.  It's blind luck that deep-salvage team caught you when they...are you all right?	MED-TECH	 (shouting) Code Blue!  415.  Code Blue!	4-1-5!		RIPLEY	 No...noooo!	Aliens 
MED-TECH	 Bad dreams again?  Do you want something to help you sleep?	RIPLEY	 (faint) No.. I've slept enough.	RIPLEY	 We made it, Jones.  We made it.			Aliens 
RIPLEY	 (voice over) Dumbshit.	BURKE	 Sorry...I've been running behind all morning.	RIPLEY	 Have they located my daughter yet?			Aliens 
RIPLEY	 Is she...?	BURKE	 (scanning) Amanda Ripley-McClaren.  Married name, I guess.  Age:  sixty-six ...at time of death.  Two years ago. (looks at her) I'm sorry.	RIPLEY	 Amy.	BURKE	 (reading) Cancer.  Hmmmm.  They still haven't licked that one.  Cremated.  Interred Parkside Repository, Little Chute, Wisconsin.  No children.	Aliens 
RIPLEY	 Amy.	BURKE	 (reading) Cancer.  Hmmmm.  They still haven't licked that one.  Cremated.  Interred Parkside Repository, Little Chute, Wisconsin.  No children.	RIPLEY	 I promised her I'd be home for her birthday.  Her eleventh birthday.  I sure missed that one. (pause) Well...she has already learned to take my promises with a grain of salt.  When it came to flight schedules, anyway.	RIPLEY	 You always think you can make it up to somebody...later, you know. But now I never can.  I never can.	Aliens 
BURKE	 (reading) Cancer.  Hmmmm.  They still haven't licked that one.  Cremated.  Interred Parkside Repository, Little Chute, Wisconsin.  No children.	RIPLEY	 I promised her I'd be home for her birthday.  Her eleventh birthday.  I sure missed that one. (pause) Well...she has already learned to take my promises with a grain of salt.  When it came to flight schedules, anyway.	RIPLEY	 You always think you can make it up to somebody...later, you know. But now I never can.  I never can.	BURKE	 (gently) The hearing convenes at 0930.  You don't want to be late.	Aliens 
RIPLEY	 You always think you can make it up to somebody...later, you know. But now I never can.  I never can.	BURKE	 (gently) The hearing convenes at 0930.  You don't want to be late.					Aliens 
VAN LEUWEN	 Look at it from our perspective. You freely admit to detonating the engines of, and thereby destroying, an M-Class star-freighter.  A rather expensive piece of hardware...	INSURANCE INVESTIGATOR	 (dryly) Forty-two million in adjusted dollars. That's minus payload, of course.	VAN LEUWEN	 The shuttle's flight recorder corroborates some elements of your account.  That the Nostromo set down on LV-426, an unsurveyed planet, at that time.  That repairs were made.  That it resumed its course and was subsequently set for self-destruct.  By you.  For reasons unknown.	RIPLEY	 Look, I told you...	Aliens 
VAN LEUWEN	 The analysis team which went over your shuttle centimeter by centimeter found no physical evidence of the creature you describe...	RIPLEY	 (losing it) That's because I blew it out the Goddamn airlock! (pause) Like I said.	INSURANCE MAN	 (to ECA Rep) Are there any species like this 'hostile organism' on LV-426?	ECA REP	 No.  It's a rock.  No indigenous life larger than a simple virus.	Aliens 
RIPLEY	 (losing it) That's because I blew it out the Goddamn airlock! (pause) Like I said.	INSURANCE MAN	 (to ECA Rep) Are there any species like this 'hostile organism' on LV-426?	ECA REP	 No.  It's a rock.  No indigenous life larger than a simple virus.	RIPLEY	 I told you, it wasn't indigenous. There was an alien spacecraft there. A derelict ship.  We homed on its beacon...	Aliens 
RIPLEY	 I told you, it wasn't indigenous. There was an alien spacecraft there. A derelict ship.  We homed on its beacon...	ECA REP	 To be perfectly frank, we've surveyed over three hundred worlds and no one's ever reported a creature which, using your words... (read from Ripley's statement) ...'gestates in a living human host' and has 'concentrated molecular acid for blood.'	RIPLEY	 Look, I can see where this is going.  But I'm telling you those things exist.  Back on that planetoid is an alien ship and on that ship are thousands of eggs.  Thousands. Do you understand?  I suggest you find it, using the flight recorder's data.  Find it and deal with it -- before one of your survey teams comes back with a little surprise...	VAN LEUWEN	 Thank you, Officer Ripley.  That will be...	Aliens 
