MADISON	 The answer is... get up there.	JACK	 Right. (starts to go) Oh... uh... what did you say his name was?	MADISON	 Who?	JACK	 The fellow's name.	All the King's Men 
MADISON	 Oh, the... uh... Stark... Willie Stark.	JACK	 (as he leaves) Willie Stark...	JACK	 (voice over) I found him in Kanoma City. A typical, hot, dusty, backwoods county seat.	WILLIE	 ...to lie to them in order to line their own dirty pockets with the taxpayers' money. When have the citizens of Kanoma County ever witnessed a campaign like this? Why is the opposition so anxious to defeat me? Why have they used every dirty method known to make sure I'm not elected county treasurer? Well, I'll tell you why...	All the King's Men 
SHERIFF	 City Ordinance Number One-Oh-Five: more than five people congregating is disturbing the peace.	WILLIE	 (ignores him) If you folks'll be so kind as to read these handbills, my boy will pass them out among you.	SHERIFF	 There's an ordinance against that too.	WILLIE	 (his face grim) Pass 'em out, Tom.	All the King's Men 
SHERIFF	 There's an ordinance against that too.	WILLIE	 (his face grim) Pass 'em out, Tom.	WILLIE	 Let him alone!	SHERIFF	 (to deputy) Get that camera! Willie, you're under arrest.	All the King's Men 
WILLIE	 Let him alone!	SHERIFF	 (to deputy) Get that camera! Willie, you're under arrest.	JACK	 Where can I find Tiny Duffy?	PILLSBURY	 Right over there, mister.	All the King's Men 
DUFFY	 He's the head man.	JACK	 (to Pillsbury) Then you're in a position to know where --	DUFFY	 He's in a position to know nothin'. And to say nothin'.	JACK	 I thought you said he was head man?	All the King's Men 
JACK	 I thought you said he was head man?	DUFFY	 (smiling) He uses my head.	PILLSBURY	 (laughing loudly) Oh, Tiny, you're a card... Ain't he a card? Yeah, he's a card... Now, who thought up those city ordinances about arresting someone for making a speech?	DUFFY	 Who's arrested? Nobody's been arrested. (looks toward the door) Hi, Willie.	All the King's Men 
DUFFY	 (smiling) He uses my head.	PILLSBURY	 (laughing loudly) Oh, Tiny, you're a card... Ain't he a card? Yeah, he's a card... Now, who thought up those city ordinances about arresting someone for making a speech?	DUFFY	 Who's arrested? Nobody's been arrested. (looks toward the door) Hi, Willie.	PILLSBURY	 Hi, Willie.	All the King's Men 
PILLSBURY	 (laughing loudly) Oh, Tiny, you're a card... Ain't he a card? Yeah, he's a card... Now, who thought up those city ordinances about arresting someone for making a speech?	DUFFY	 Who's arrested? Nobody's been arrested. (looks toward the door) Hi, Willie.	PILLSBURY	 Hi, Willie.	DUFFY	 (to Sheriff) Did you apologize to Willie?	All the King's Men 
PILLSBURY	 Hi, Willie.	DUFFY	 (to Sheriff) Did you apologize to Willie?	SHERIFF	 (mumbles) Yeah, I apologized to Willie.	DUFFY	 Did you give him his handbills back?	All the King's Men 
DUFFY	 (to Sheriff) Did you apologize to Willie?	SHERIFF	 (mumbles) Yeah, I apologized to Willie.	DUFFY	 Did you give him his handbills back?	SHERIFF	 Yeah, I gave 'em back.	All the King's Men 
SHERIFF	 Yeah, I gave 'em back.	DUFFY	 Give him back his flag and his bag and... (points to Jack) give this man his camera.	WILLIE	 I'm going to be on that same street corner tomorrow, Mr. Duffy.	DUFFY	 You go right ahead, Willie. We all believe in free speech. We got to... it's in the Constitution.	All the King's Men 
DUFFY	 I wanted you to meet a fella came all the way up from the state capital to meet you. A reporter. Wants to write you up... maybe put your picture in the paper.	WILLIE	 (turns to Jack) I'm happy to know you, sir.	JACK	 Burden's my name... Jack Burden. Can we go somewhere where we can talk?	DUFFY	 Now that ain't polite. Don't you want to hear both sides of the story?	All the King's Men 
DUFFY	 Now that ain't polite. Don't you want to hear both sides of the story?	JACK	 I know your side. (finds the plate missing) What happened to the plate your men took from my camera?	DUFFY	 Must have dropped out. Oh, come on, fellas, let's relax. It's a hot day... Hey, Sugar Boy...	SUGAR BOY	 Yeah?	All the King's Men 
DUFFY	 Orange pop! All right, Sugar Boy. Bring him some orange pop.	SUGAR BOY	 (stutters) Th-th-the p-p-pop's s-s-sold out.	DUFFY	 Did you hear that, boys? The p-p- pop's s-s-sold out.	PILLSBURY	 Now ain't he a card?	All the King's Men 
PILLSBURY	 Now ain't he a card?	WILLIE	 (his face hard) He stutters, Mr. Duffy, but you... you don't say anything. (to Jack) Let's go, mister.	WILLIE	 (as they go up the steps) This is my wife, Lucy, Mr. Burden.	JACK AND LUCY	 How do you do?	All the King's Men 
WILLIE	 Nine years.	LUCY	 (laughs) He was a neighbor's boy. They were poor folks. Both died. I couldn't have any children, so... He's a good boy.	WILLIE	 Oh, he's the best. I couldn't love him any more if he was my own flesh and blood.	JACK	 (to Lucy) And now you, Mrs. Stark?	All the King's Men 
WILLIE	 Oh, he's the best. I couldn't love him any more if he was my own flesh and blood.	JACK	 (to Lucy) And now you, Mrs. Stark?	LUCY	 Oh, there isn't very much to tell about me.	JACK	 How did you meet?	All the King's Men 
JACK	 Is that the only reason?	LUCY	 (pressing Willie's arm) Except that I loved him.	WILLIE	 Get the coffee, Lucy.	JACK	 When did they fire you, Mrs. Stark?	All the King's Men 
JACK	 When did they fire you, Mrs. Stark?	LUCY	 (as she serves the coffee) A couple of weeks ago. I'd been teaching for a long time and nobody ever said I wasn't all right. But I don't care. I don't want to teach in a schoolhouse that they built just so somebody can steal some money. And Willie doesn't want to be Treasurer, either, if he has to associate with those dishonest people.	WILLIE	 (glumly) I'm going to run. They can't keep me from running.	JACK	 If you don't mind the truth, Mr. Stark, you haven't much of a chance.	All the King's Men 
LUCY	 (as she serves the coffee) A couple of weeks ago. I'd been teaching for a long time and nobody ever said I wasn't all right. But I don't care. I don't want to teach in a schoolhouse that they built just so somebody can steal some money. And Willie doesn't want to be Treasurer, either, if he has to associate with those dishonest people.	WILLIE	 (glumly) I'm going to run. They can't keep me from running.	JACK	 If you don't mind the truth, Mr. Stark, you haven't much of a chance.	WILLIE	 I'm going to run. They're not going to kick me around like I was dirt.	All the King's Men 
LUCY	 What happened, Tommy boy? What's the matter?	TOM	 (head down, muttering) I gave out the handbills, Pa.	WILLIE	 Speak up. Speak up.	LUCY	 Let him tell it his own way. Go on, Tommy.	All the King's Men 
TOM	 This time they were waiting for me. They took them away from me. Threw them in the dirt and beat me up. I brought some of them back.	WILLIE	 (pats him on the back) Good boy. Have you eaten yet, Tom?	LUCY	 Let him wash up first.	WILLIE	 I'm going to run... and you're not going to stop me. I'm gonna run even if I don't get a single vote.	All the King's Men 
JACK	 Hello, Mother.	MRS. BURDEN	 Floyd, Jack's home. Oh, he looks fine... doesn't he look fine? (to Jack, coquettishly) How do I look, Jackie boy?	JACK	 You look beautiful, Mother.	MRS. BURDEN	 I've got so many things planned for you... parties and... it'll be just like old times. But first, let's have a drink.	All the King's Men 
MCEVOY	 How long do you plan on staying?	JACK	 (coldly) Two or three weeks. If that's all right with you.	MRS. BURDEN	 I'm sure your father would be --	JACK	 Stepfather, Mother.	All the King's Men 
JACK	 Stepfather, Mother.	MRS. BURDEN	 (reproachfully) Now, Jackie... here we all are. Floyd, Jackie, myself. (raises her glass for a toast) To the best time we've ever had together.	JACK	 Yes, Mother.	JACK	 Excuse me... I...	All the King's Men 
