WOODWARD	 You call me in on my day off because some idiots have broken into local Democratic Headquarters--tell me, Harry, why should I be smiling?	ROSENFELD	 As usual, that keen mind of yours has pegged the situation perfectly. (chomps on some Maalox tablets) Except (a) it wasn't local Democratic Headquarters, it was National Democratic Headquarters-- (WOODWARD is surprised-- he hadn't known) --and (b) these weren't just any idiots, these were special idiots, seeing as when they were arrested at 2:30 this morning, they were all wearing business suits and Playtex gloves and were carrying-- (consults a piece of paper) --a walkie-talkie, forty rolls of film, cameras, lock picks, pen-sized tear gas guns, plus various bugging devices. (puts paper down) Not to mention over two thousand dollars, mostly in sequenced hundred dollar bills.	WOODWARD	 Preliminary hearing at Superior Courthouse?	ROSENFELD	 (nods) Two o'clock, work the phones 'til you go.	All the President's Men 
WOODWARD	 Preliminary hearing at Superior Courthouse?	ROSENFELD	 (nods) Two o'clock, work the phones 'til you go.					All the President's Men 
WOODWARD	 (to the COUNSEL'S	CLERK)	 Could you give me the names of the lawyers for the men arrested in the Watergate.	CLERK	 These two were appointed-- (indicates the angry men) --only now it turns out the burglars got their own counsel. (he starts to laugh)			All the President's Men 
CLERK)	 Could you give me the names of the lawyers for the men arrested in the Watergate.	CLERK	 These two were appointed-- (indicates the angry men) --only now it turns out the burglars got their own counsel. (he starts to laugh)	FIRST ANGRY LAWYER	 (to CLERK) When you gonna stop thinking it's so funny.	SECOND ANGRY LAWYER	 (To CLERK) We wouldda done a terrific job protecting those guys. (neither lawyer, by the way, is Clarence Darrow)	All the President's Men 
CLERK	 These two were appointed-- (indicates the angry men) --only now it turns out the burglars got their own counsel. (he starts to laugh)	FIRST ANGRY LAWYER	 (to CLERK) When you gonna stop thinking it's so funny.	SECOND ANGRY LAWYER	 (To CLERK) We wouldda done a terrific job protecting those guys. (neither lawyer, by the way, is Clarence Darrow)	FIRST ANGRY LAWYER	 You think we're not as good as some hotshot fancy lawyer?--	All the President's Men 
FIRST ANGRY LAWYER	 (to CLERK) When you gonna stop thinking it's so funny.	SECOND ANGRY LAWYER	 (To CLERK) We wouldda done a terrific job protecting those guys. (neither lawyer, by the way, is Clarence Darrow)	FIRST ANGRY LAWYER	 You think we're not as good as some hotshot fancy lawyer?--			All the President's Men 
CADDY	 --I'm not here.	WOODWARD	 (nods) OK.	WOODWARD	 Douglas Caddy, the attorney of record, when questioned about his presence in the courtroom, denied he was in the courtroom, "I'm not here," Mr. Caddy said.			All the President's Men 
WOODWARD	 Douglas Caddy, the attorney of record, when questioned about his presence in the courtroom, denied he was in the courtroom, "I'm not here," Mr. Caddy said.	CADDY	 (impatiently) Clearly, I am here, but only as an individual, I'm not the attorney of record. (indicating unshaven man) Mr. Rafferty has that position. Whatever you want, you'll have to get from him, I have nothing more to say.					All the President's Men 
WOODWARD	 (moving in behind him) Mr. Rafferty was very helpful. Four Cuban-Americans and this other man, James McCord.	CADDY	 Look, I told you inside--	WOODWARD	 --you have nothing more to say, I understand that.			All the President's Men 
CADDY	 So?	WOODWARD	 Well, they never would have been assigned if anyone had known the burglars had arranged for their own counsel. And that could only mean the burglars didn't arrange for their own counsel--they never even made a phone call. (looks at CADDY) So if they didn't ask for you to be here, how did you know to come?					All the President's Men 
WOODWARD	 Did you know to come because one of the other men involved in the break- in called you?	CADDY	 (turning) There is no reason to assume other people were involved.	WOODWARD	 Your clients were arrested with a walkie-talkie; they didn't need that to talk among themselves.	CADDY	 (turning back) They are not my clients.	All the President's Men 
WOODWARD	 Your clients were arrested with a walkie-talkie; they didn't need that to talk among themselves.	CADDY	 (turning back) They are not my clients.	WOODWARD	 You're a lawyer and you're here--	CADDY	 --I met one of the defendants, Mr. Barker, at a social occasion once-- (stops himself) --I have nothing more to say.	All the President's Men 
WOODWARD	 You're a lawyer and you're here--	CADDY	 --I met one of the defendants, Mr. Barker, at a social occasion once-- (stops himself) --I have nothing more to say.	WOODWARD	 (leaning forward as CADDY turns away again) A Miami social occasion? (explaining) Mr. Rafferty told me the Cubans were from Miami.	CADDY	 (sighing) Barker's wife called me at three this morning; her husband apparently had told her to call if he hadn't called her by then.	All the President's Men 
CADDY	 --I met one of the defendants, Mr. Barker, at a social occasion once-- (stops himself) --I have nothing more to say.	WOODWARD	 (leaning forward as CADDY turns away again) A Miami social occasion? (explaining) Mr. Rafferty told me the Cubans were from Miami.	CADDY	 (sighing) Barker's wife called me at three this morning; her husband apparently had told her to call if he hadn't called her by then.	WOODWARD	 It was really nice of you to come, since you'd only met him once.	All the President's Men 
WOODWARD	 (leaning forward as CADDY turns away again) A Miami social occasion? (explaining) Mr. Rafferty told me the Cubans were from Miami.	CADDY	 (sighing) Barker's wife called me at three this morning; her husband apparently had told her to call if he hadn't called her by then.	WOODWARD	 It was really nice of you to come, since you'd only met him once.	CADDY	 Are you implying you don't believe me?	All the President's Men 
BARKER	 Anti-Communists.	JUDGE	 Anti-Communists? (perplexed) That, sir, is not your average occupation.	JUDGE	 Your name, please.	MCCORD	 James McCord.	All the President's Men 
MCCORD	 James McCord.	JUDGE	 Will you step forward, sir. (MCCORD obeys)	JUDGE	 And what is your occupation, Mr. McCord?	MCCORD	 (softly) Security consultant.	All the President's Men 
JUDGE	 And what is your occupation, Mr. McCord?	MCCORD	 (softly) Security consultant.	JUDGE	 Where?	MCCORD	 (softer) Government. Recently retired.	All the President's Men 
JUDGE	 Where?	MCCORD	 (softer) Government. Recently retired.	JUDGE	 Where in government?	MCCORD	 (we can't really make this out) ...Central... Intelligence... Agency...	All the President's Men 
JUDGE	 Where in government?	MCCORD	 (we can't really make this out) ...Central... Intelligence... Agency...	JUDGE	 (he can't either) Where?	MCCORD	 (clearing his throat) The C.I.A.	All the President's Men 
MCCORD	 (we can't really make this out) ...Central... Intelligence... Agency...	JUDGE	 (he can't either) Where?	MCCORD	 (clearing his throat) The C.I.A.	ZOOM TO:		All the President's Men 
JUDGE	 (he can't either) Where?	MCCORD	 (clearing his throat) The C.I.A.	ZOOM TO:		WOODWARD	 (stunned) Holy shit.	All the President's Men 
ZOOM TO:		WOODWARD	 (stunned) Holy shit.					All the President's Men 
COP	 --I said look, not memorize--	BACHINSKI	 --almost done, give it a rest, all right... (and he looks at an address book, he stops)					All the President's Men 
WOODWARD	 That's everything Bachinski had, I think it's worth following up.	ROSENFELD	 Don't know; who the hell's Howard Hunt? (crunches tablets) It's probably nothing but check it out. Just go easy, it could be crazy Cubans.	SIMONS	 Anything?	ROSENFELD	 Woodward's onto a new wrinkle with the break-in thing--absolute page one stuff--	All the President's Men 
SIMONS	 --in other words, you got nothing, you're thumbsucking.	ROSENFELD	 (shrugs) Could develop.	SIMONS	 Let me see what you get, but don't jump--The New York Times thinks it's crazy Cubans.	ROSENFELD	 OK, get on this W.House guy and do a better job then you did on McCord.	All the President's Men 
ROSENFELD	 Then how come the Associated Press were the ones found out that Mr. McCord is security coordinator for the Committee to Re-elect the President, otherwise known as CREEP?	WOODWARD	 (getting it straight) The head of security for the reelection of a Republican President got caught bugging the national offices of the Democrats? What the hell does that mean?	ROSENFELD	 (hasn't the foggiest) Mr. John Mitchell, the head of CREEP, says it means nothing. (reads) "...This man and the other people involved were not operating on either our behalf or with our consent. These is no place in our campaign or in the electoral process for this type of activity, and we will not forget it or condone it."	WOODWARD	 (getting up) You can't believe that.	All the President's Men 
WOODWARD	 (getting it straight) The head of security for the reelection of a Republican President got caught bugging the national offices of the Democrats? What the hell does that mean?	ROSENFELD	 (hasn't the foggiest) Mr. John Mitchell, the head of CREEP, says it means nothing. (reads) "...This man and the other people involved were not operating on either our behalf or with our consent. These is no place in our campaign or in the electoral process for this type of activity, and we will not forget it or condone it."	WOODWARD	 (getting up) You can't believe that.	ROSENFELD	 As a rough rule of thumb, as far as I can throw Bronco Nagurski, that's how much I trust John Mitchell...	All the President's Men 
ROSENFELD	 (hasn't the foggiest) Mr. John Mitchell, the head of CREEP, says it means nothing. (reads) "...This man and the other people involved were not operating on either our behalf or with our consent. These is no place in our campaign or in the electoral process for this type of activity, and we will not forget it or condone it."	WOODWARD	 (getting up) You can't believe that.	ROSENFELD	 As a rough rule of thumb, as far as I can throw Bronco Nagurski, that's how much I trust John Mitchell...			All the President's Men 
ROSENFELD	 What'd you get on W.House?	WOODWARD	 (massaging his neck) Lotsa hints--	ROSENFELD	 (not happy) I can't sell hints to Simons-- (stops, looks at piece of yellow paper) --you called everyone you know? (WOODWARD makes a nod) Call someone you don't know.	WHITE HOUSE OPERATOR (V.O.)	 White House.	All the President's Men 
WOODWARD	 (massaging his neck) Lotsa hints--	ROSENFELD	 (not happy) I can't sell hints to Simons-- (stops, looks at piece of yellow paper) --you called everyone you know? (WOODWARD makes a nod) Call someone you don't know.	WHITE HOUSE OPERATOR (V.O.)	 White House.	WOODWARD	 (casually) Howard Hunt, please.	All the President's Men 
WHITE HOUSE OPERATOR (V.O.)	 White House.	WOODWARD	 (casually) Howard Hunt, please.	WHITE HOUSE OPERATOR (V.O.)	 Mr. Hunt does not answer.	WOODWARD	 Thanks, anyway--	All the President's Men 
SECRETARY (V.O.)	 Charles Colson's wire.	WOODWARD	 (a little more excited) Howard Hunt, please.	SECRETARY (V.O.)	 Mr. Hunt isn't here just now.	WOODWARD	 Thanks, anyway.	All the President's Men 
WOODWARD	 Who's Charles Colson?	ROSENFELD	 (stops dead) I would liken your query to being in Russia half a century ago and asking someone, "I understand who Lenin is and Trotsky I got too, but who's this yokel Stalin?"	WOODWARD	 Who's Colson, Harry?	ROSENFELD	 The most powerful man in America is President Nixon, probably you've heard his name.	All the President's Men 
ROSENFELD	 The second most powerful man is Robert Haldeman. Just below him are a trio: Mr. Erlichman is Haldeman's friend, and they protect the President from everybody which is why they are referred to as either The German Shepherds or the Berlin Wall. Mr. Mitchell we've already discussed. Mr. Colson is the President's special counsel.	WOODWARD	 (rising) Thanks, Harry. (looks at ROSENFELD) Know anything about Colson?	ROSENFELD	 Just that on his office wall there's a cartoon with a caption reading, "When you've got them by the balls, their hearts and minds will follow."			All the President's Men 
WOODWARD	 Hello, I'm Bob Woodward of the Washing Post and... (beat) Mullen and Company Public Relations? Could you tell me when you expect Mr. Hunt? (surprised) He is?	HUNT (V.O.)	 Howard Hunt here.	WOODWARD	 Hi, I'm Bob Woodward of the Post and--			All the President's Men 
WOODWARD	 Hi, I'm Bob Woodward of the Post and--	HUNT (V.O.)	 (impatient) --yes, yes, what is it?	WOODWARD	 I was just kind of wondering why your name and phone number were in the address books of two of the men arrested at Watergate?	HUNT (V.O.)	 (blind panic) Good God!	All the President's Men 
WOODWARD	 I was just kind of wondering why your name and phone number were in the address books of two of the men arrested at Watergate?	HUNT (V.O.)	 (blind panic) Good God!	WOODWARD	 I'm sorry to bother you, Mr. Bennett, but we're doing some investigating of one of your employees, Howard Hunt.	BENNETT (V.O.)	 Well, if you've been doing some investigating then obviously it's no secret to you that Howard was with the C.I.A.	All the President's Men 
BENNETT (V.O.)	 Well, if you've been doing some investigating then obviously it's no secret to you that Howard was with the C.I.A.	WOODWARD	 (he hadn't known) No secret at all.	WOODWARD	 (tired, voice deeper) Hello, C.I.A. This is R.W. Woodward, of the Washington Post--get me Personnel--	WOODWARD	 Hi, I'm Bob Woodward of the Washington Post--and--what's that?--you've never heard of me?--I can't help that--you don't believe I'm with the Post?-- what do you want me to do, Madam, shout "extra--extra"?	All the President's Men 
ROSENFELD	 Whaddya got, whaddya got?	WOODWARD	 Hunt is Colson's man-- (to SIMONS, explaining) --that's Charles Colson, Nixon's special counsel-- (SIMONS almost says something, decides against it) --they both went to Brown University-- (consulting his notes) --Hunt worked for the C.I.A. till '70, and this is on deep background, the FBI thinks he's involved with the break-in.	SIMONS	 What else have you got?	WOODWARD	 According to White House personnel, Hunt definitely works there as a consultant for Colson. But when I called the White House Press office, they said he hadn't worked there for three months. Then the P.R. guy said the weirdest thing to me. (reading) "I am convinced that neither Mr. Colson nor anyone else at the White House had any knowledge of, or participation in, this deplorable incident at the Democratic National Committee."	All the President's Men 
SIMONS	 What else have you got?	WOODWARD	 According to White House personnel, Hunt definitely works there as a consultant for Colson. But when I called the White House Press office, they said he hadn't worked there for three months. Then the P.R. guy said the weirdest thing to me. (reading) "I am convinced that neither Mr. Colson nor anyone else at the White House had any knowledge of, or participation in, this deplorable incident at the Democratic National Committee."	SIMONS	 Isn't that what you'd expect them to say?	WOODWARD	 Absolutely.	All the President's Men 
ROSENFELD	 So?	WOODWARD	 (he's got something and he knows it) I never asked them about Watergate. I only said what were Hunt's duties at the White House. They volunteered that he was innocent when nobody asked was he guilty.	ROSENFELD	 (to SIMONS) I think we got a White House consultant linked to the bugging.	SIMONS	 (nods) Just be careful how you write it.	All the President's Men 
WOODWARD	 (he's got something and he knows it) I never asked them about Watergate. I only said what were Hunt's duties at the White House. They volunteered that he was innocent when nobody asked was he guilty.	ROSENFELD	 (to SIMONS) I think we got a White House consultant linked to the bugging.	SIMONS	 (nods) Just be careful how you write it.			All the President's Men 
ROSENFELD	 (to SIMONS) I think we got a White House consultant linked to the bugging.	SIMONS	 (nods) Just be careful how you write it.					All the President's Men 
WOODWARD	 --I have to stand here and listen to the staff correspondent from Virginia?--	BERNSTEIN	 (a sore subject) --what have you been here, nine months?--I been in this business since I was sixteen--	WOODWARD	 --and you've had some fucking meteoric rise, that's for sure--by the time you turn forty you might be the head of the Montana bureau--	BERNSTEIN	 --you only got the job because both you and Bradlee went to Yale--	All the President's Men 
WOODWARD	 --no way--	BERNSTEIN	 (handing them over) --read 'em both and you'll see--					All the President's Men 
BERNSTEIN	 Is mine better?	WOODWARD	 (handing the stories back) What is it about my writing that's so rotten?	BERNSTEIN	 (as he exits) Mainly it has to do with your choice of words.			All the President's Men 
WOODWARD	 (handing the stories back) What is it about my writing that's so rotten?	BERNSTEIN	 (as he exits) Mainly it has to do with your choice of words.					All the President's Men 
