ADDISON'S VOICE	 Having covered in tedious detail not only the history of the Sarah Siddons Society, but also the history of acting since Thespis first stepped out of the chorus line - our distinguished chairman has finally arrived at our reason for being here...	AGED ACTOR	 I have been proud and privileged to have spent my life in the Theater - "a poor player ... that struts and frets his hour upon the stage" - and I have been honored to be, for forty years, Chief Promoter of the Sarah Siddons Society... (he lifts the Sarah Siddons Award from its altar) Thirty-nine times have I placed in deserving hands this highest honor the Theater knows... (he grows a bit arch, he uses his eyebrows) Surely no actor is older than I - I have earned my place out of the sun... (indulgent laughter) ... and never before has this Award gone to anyone younger than its recipient tonight. How fitting that it should pass from my hands to hers...	AGED ACTOR	 Such young hands. Such a young lady. Young in years, but whose heart is as old as the Theater...	AGED ACTOR	 Some of us a privileged to know her. We have seen beyond the beauty and artistry-	All-About-Eve
EVE'S VOICE	 (softly) Mrs. Richards...	KAREN	 So there you are. It seemed odd, suddenly, your not being there...	EVE	 Why should you think I wouldn't be?			All-About-Eve
EVE	 I've seen you so often - it took every bit of courage I could raise-	KAREN	 (smiles) To speak to just a playwright's wife? I'm the lowest form of celebrity...	EVE	 You're Margo Channing's best friend. You and your husband are always with her - and Mr. Sampson... what's he like?	KAREN	 (grins) Bill Sampson? He's - he's a director.	All-About-Eve
EVE	 You're Margo Channing's best friend. You and your husband are always with her - and Mr. Sampson... what's he like?	KAREN	 (grins) Bill Sampson? He's - he's a director.	EVE	 He's the best.	KAREN	 He'll agree with you. Tell me, what do you between the time Margo goes in and comes out? Just huddle in that doorway and wait?	All-About-Eve
EVE	 Oh, no. I see the play.	KAREN	 (incredulous) You see the play? You've seen the play every performance? (Eve nods) But, don't you find it - I mean apart from everything else - don't you find it expensive?	EVE	 Standing room doesn't cost much. I manage.	KAREN	 I'm going to take you to Margo...	All-About-Eve
KAREN	 I'm going to take you to Margo...	EVE	 (hanging back) Oh, no...	KAREN	 She's got to meet you-	EVE	 No, I'd be imposing on her, I'd be just another tongue-tied gushing fan...	All-About-Eve
EVE	 No, I'd be imposing on her, I'd be just another tongue-tied gushing fan...	KAREN	 (insisting) There isn't another like you, there couldn't be-	EVE	 But if I'd known... maybe some other time... I mean, looking like this.	KAREN	 You look just fine... (they're at the stage door) ... by the way. What's your name?	All-About-Eve
EVE	 But if I'd known... maybe some other time... I mean, looking like this.	KAREN	 You look just fine... (they're at the stage door) ... by the way. What's your name?	EVE	 Eve. Eve Harrington.			All-About-Eve
KAREN	 (whispers) You wait a minute... (smiles) ... now don't run away-	MARGO'S VOICE	 (loudly; through the door) "Honey chile," I said, "if the South had won the war, you could write the same plays about the North!"					All-About-Eve
KAREN	 Hi. (she goes to kiss Lloyd) Hello, darling-	MARGO	 Hi. (she goes right on - in a think "Suth'n" accent) "Well, now Mis' Channin', ah don't think you can rightly say we lost the wah, we was mo' stahved out, you might say - an' that's what ah don' unnerstand about all these plays about love-stahved Suth'n women - love is one thing we was nevah stahved for the South!"	LLOYD	 How was the concert?	KAREN	 Loud.	All-About-Eve
BIRDIE	 Well. I guess a real tight girdle help when you're playin' a lunatic.	KAREN	 (firmly) Margo does not play a lunatic, Birdie.	BIRDIE	 I know. She just keeps hearin' her dead father play the banjo.	MARGO	 It's the tight girdle that does it.	All-About-Eve
LLOYD	 Easy, now...	MARGO	 (grins) Relax, kid. It's only me and my big mouth...	KAREN	 (mollified) It's just that you get me so mad sometimes... of all the women in the world with nothing to complain about-	MARGO	 (dryly) Ain't it the truth?	All-About-Eve
MARGO	 (grins) Relax, kid. It's only me and my big mouth...	KAREN	 (mollified) It's just that you get me so mad sometimes... of all the women in the world with nothing to complain about-	MARGO	 (dryly) Ain't it the truth?	KAREN	 Yes, it is! You're talented, famous, wealthy - people waiting around night after night just to see you, even in the wind and rain...	All-About-Eve
