WILLIAM	 - so Livia -	ELAINE	 -- killed everyone off so her son Tiberius could inherit the throne. (thoughtful pause) Just like Nixon.	ELAINE (CONT'D)	 Anita, is that you?	ANITA'S VOICE	 Hey Mom!  I already ate.	Almost Famous 
ELAINE	 Wait.  You've been kissing.	ANITA	 (too quickly) No I haven't.	ELAINE	 (peering at her lips) Yes... yes, you have...	ANITA	 No I haven't.	Almost Famous 
ANITA	 (too quickly) No I haven't.	ELAINE	 (peering at her lips) Yes... yes, you have...	ANITA	 No I haven't.	ELAINE	 Yes you have.  I can tell.	Almost Famous 
ELAINE	 Yes you have.  I can tell.	ANITA	 (boldly) You can't tell.	ELAINE	 Not only can I tell, I know who it is. It's Darryl.	ELAINE (CONT'D)	 And what have you got under your coat?	Almost Famous 
ELAINE (CONT'D)	 And what have you got under your coat?	ANITA	 (busted) It's unfair that we can't listen to our music!	ELAINE	 (weary of the issue) Honey, it's all about drugs and promiscuous sex.	ANITA	 Simon and Garfunkel is poetry!	Almost Famous 
ANITA	 (busted) It's unfair that we can't listen to our music!	ELAINE	 (weary of the issue) Honey, it's all about drugs and promiscuous sex.	ANITA	 Simon and Garfunkel is poetry!	ELAINE	 Yes it's poetry.  It's the poetry of drugs and promiscuous sex.  Look at the picture on the cover...	Almost Famous 
ELAINE (CONT'D)	 ... honey, they're on pot.	ANITA	 First it was butter, then sugar and white flour. (beat) Bacon. Eggs, bologna, rock and roll, motorcycles.	ANITA (CONT'D)	 Then it was celebrating Christmas on a day in September When you knew it wouldn't be "commercialized."	ELAINE	 That was an experiment.  But I understand -	Almost Famous 
ELAINE (CONT'D)	 I'm trying to give you the Cliff's Notes on how to live in this world.	ANITA	 (simple and direct) We're like nobody else I know.	ELAINE	 I'm a teacher.  Why can't I teach my own kids? (pats chest) Use me.	ANITA	 Darryl says you use knowledge to keep me down.  He says I'm a "yes" person and you're trying to raise us in a "no" environment!	Almost Famous 
ANITA	 (simple and direct) We're like nobody else I know.	ELAINE	 I'm a teacher.  Why can't I teach my own kids? (pats chest) Use me.	ANITA	 Darryl says you use knowledge to keep me down.  He says I'm a "yes" person and you're trying to raise us in a "no" environment!	ELAINE	 (immediately, can't help it) Well, clearly, "no" is a word Darryl doesn't hear much.	Almost Famous 
ANITA	 Darryl says you use knowledge to keep me down.  He says I'm a "yes" person and you're trying to raise us in a "no" environment!	ELAINE	 (immediately, can't help it) Well, clearly, "no" is a word Darryl doesn't hear much.	WILLIAM	 Mom --	ELAINE	 Everything I say is wrong.	Almost Famous 
WILLIAM	 I don't hate her.	ANITA	 (to William) You don't even know the truth!	ELAINE	 Sweetheart, don't be a drama queen.	ANITA	 Feck  you!  All of you!	Almost Famous 
WILLIAM	 I think she said "feck."	ELAINE	 (sputtering) What's the difference?	WILLIAM	 (encouraging) Well.  The letter "u"...			Almost Famous 
ELAINE	 (sputtering) What's the difference?	WILLIAM	 (encouraging) Well.  The letter "u"...					Almost Famous 
VOICE	 (louder) Are you really in our grade?	WILLIAM	 Yeah.	TOBIN	 Hey guys!  Check it out!  William doesn't have any pubes!			Almost Famous 
GUY # 2	 How come you don't have any hair down there?	TOBIN	 (in loud, funny voice) Where are your pubes???!!	GUY # 2	 Yeah.  Where are your pubes?	WILLIAM	 (cool, dismissive) I had 'em.  I shaved 'em off.	Almost Famous 
GUY # 2	 Yeah.  Where are your pubes?	WILLIAM	 (cool, dismissive) I had 'em.  I shaved 'em off.					Almost Famous 
ELAINE	 (cheerfully, by rote, to William in back) Put on your seatbelt.   I don't want you flying through the windshield.	WILLIAM	 We got our annuals today --	ELAINE	 (cheerful, automatic) "Received" your annual.			Almost Famous 
WILLIAM	 We got our annuals today --	ELAINE	 (cheerful, automatic) "Received" your annual.	WILLIAM	 (looking at his photo) I look so much younger than everyone else.	ELAINE	 Enjoy it while you can.	Almost Famous 
ELAINE	 (cheerful, automatic) "Received" your annual.	WILLIAM	 (looking at his photo) I look so much younger than everyone else.	ELAINE	 Enjoy it while you can.	ANITA	 Mom.  It's time.	Almost Famous 
ANITA	 Mom.  It's time.	ELAINE	 (pleasant, pointed) Can this wait until we get home?	ANITA	 Mom, pull over.  Tell him the truth. Tell him how old he is.	ELAINE	 (as in "be quiet") He knows how old he is.	Almost Famous 
ANITA	 Mom, pull over.  Tell him the truth. Tell him how old he is.	ELAINE	 (as in "be quiet") He knows how old he is.	ANITA	 The other kids make fun of him because of How young he looks.  Nobody includes him.	WILLIAM	 They do?	Almost Famous 
