OLD SALIERI	 Mozart, perdonami! Forgive your assassin! Piet! Piet! Forgive your assassin! Forgive me! Forgive! Forgive!	VALET	 (looking up to the window) That's all right, Signore! He heard you! He forgave you! He wants you to go inside now and shut the window!	VALET	 Come on, Signore! Look what I have for you! I can't give it to you from down here, can I?	BYSTANDER	 Who is that?	Amadeus 
OLD SALIERI	 (taking his hands off the keys) Well?	VOGLER	 I regret it is not too familiar.	OLD SALIERI	 Can you recall no melody of mine? I was the most famous composer in Europe when you were still a boy. I wrote forty operas alone. What about this little thing?			Amadeus 
VOGLER	 All Vienna has heard that.	OLD SALIERI	 ( eagerly) And do they believe it?	VOGLER	 Is it true?	OLD SALIERI	 Do you believe it?	Amadeus 
OLD SALIERI	 He was murdered, Father! Mozart! Cruelly murdered.	VOGLER	 (almost whispering) Yes? Did you do it?	OLD SALIERI	 He was my idol! I can't remember a time when I didn't know his name! When I was only fourteen he was already famous. Even in Legnago - the tiniest town in Italy - I knew of him.			Amadeus 
MOZART	 No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!	CONSTANZE	 (working it out) Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!	MOZART	 Em iram! Em iram!	CONSTANZE	 No, I'm not playing this game.	Amadeus 
JOSEPH	 Ah-ha. Kapellmeister?	BONNO	 (Italian accent) Majesty, I must agree with Herr Dirretore. Opera is an Italian art, solamente. German is - scusate - too bruta for singing, too rough.	JOSEPH	 Ah-ha. Court Composer, what do you say?	SALIERI	 I think it is an interesting notion to keep Mozart in Vienna, Majesty. It should really infuriate the Archbishop beyond measure - if that is your Majesty's intention.	Amadeus 
SALIERI	 I think it is an interesting notion to keep Mozart in Vienna, Majesty. It should really infuriate the Archbishop beyond measure - if that is your Majesty's intention.	JOSEPH	 You are cattivo, Court Composer. (briskly, to Von Strack) I want to meet this young man. Chamberlain, arrange a pleasant welcome for him.	VON STRACK	 Yes, sir.	JOSEPH	 Well. There it is.	Amadeus 
JOSEPH	 What a charming idea. May I see?	SALIERI	 (handing it over) It's just a trifle, of course.	JOSEPH	 May I try it?	SALIERI	 Majesty.	Amadeus 
SALIERI	 You do me too much honour, Sire.	JOSEPH	 Let's have some fun. (to the waiting Majordomo) Bring in Herr Mozart, please. But slowly, slowly. I need a minute to practice.	SALIERI	 A-flat, Majesty.	JOSEPH	 Ah-ha!	Amadeus 
MOZART	 Your Majesty!	JOSEPH	 No, no, please! It is not a holy relic. (raising Mozart up) You know we have met already? In this very room. Perhaps you won't remember it, you were only six years old. (to the others) He was giving the most brilliant little concert here. As he got off the stool, he slipped and fell. My sister Antoinette helped him up herself, and do you know what he did? Jumped straight into her arms and said, Will you marry me, yes or no?	JOSEPH	 You know all these gentlemen, I'm sure.	JOSEPH	 The Baron Von Swieten.	Amadeus 
JOSEPH	 The Director of our Opera. Count Orsini-Rosenberg.	MOZART	 (bowing excitedly) Oh sir, yes! The honour is mine. Absolutely.	JOSEPH	 And here is our illustrious Court Composer, Herr Salieri.	SALIERI	 (taking his hand) Finally! Such an immense joy. Diletto straordinario!	Amadeus 
JOSEPH	 And here is our illustrious Court Composer, Herr Salieri.	SALIERI	 (taking his hand) Finally! Such an immense joy. Diletto straordinario!	MOZART	 I know your work well, Signore. Do you know I actually composed some variations on a melody of yours?	SALIERI	 Really?	Amadeus 
JOSEPH	 And now he has returned the compliment. Herr Salieri composed that March of Welcome for you.	MOZART	 (speaking expertly) Really? Oh, grazie, Signore! Sono commosso! E un onore per mo eccezionale. Compositore brilliante e famossissimo!	SALIERI	 My pleasure.	JOSEPH	 Well, there it is. Now to business. Young man, we are going to commission an opera from you. What do you say?	Amadeus 
MOZART	 Majesty!	JOSEPH	 (to the courtiers) Did we vote in the end for German or Italian?	ORSINI-ROSENBERG	 Well, actually, Sire, if you remember, we did finally incline to Italian.	VON STRACK	 Did we?	Amadeus 
