JANE	 I need a father who's a role model, not some horny geek-boy who's gonna spray his shorts whenever I bring a girlfriend home from school. (snorts) What a lame-o. Somebody really should put him out of his misery.	RICKY (O.C.)	 Want me to kill him for you?	JANE	 (deadpan) Yeah, would you?			American Beauty 
RICKY (O.C.)	 Want me to kill him for you?	JANE	 (deadpan) Yeah, would you?					American Beauty 
LESTER (V.O.) (CONT'D)	 And that's his lover, Jim.	JIM #2	 (re: barking dog) What in the world is wrong with her? She had a walk this morning.	JIM #1	 And a jerky treat.	JIM #2	 You spoil her. (sternly) Bitsy. No bark. Come inside. Now.	American Beauty 
JIM #1	 Morning, Carolyn.	CAROLYN	 (overly friendly) I just love your tie! That color!	JIM #1	 I just love your roses. How do you get them to flourish like this?	CAROLYN	 Well, I'll tell you. Egg shells and Miracle Grow.	American Beauty 
BRAD	 Exactly. So...	LESTER	 (blurts) Like the time when Mr. Flournoy used the company MasterCard to pay for that hooker, and then she used the card numbers and stayed at the St. Regis for, what was it, like, three months?	BRAD	 (startled) That's unsubstantiated gossip.	LESTER	 That's fifty thousand dollars. That's somebody's salary. That's somebody who's gonna get fired because Craig has to pay women to fuck him!	American Beauty 
LESTER	 (blurts) Like the time when Mr. Flournoy used the company MasterCard to pay for that hooker, and then she used the card numbers and stayed at the St. Regis for, what was it, like, three months?	BRAD	 (startled) That's unsubstantiated gossip.	LESTER	 That's fifty thousand dollars. That's somebody's salary. That's somebody who's gonna get fired because Craig has to pay women to fuck him!	BRAD	 Jesus. Calm down. Nobody's getting fired yet. That's why we're having everyone write out a job description, mapping out in detail how they contribute. That way, management can assess who's valuable and--	American Beauty 
BRAD	 It's just business.	LESTER	 (angry) I've been writing for this magazine for fourteen years, Brad. You've been here how long, a whole month?	BRAD	 (frank) I'm one of the good guys, Les. I'm trying to level with you. This is your one chance to save your job.			American Beauty 
LESTER	 (angry) I've been writing for this magazine for fourteen years, Brad. You've been here how long, a whole month?	BRAD	 (frank) I'm one of the good guys, Les. I'm trying to level with you. This is your one chance to save your job.					American Beauty 
JANE	 Mom, do we always have to listen to this elevator music?	CAROLYN	 (considers) No. No, we don't. As soon as you've prepared a nutritious yet savory meal that I'm about to eat, you can listen to whatever you like.	LESTER	 So Janie, how was school?	JANE	 (suspicious) It was okay.	American Beauty 
LESTER	 So Janie, how was school?	JANE	 (suspicious) It was okay.	LESTER	 Just okay?	JANE	 No, Dad. It was spec-tac-ular.	American Beauty 
LESTER (CONT'D)	 They've hired this efficiency expert, this really friendly guy named Brad, how perfect is that? And he's basically there to make it seem like they're justified in firing somebody, because they couldn't just come right out and say that, could they? No, no, that would be too... honest. And so they've asked us-- (off her look) --you couldn't possibly care any less, could you?	JANE	 (uncomfortable) Well, what do you expect? You can't all of a sudden be my best friend, just because you had a bad day.	JANE (CONT'D)	 I mean, hello. You've barely even spoken to me for months.	LESTER	 Oh, what, you're mother-of-the-year? You treat her like an employee.	American Beauty 
