FRANK	 All right.	BANKER	 What a loss. (Frank nods) How are you otherwise?   Things okay financially?	(CONT)		6   CONTINUED:                                                        6		American Gangster 
RICHIE	 I got night school.	RIVERA	 Guess you're going to miss it. (Rivera sips at his coffee; then:) You know, what you were saying before - about throwing up in front of people - money will take that feeling away.	RICHIE	 Not when it's less.	RIVERA	 Less than what.	American Gangster 
RIVERA	 Not if we keep it. Only if we don't. Then we're fucked, you're right. But not if we keep it.	RICHIE	 (more to himself) Yes, we are.	RIVERA	 Goddamn it, did we ask for this? Did we put a gun to someone's head and say, Give us your money? Cops kill cops they can't trust. We can't turn it in.			American Gangster 
TANGO	 Of every dollar. Every VIG, every truckload, every girl, every ounce.      In the jar.	FRANK	 Twenty percent's my profit. If I'm giving it to you then what am I doing? Twenty percent puts me, and everyone you know, out of business, which puts you out of business. (reaches for his breakfast check) There are ways to make money legitimately, and then there's this way. Not even Bumpy took twenty percent.	TANGO	 Bumpy's fuckin dead.	FRANK	 There.   That's twenty-percent.	American Gangster 
RICHIE	 What?   Where?	LAURIE	 To the St. Regis, what do you care. (pause) My sister's.	RICHIE	 Your sister's. In Vegas?	RICHIE	 You can't move to Vegas.     Not with Michael anyway.	American Gangster 
49   CONTINUED:                                                          49		RICHIE	 (to the vandals) Hey, you want to shut up over there?	RICHIE	 No court will allow it for one thing. I won't allow it.	LAURIE	 You?	American Gangster 
55     CONTINUED:                                                       55		FRANK	 I've lived in jungles all my (life) -	NATE	 No. This is the jungle. Tigers. Vietcong. The fuckin snakes alone will kill you.			American Gangster 
NATE	 Bangkok. I can bring it here or anywhere in between.	COLONEL	 A hundred kilos. (Nate nods) I never seen that much dope in one place.	NATE	 It's bigger than an Amana refrigerator- freezer.			American Gangster 
NATE	 Fifty, to cover them all.	FRANK	 A hundred. And it's all I got left. So if that dope doesn't arrive, for whatever reason - (embraces Nate and whispers) Cousin or no cousin - don't let me down.	NATE	 I'll let you know when it's in the air.			American Gangster 
RIVERA	 I'm a leper. Because I listened to you and turned in a million fucking dollars. You know who'll work with me after that? Same as you. No one.	RICHIE	 Don't look down there. Look here. (at Richie's eyes) You ever fuckin threaten me again, I'll kill you.	60 - 69 OMIT                                                 60 - 69 OMIT				American Gangster 
RICHIE	 Not enough.   But she wants to make it never.	SHEILA	 Yeah, all right. Give me a twenty. (Richie doesn't reach for his wallet) Well, I'm not going to sit here all day.	BAILIFF	 All rise -			American Gangster 
