STEVE	 The Moose have been lookin' for you all day, man.	CURT	 (sarcastic) Oh great...	TERRY	 Whadaya got, whadaya got? Wow--two thousand dollars. Two thousand doll--	!!		American Graffiti 
STEVE	 Okay, make it short and sweet.	CURT	 Yeah, well... Listen... (clearing his throat) I... I don't think I'm going tomorrow.	STEVE	 What! Come on, what are you talking about?	CURT	 I don't know. I was thinking I might wait for a year... go to city--	American Graffiti 
CURT	 Wait, let me explain--	STEVE	 You can't back out now! After all we went through to get accepted. We're finally getting out of this turkey town and now you want to crawl back into your cell--look, I gotta talk to Laurie. (he hands the check back to Curt) Now take it. We're leaving in the morning. Okay?	STEVE	 You wanna end up like John? You can't stay seventeen forever.	CURT	 I just want some time to think. What's the rush? I'll go next year.	American Graffiti 
STEVE	 We'll talk later.	RADIO	 (singing) "Here comes the Wolfman--Wolfman Jack!"	WOLFMAN (V.O.)	 Oh, We're gonna rock and roll ourselves to death baby. You got the Wolfman Jack Show!			American Graffiti 
CURT	 The big shot!	BUDDA	 A cherry-vanilla coke and a chocolate mountain. Anything else you want, Steve? (Steve shakes his head.) If there is you let me know now. Just honk and I'm yours.	BUDDA	 One fries--grab it before I drop it.	STEVE	 Where was I?	American Graffiti 
CURT	 What's wrong, he's crying!	TERRY	 I can't... believe... it. (He starts toward the car and gently caresses its paint.) I don't know what to say. I'll... love and protect this car until death do us part. (He circles the car.) This is a superfine machine. This may even be better than Daryl Starbird's superfleck moonbird. It is better than Daryl Starbird's.	TERRY	 Budda, how would you like to go to the drive-in movies with me?	BUDDA	 You've got to be kidding!	American Graffiti 
FIRST GIRL	 Judy's sister wants to ride with you. Is that all right?	JOHN	 (grinning) Yeah, sure, Judy--her sister--her mother--anybody. I'll take 'em all. Listen, we'll go up and stop at that light. It'll turn red by the time we get there. All right?	JOHN	 You ever get tired of going steady with somebody that ain't around--I'm up for grabs.	JOHN	 So, you're Judy's little sister.	American Graffiti 
JOHN	 Listen, listen. I think you better go back and sit with your sister. Hey, ah... where are they, anyway? They comin' back or somethin'? This is a joke, right? This better be a joke, 'cause I'm not drivin' you around.	CAROL	 But you asked me. What's the matter? Am I too ugly? (on the verge of tears) Judy doesn't want me with her and now you don't want me with you. Nobody wants me... even my mother and father hate me. Everybody hates me.	JOHN	 No they don't. I mean, I don't know, maybe they do. But I don't. It's just that you're a little young for me.	CAROL	 I am not! If you throw me out I'll scream.	American Graffiti 
CAROL	 I am not! If you throw me out I'll scream.	JOHN	 OK, OK, just stay cool. There's no need to scream. We'll think of something. (He looks at her as she wipes her eyes.) It shouldn't take too long to find your sister again.	VOICE (O.S.)	 Hey John--you gonna be there tonight?	JOHN	 Oh, shit! Hey, get down!	American Graffiti 
EDDIE	 What's what?	STEVE	 Hey, zit make-up! (laughing) Wait till I tell--hey, everybody, Eddie--	EDDIE	 Come on, Steve--don't. Just cool it.	STEVE	 (quietly) Let me see some of that stuff.	American Graffiti 
EDDIE	 Come on, Steve--don't. Just cool it.	STEVE	 (quietly) Let me see some of that stuff.	EDDIE	 You leave tomorrow?	EDDIE	 You and Laurie engaged yet?	American Graffiti 
