IRVING ROSENFELD	 Are you dressing him like you're dressing me now?	EDITH GREENSLY	 (shakes her head) No, what are you thinking? This isn't all about you, you know that.	RICHIE DIMASO	 What, did you try to dress me so I would look like him?	EDITH GREENSLY	 No, you're not dressed like him, all right?	American Hustle 
RICHIE DIMASO	 Hey, look, I never laid a hand on her, all right? Is that what this is about?	EDITH GREENSLY	 (British accent) Well technically, that's not true.	RICHIE DIMASO	 Look, we never had sex ok? I just --			American Hustle 
IRVING ROSENFELD	 You shouldn't have done that. Irving just stands there staring at Richie, hair all wild and messed up looking very angry.	RICHIE DIMASO	 How's that? You bothered now? (no answer) Alright, don't make a thing of it.	EDITH GREENSLY	 You shouldn't touch him. He doesn't like that.			American Hustle 
RICHIE DIMASO	 No, it's for the Mayor. It would be a sign of disrespect to the sheik if the mayor didn't take it himself. It's for you Mayor. Carmine looks angry and confused. He looks over to Carl.	CARMINE POLITO	 What are you doing? What-- (to Carl) Carl, what the fuck? What is this?	CARL ELWAY	 No, I'll handle it. I'm gonna take care of-- Everything's good. I got everything under control. (TO RICHIE) That's for me. I handle all that for mayor.	CARMINE POLITO	 What is this? Irving looks over and says nothing. Not surprised at all how badly this is all going.	American Hustle 
CARMINE POLITO	 What are you doing? What-- (to Carl) Carl, what the fuck? What is this?	CARL ELWAY	 No, I'll handle it. I'm gonna take care of-- Everything's good. I got everything under control. (TO RICHIE) That's for me. I handle all that for mayor.	CARMINE POLITO	 What is this? Irving looks over and says nothing. Not surprised at all how badly this is all going. Edith whispers to Richie.			American Hustle 
EDITH GREENSLY	 (whispers to Richie) Just stop it, ok	RICHIE DIMASO	 (whispers to Edith) He's gotta take it himself, okay?	CARMINE POLITO	 I don't know what the fuck that is but it's weird you understand?	CARL ELWAY	 Misunderstanding. Misunderstanding.	American Hustle 
CARMINE POLITO (CONT'D)	 I'm very interested in meeting the Sheik. You let me know when THAT could happen! Thank you, have a good day. Carmine leaves the room. Irving looks over and shrugs his shoulders. Not surprised at all the way this is going and horrified that Richie has ruined it.	CARL ELWAY	 (leaving) Irving! You better come get him.	RICHIE DIMASO	 (stares at Irv) Go out there and get him right now.	CARL ELWAY	 Help me get him back!	American Hustle 
CARL ELWAY	 (leaving) Irving! You better come get him.	RICHIE DIMASO	 (stares at Irv) Go out there and get him right now.	CARL ELWAY	 Help me get him back!	RICHIE DIMASO	 Go get him. He needs to take the fuckin' briefcase, Irving.	American Hustle 
SYDNEY PROSSER	 Well I care. He saved my life many times. Irving takes a good look at her, impressed.	IRVING ROSENFELD	 (impressed) Mine too. Which one?	SYDNEY PROSSER	 Jeep's Blues.	IRVING ROSENFELD	 (smiles, warm) Jeep's Blues. Oh yeah. Awkward pause.	American Hustle 
SYDNEY PROSSER	 Jeep's Blues.	IRVING ROSENFELD	 (smiles, warm) Jeep's Blues. Oh yeah. Awkward pause.	IRVING ROSENFELD (CONT'D)	 You wanna hear it?	SYDNEY PROSSER	 Right now?	American Hustle 
IRVING ROSENFELD	 Yeah.	SYDNEY PROSSER	 (British accent) Would you like to meet Lady Edith Greensly? Irving looks stunned as he slowly clasps her extended hand.	SYDNEY PROSSER (CONT'D)	 (British accent) I have royal banking connections in London. I'd love to help you with your loan but of course I have to be very selective.	IRVING ROSENFELD	 That was fucking fantastic.	American Hustle 
BUSINESSMAN	 Rebecca, hold on. You're Edith right?	SYDNEY PROSSER(V.O.)	 He told me to tell my friends I had (in British accent) London banking connections	BUSINESSMAN	 I'm Jim. I'm her employer. Listen - - she told me you can get me a line of credit. I know you have banking connections in London, England.	SYDNEY PROSSER (V.O.)	 And after that...say "no" a lot until the guy is hooked. Edith and Rebecca start walking away as the businessman chases after them.	American Hustle 
BUSINESSMAN	 Becky tell her! I've never missed a check!	EDITH GREENSLY	 (walking away)	NO!		SYDNEY PROSSER (V.O.)	 It was almost scary how easy it could be to take money from desperate people.	American Hustle 
IRVING ROSENFELD	 -- and every deal I take, I close. However, my fee is non refundable, just like my time.	MORT PAPIERMAN/RICHIE DIMASO	 (filling out paper work) I want to thank you very much Irving for seeing me. Sorry I'm so nervous. Richie reaches for his top button to adjust it.	MORT PAPIERMAN/RICHIE DIMASO (CONT'D)	 Am I not buttoned? Edith stares at him and smiles.			American Hustle 
EDITH GREENSLY	 You couldn't see his eyes. He had no eyes. It was like, did he make it?	MORT PAPIERMAN/RICHIE DIMASO	 (laughing) Do they sell hats like that? Where do they come from? Actually, I went to the store that I thought maybe he bought it there. I was gonna get you one --	EDITH GREENSLY	 You were going to get me one?			American Hustle 
EDITH GREENSLY	 Stop.	IRVING ROSENFELD	 (confidential to Edith) What's going on, you like this guy?	EDITH GREENSLY	 Yes I like this guy.			American Hustle 
EDITH GREENSLY	 Fine. You play your part.	MORT PAPIERMAN/RICHIE DIMASO	 (holds out cashiers check) Take it to your people in London. Please, take it to them. I got the cashier's check right here. I give you five and you give me fifty right back, right? Please. Please don't reject me. Give a guy a chance.	MORT PAPIERMAN/RICHIE DIMASO (CONT'D)	 Zurich? You got an office in Zurich? Paris? I can call Paris?	IRVING ROSENFELD	 If you could excuse me for one second?	American Hustle 
MORT PAPIERMAN/RICHIE DIMASO	 You may be from England, Edith, but you're not royal and you have no banking connections and that's a felony. How long is that? That's 3- 5 years I think.	EDITH GREENSLY	 (about the handcuffs) Hey! Not so tight!	IRVING ROSENFELD	 Oh really? That's interesting. I don't even know your real name. Richie pulls out a badge and shoves it in Irving's face.	RICHIE DIMASO	 Richie Dimaso, FBI. Nice to meet you. Richie looks at Edith with concern and points at Irving.	American Hustle 
IRVING ROSENFELD	 I can't leave Danny. I'll lose custody.	SYDNEY PROSSER	 You have to take me away! We have to leave! (sobbing) What are you saying?! Oh my god.	IRVING ROSENFELD	 What are you doing?! Please! Sydney goes storming out of the room and down the hall of her apartment. Irving follows.	SYDNEY PROSSER	 I can't believe this is happening.	American Hustle 
IRVING ROSENFELD	 Don't say I don't love you because that's bullshit!	SYDNEY PROSSER	 (sobbing) This is bullshit. You are bullshit. We are bullshit. She starts sobbing, shaking.	IRVING ROSENFELD	 Please don't do this.	SYDNEY PROSSER	 I just never thought you were conning me.	American Hustle 
IRVING ROSENFELD	 Don't say that.	SYDNEY PROSSER	 (cries) I'm gonna do these four busts, these four cons, to get us out of this. Not just me, but us. And I'm gonna get really close with Richie, the cop, in case we need to use him, if we need another move.	IRVING ROSENFELD	 We don't need another move. We need four busts, and we're done.	SYDNEY PROSSER	 We are going to need another move, trust me. And you're going to be thanking me. (shifts to British accent) The key to people is what they believe and what they want to believe and I want to believe that we were real, and I want to believe that a man could want me. And I'm gonna take all of that heartbreak, and all of that sorrow, and I am going to use it. And I'm going to make Richie think that I want him, and that I like him, and I'm going to be very convincing -- And I'm pissed at you. Sydney reaches over and carefully grabs Irving's face lovingly which quickly turns into a slap as she continues on.	American Hustle 
IRVING ROSENFELD	 We don't need another move. We need four busts, and we're done.	SYDNEY PROSSER	 We are going to need another move, trust me. And you're going to be thanking me. (shifts to British accent) The key to people is what they believe and what they want to believe and I want to believe that we were real, and I want to believe that a man could want me. And I'm gonna take all of that heartbreak, and all of that sorrow, and I am going to use it. And I'm going to make Richie think that I want him, and that I like him, and I'm going to be very convincing -- And I'm pissed at you. Sydney reaches over and carefully grabs Irving's face lovingly which quickly turns into a slap as she continues on.	SYDNEY PROSSER (CONT'D)	 Because I'm pissed at you! Irving stares at Sydney with confusion. He's never seen her like this before.	SYDNEY PROSSER (CONT'D)	 Maybe I do like him -- Maybe I like him a lot. From the feet up right -- baby? Sydney gets up from the couch and storms back to her room.	American Hustle 
SYDNEY PROSSER	 If you could not call him `stupid' which he's isn't, he's smarter than you. Last I checked he's in control here and we work for him now so be nice. Richie stares at Edith elated that she just stuck up for him. He's really enjoying this position of power she's putting him in.	IRVING ROSENFELD	 (stares at her, upset) OK, to set this up and bust a con artist we have to make the honey pot to attract the bees. In order to attract the bees, we need to offer them a wealthy individual who can be taken advantage of, someone special, someone new, someone					American Hustle 
