JIM	 Yeah, that's right.	PORNO-CHANNEL STUD (V.O.)	 (deep macho voice) Ohhh, tell me you're a nasty girl!	PORNO-CHANNEL STUD (V.O.)(CONT'D)	 Yeahhh, you been bad, real bad!	JIM	 Man, shut up!	American Pie 
JIM	 Yep, okay Mom, 'night.	JIM'S MOM	 (leans in to Jim) Kiss goodnight.	JIM'S MOM (CONT'D)	 Is something wrong with the reception?	JIM	 Yeah.  Damn cable.  There's this nature show that I'm trying to watch.	American Pie 
BLOW YOUR WAD ON MY TITS!!		JIM	 (choking) Must...be...broken...	JIM'S DAD	 What the heck is this?	JIM	 Nothing!	American Pie 
OZ	 She's a mermaid, dude.	JIM	 (trumping him) Yeah, Oz, but not when she's on land.	OZ	 She's a cartoon, dude.	JIM	 A hot cartoon.	American Pie 
MICHELLE	 And what we should do today, in band? Instead of playing our instruments regularly?  We should play them backwards!  That'll be so funny!	OZ	 (to Jim) You guys got the Latin homework?	JIM	 No -- Kevin, you?	KEVIN	 (offended) Please. (then) We're all golden, we're college bound. I figured it out -- I can get a c- minus in every class, and it's not gonna make a difference.  U of M, here I come.	American Pie 
JIM	 No -- Kevin, you?	KEVIN	 (offended) Please. (then) We're all golden, we're college bound. I figured it out -- I can get a c- minus in every class, and it's not gonna make a difference.  U of M, here I come.					American Pie 
JESSICA	 Vicky, it's not a space shuttle launch, it's sex.  So did you do the physics write-up?	VICKY	 (offended, a la Kevin) Please.					American Pie 
KEVIN	 Whatever.	STIFLER	 (yelling)	NOVA!!		OZ	 Stifler!!	American Pie 
STIFLER	 Hey, man, I'm not making fun.  I'm fuckin' impressed.  I mean, "Footlong or six-inch, white or wheat," that's some serious shit to master.	KEVIN	 (half-joking) Stifler, you're such an asshole.	STIFLER	 Meyers, what's the deal with you and Vicky, anyway?  You've been going out since Homecoming and all she'll do is blow you?  Shit, I'd drop her like a steaming turd.	FINCH	 Do you commonly grasp warm pieces of stool?	American Pie 
FINCH	 Do you commonly grasp warm pieces of stool?	STIFLER	 (momentarily puzzled) I do when I'm throwing them at your mom, you damn freak. (then) Alright then, see you guys tonight. I'll look for you in the No Fucking section.					American Pie 
JIM	 Finch, you can be the one to date a nearly-dead insane chick.  Eat your damn imitation hot dog.	FINCH	 ("for the hundredth time") This is no imitation.  Removing the hot dog from the Ultradog yields a better dog.  Behold -- Ultradog, no dog.	KEVIN	 (checks his watch) Alright...I'm shooting for a nine o'clock ETA.  Beer in hand by five after.	JIM	 You can crash at Stifler's?	American Pie 
FINCH	 ("for the hundredth time") This is no imitation.  Removing the hot dog from the Ultradog yields a better dog.  Behold -- Ultradog, no dog.	KEVIN	 (checks his watch) Alright...I'm shooting for a nine o'clock ETA.  Beer in hand by five after.	JIM	 You can crash at Stifler's?	KEVIN	 It's all good. (He pulls out some gum) Breath check.	American Pie 
JIM	 You can crash at Stifler's?	KEVIN	 It's all good. (He pulls out some gum) Breath check.	OZ	 (repulsed) Dude, I wish you wouldn't do that.	KEVIN	 You got something up your sleeve for tonight, Finch?	American Pie 
KEVIN	 It's all good. (He pulls out some gum) Breath check.	OZ	 (repulsed) Dude, I wish you wouldn't do that.	KEVIN	 You got something up your sleeve for tonight, Finch?	FINCH	 A foolproof plan, my friend.  You shall see.	American Pie 
FINCH	 A foolproof plan, my friend.  You shall see.	OZ	 (sings along) And little hurly-burly came by in her curly-wurly, and asked me if I needed I ri-hide --	KEVIN	 How the hell do you know all these random songs?	OZ	 It's early Springsteen, dude, this is classic.  This was before the cheesy remake.	American Pie 
JIM	 This was remade?  Into what?	OZ	 (chiming in as the chorus hits) Bli-hinded by the light -- cut loose like a deuce, another runner in the night, blinded...	KEVIN	 At least now I know what the hell they're saying.	JIM	 So, does my hair look better -- (flips a small lock of hair onto his forehead) like this, or... (flips it back up) like this?	American Pie 
KEVIN	 At least now I know what the hell they're saying.	JIM	 So, does my hair look better -- (flips a small lock of hair onto his forehead) like this, or... (flips it back up) like this?	OZ	 Who cares?	JIM	 Nadia does, that Czechoslovakian chick, she might be there tonight. Now, do you think she'd prefer -- (flips hair down again) Cool Hip Jim... (flips it back up) or Laid Back Jim?	American Pie 
OZ	 Who cares?	JIM	 Nadia does, that Czechoslovakian chick, she might be there tonight. Now, do you think she'd prefer -- (flips hair down again) Cool Hip Jim... (flips it back up) or Laid Back Jim?	KEVIN	 The difference is so phenomenal, I can't decide.			American Pie 
KEVIN	 You know, I've never got that shit. What exactly constitutes third base?	OZ	 (holds up a couple fingers) Contact, dude.	KEVIN	 Then where does a blowjob figure in?	OZ	 Shortstop.  'Course, you don't make it to third, and you're out.	American Pie 
OZ	 Feels like warm apple pie, dude.	JIM	 Apple pie... (then) McDonald's or homemade?	FINCH	 Gentlemen, see you at the Bacchanalia.			American Pie 
JIM	 What would I say?	VICKY	 Just tell her what's on your mind. And smile, you've got a good smile. (then to Kevin) Come on.	KEVIN	 (to Jim) Gotta go.	JIM	 But --	American Pie 
VICKY	 Just tell her what's on your mind. And smile, you've got a good smile. (then to Kevin) Come on.	KEVIN	 (to Jim) Gotta go.	JIM	 But --	JIM (CONT'D)	 Kevin, get back here!	American Pie 
JIM (CONT'D)	 Kevin, get back here!	NADIA	 (with a really sexy accent) You are in my English class, no?	JIM	 (barely) Yes.	NADIA	 I thought so.	American Pie 
NADIA	 (with a really sexy accent) You are in my English class, no?	JIM	 (barely) Yes.	NADIA	 I thought so.	NADIA (CONT'D)	 So you are having fun?	American Pie 
KEVIN	 Yeah, it's such a perfect evening. Isn't this how you've always pictured it?	PARTY GUY (O.S.)	 (yelling) Dude, my farts fuckin' stink!	PARTY GUY #2 (O.S.)	 You reek like a fuckin' Yeti, dude! Go take a shit or something!	KEVIN	 Or not.	American Pie 
COLLEGE CHICK	 What did you just say?	OZ	 (not so confidently) Suck me...beautiful?	COLLEGE CHICK	 What?!	OZ	 Uh...you know, my friends call me Nova -- as in Casanova.	American Pie 
STIFLER	 (hysterical, toppling over) You actually said that?!  Haaaah!!	OZ	 Shut the fuck up.	JIM	 Hey, you did better than I did, Nova.			American Pie 
VICKY	 (brief pause) Let me know.	KEVIN	 Okay, don't stop.	KEVIN (CONT'D)	 Oh -- Now!			American Pie 
STIFLER	 Yep.	SOPHOMORE	 And you got a keg, too, wow. (realizing) Oh, wait, I left my beer downstairs.	STIFLER	 Here, babe.	SOPHOMORE CHICK	 Thanks.	American Pie 
SOPHOMORE CHICK	 Thanks.	STIFLER	 (gazing into her eyes) You're really beautiful.	SOPHOMORE CHICK	 Really?	STIFLER	 Uh huh.	American Pie 
SOPHOMORE CHICK	 I don't know if I want to be doing this.	STIFLER	 (sighs) Doing what?	SOPHOMORE CHICK	 You know.  If we hook up, tomorrow I'll just be some girl you go telling all your friends about.	STIFLER	 (shifty) No way.	American Pie 
SOPHOMORE CHICK	 You know.  If we hook up, tomorrow I'll just be some girl you go telling all your friends about.	STIFLER	 (shifty) No way.	SOPHOMORE CHICK	 (a little angry) Steve!  You could at least look at me when you say that.	STIFLER	 Look... (searching, remembers) ...Sarah.  I wouldn't go telling stories or whatever about you.  I promise.	American Pie 
STIFLER	 (shifty) No way.	SOPHOMORE CHICK	 (a little angry) Steve!  You could at least look at me when you say that.	STIFLER	 Look... (searching, remembers) ...Sarah.  I wouldn't go telling stories or whatever about you.  I promise.			American Pie 
