JANIE	 The 10:15 event's been moved inside to the Indian Treaty Room.	SHEPHERD	 (to Janie) The 10:15 is American Fisheries?	JANIE	 Yes, sir. They're giving you a 200-pound halibut.	SHEPHERD	 Janie, make a note. We need to schedule more events where somebody gives me a really big fish.	American President, The 
JANIE	 Of course, sir.	SHEPHERD	 (to the AGENT at the elevator) Hey, Cooper.	AGENT COOPER	 'Morning, Mr. President.	JANIE	 Mr. Rothschild asked to have a moment with you this morning.	American President, The 
LEWIS	 You skipped the whole paragraph.	SHEPHERD	 (to Janie) And Monday morning it is.	LEWIS	 "American can no longer afford to pretend that they live in a great society"...and then nothing. You dumped the whole handguns paragraph.	SHEPHERD	 This is a time for prudence, Lewis.	American President, The 
STAFFER (LAURA)	 Thank you, sir.	SHEPHERD	 (to JANIE) I should send her some flowers.	JANIE	 You already did, sir.			American President, The 
JANIE	 --the museum trip. I'll go get it.	SHEPHERD	 (to JANIE) What time does she get home today?	JANIE	 Three-twenty.	SHEPHERD	 How's my afternoon look?	American President, The 
ROBIN	 I didn't truly appreciate it until I came back and discovered that America isn't a great society.	LEWIS	 (to ROBIN) He dumped a whole section.	SHEPHERD	 Now there's a thing hanging out there.	ROBIN	 Not a great society, sir?	American President, The 
LEWIS	 See?	SHEPHERD	 (re: a memo he's been looking at) A.J., did you get one of these?	SHEPHERD	 It would appear to be a letter from the entire environmental community. These people are outta control.	ROBIN	 Are they blaming the President for global warming? (continuing; to SHEPHERD) Sir, I'm on the phone with these people twice a week. I honestly don't know what they want at this point.	American President, The 
SHEPHERD	 It would appear to be a letter from the entire environmental community. These people are outta control.	ROBIN	 Are they blaming the President for global warming? (continuing; to SHEPHERD) Sir, I'm on the phone with these people twice a week. I honestly don't know what they want at this point.	LEWIS	 What they want is a 20 percent reduction in fossil fuel emissions.	LEWIS	 We haven't really tried.	American President, The 
LEWIS	 We haven't really tried.	SHEPHERD	 Talk to the GDC again, A.J. Tell them the President resents the implication that he's turned his back on the environment. Tell them I'll send 455 to the floor. But we're gonna ask for a 10 percent reduction. If they want to pull their support, fine. At 63 percent job approval rating. I don't need their help getting a bill passed. We gotta get going-- where's Leon? (to an AIDE) Would you call Mr. Kodak and tell him the President's--	MRS. CHAPIL (O.S.)	 Aaagh!	KODAK (O.S.)	 Sorry! Sorry, my fault. (to the AIDE) Never mind.	American President, The 
MRS. CHAPIL (O.S.)	 Aaagh!	KODAK (O.S.)	 Sorry! Sorry, my fault. (to the AIDE) Never mind.	KODAK	 Excuse me. Good morning, Mr. President.	SHEPHERD	 You all right?	American President, The 
SUSAN	 It was aggressive, and we should stand by every--	LEO	 This isn't the guy who needed us four years ago, Susan. He's incredibly popular. He's gonna win re-election in a walk, and he could give a shit what we stand by! If the President passes the most important piece of environmental legislation in history, and does it despite our negative endorsement, our political weight in the future will rank somewhere below the Save the Spotted Owl Society. (beat) I'm bringing in some help.	SUSAN	 We don't need another environmental expert to confirm what every other environmental expert--	LEO	 Not an environmental expert, a professional political strategist. We're playing hardball with Andrew Shepherd, and we need a heavy bat.	American President, The 
SHEPHERD	 Try it like this and lose that.	ROBIN	 (entering) David Sasser from the Times called and wanted to know what the White House felt was a great society.	LEWIS	 What did you tell him?	ROBIN	 I told him I couldn't speak for the President, but for my money: Bermuda.	American President, The 
ROBIN	 (continuing) My God. (beat) I can't believe I said that. (beat) Mr. President, that was an incredibly thoughtless remark. I would never dream of insulting you or the memory of your wife.	SHEPHERD	 That's okay, forget it. (to JANIE) What time is it?	JANIE	 It's 3:45, sir.	SHEPHERD	 I'm gonna go over and say hi to Lucy.	American President, The 
