ANGLE ON BED		HARVEY	 (faintly) Joyce... Joyce?	JOYCE	 What's wrong, Harvey? What are you doing up?	JOYCE	 What is it?	American Splendor 
JOYCE	 What is it?	HARVEY	 (delirious, out of breath) Tell me the truth. Am I some guy who writes about himself in a comic book? Or am I just -- am I just a character in that book?	JOYCE	 Harvey...	HARVEY	 If I die, will 'dat character keep goin'? Or will he just fade away...	American Splendor 
CLOSE ON SUPERMAN MASK		BOYS	 (in unison) Trick or treat!!	HOUSEWIFE	 Well, look at this! All the superheroes on the porch! Ain't that cute.	HOUSEWIFE	 (still yelling) We got Superman here, Batman, his sidekick ROBIN, ohh, The Green Lantern even...	American Splendor 
HOUSEWIFE	 Who are you supposed to be?	KID	 I'm Harvey Pekar (pronounced "Pee Car").	HOUSEWIFE	 Harvey Pekar? That doesn't sound like a super hero to me...	BOYS	 (mumbling) Pecker, Pecker...	American Splendor 
HOUSEWIFE	 Harvey Pekar? That doesn't sound like a super hero to me...	BOYS	 (mumbling) Pecker, Pecker...	KID	 I ain't no super hero, lady. I'm just a kid from the neighborhood, alright?	KID	 Ahh, forget this...	American Splendor 
DOCTOR #1	 Bad timing, I guess. Now please say "Ah," Mr. Pekar.	HARVEY	 "Ahhh." (without missing a beat) "Ahhh" ruined the trip. I got crazy, started to worry my voice would never come back. I mean, my wife didn't know me so long before we got hitched. What if she totally forgets what I'm like? Man, it's torture --	DOCTOR #1	 Shhh...	DOCTOR #1	 Uh-huh.	American Splendor 
DOCTOR #1	 Uh-huh.	HARVEY	 (the penlight in his mouth) What? Is it bad, doc?	DOCTOR #1	 It's not good.	HARVEY	 It's cancer? First I got marital problems and now yer tellin' me I got throat cancer? Omigod...	American Splendor 
DOCTOR #1	 A few months.	HARVEY	 (loudly) Months!!	DOCTOR #1	 See? More of that and you'll do permanent damage. Now go home, keep your mouth shut, and hopefully we won't have to operate.			American Splendor 
SPANISH WOMAN #1	 Since you can kiss my ass.	HARVEY	 (to himself) Look at 'em yakkin'. How do they do it?	WOMAN #2	 (yelling at Harvey) Ay, what are you looking at? Maricone!			American Splendor 
HARVEY	 (to himself) Look at 'em yakkin'. How do they do it?	WOMAN #2	 (yelling at Harvey) Ay, what are you looking at? Maricone!					American Splendor 
HARVEY	 (shaking his head) They all make it seem so easy.	REAL HARVEY (V.O.)	 Here's our man walking home from the doctor's. He's got the weight of the world on him. And fer what, really? 'Cause his throat's a little screwy? Man, people in India are starvin' to death every day. His problems are nothin'.					American Splendor 
