JACK	 Yes, well thank you very much for the ride, sir.  You have lovely sheep.	TRUCK DRIVER	 (as he clambers back up on his truck) Boys, keep off the moors. Stay on the road.  Good luck to you.	DAVID	 Thanks again!			American Werewolf in London 
DAVID	 I don't know.	JACK	 (like an announcer) Rendezvous in Rome starring Jack Goodman and Debbie Klein. The love affair that shocked Europe!  See torrid lovemaking at its most explicit!  See Jack and Debbie expose their lust in the sacred halls of the Vatican!  Never has the screen dared....	DAVID	 If you don't stop, I'm going to kill you.	JACK	 I have to make love to her. It's very simple.  She has no choice really.	American Werewolf in London 
DAVID	 Maybe the owners are from Texas.	JACK	 (to Woman) Remember the Alamo?	WOMAN	 I beg your pardon?	DAVID	 He was joking.  Thank you.	American Werewolf in London 
WOMAN	 Joking?  I remember The Alamo. I saw it once in London, in Leicester Square.	CHESS PLAYER	 She means in the cinema, that film with John Wayne. (turns to board) Checkmate.	DAVID	 Oh, yes, of course.	JACK	 Right, with Laurence Harvey and everybody died in it.  It was very bloody.	American Werewolf in London 
CHESS PLAYER	 You be quiet, woman, and let me speak.	WOMAN	 (heavy sarcasm) Quiet, everyone!  Hush!  Shhh!	CHESS PLAYER	 All right, laugh then.  I shan't tell it.	WOMAN	 Oh, come on, tell us.	American Werewolf in London 
CHESS PLAYER	 No.  You've had your chance.	JACK	 (to David) Ask them what the candles are for.	DAVID	 (to Jack) You ask them.	JACK	 (to David) Listen, that's a pentangle, a five-pointed star.  It's used in witchcraft.  Lon Chaney, Jr. and Universal Studios maintain it's the mark of the wolf man.	American Werewolf in London 
JACK	 (to David) Ask them what the candles are for.	DAVID	 (to Jack) You ask them.	JACK	 (to David) Listen, that's a pentangle, a five-pointed star.  It's used in witchcraft.  Lon Chaney, Jr. and Universal Studios maintain it's the mark of the wolf man.	DAVID	 (to Jack) I see.  You want me to ask these people if they're burning candles to ward off monsters.	American Werewolf in London 
DAVID	 (to Jack) You ask them.	JACK	 (to David) Listen, that's a pentangle, a five-pointed star.  It's used in witchcraft.  Lon Chaney, Jr. and Universal Studios maintain it's the mark of the wolf man.	DAVID	 (to Jack) I see.  You want me to ask these people if they're burning candles to ward off monsters.	JACK	 (to David) Right.	American Werewolf in London 
JACK	 (to David) Listen, that's a pentangle, a five-pointed star.  It's used in witchcraft.  Lon Chaney, Jr. and Universal Studios maintain it's the mark of the wolf man.	DAVID	 (to Jack) I see.  You want me to ask these people if they're burning candles to ward off monsters.	JACK	 (to David) Right.	DAVID	 (to Jack) Wrong. The drinkers have gotten the Chess Player to tell the joke as everyone knew he would.	American Werewolf in London 
DAVID	 (to Jack) I see.  You want me to ask these people if they're burning candles to ward off monsters.	JACK	 (to David) Right.	DAVID	 (to Jack) Wrong. The drinkers have gotten the Chess Player to tell the joke as everyone knew he would.	CHESS PLAYER	 Oh, all right.  There was this airplane over the Atlantic on its way to New York.  It was full of men from the United Nations.	American Werewolf in London 
JACK	 (to David) Right.	DAVID	 (to Jack) Wrong. The drinkers have gotten the Chess Player to tell the joke as everyone knew he would.	CHESS PLAYER	 Oh, all right.  There was this airplane over the Atlantic on its way to New York.  It was full of men from the United Nations.	WOMAN	 That's very funny, that is.	American Werewolf in London 
