NEIGHBOR)	 Wait Outside please. He signals to a police officer who herds the curious onlookers back out through the door.	POLICE OFFICER	 (to the superintendent, pointing to a pile of mail) What's the date of the last letter?	SUPERINTENDENT		(VERIFYING)	 The 16th from what I can see... Wait... The plain-clothes detective has tried in vain to open the door on the left. It has been sealed up with adhesive tape.	Amour 
(VERIFYING)	 The 16th from what I can see... Wait... The plain-clothes detective has tried in vain to open the door on the left. It has been sealed up with adhesive tape.	PLAIN-CLOTHES DETECTIVE	 (to the fire officer) Can you try? While the firemen go to work on the door, the plain-clothes detective goes into the adjoining dining room. He opens the windows quickly and turns to go into the room to the left via the double doors. They are locked and the gaps are also taped up. He turns to the right and goes into the living room, where he also opens up the windows...	FIREMAN (O.S.)	 The door is open. ...and comes back into the hallway, passing by the waiting firemen. Once again, we hear snatches of dialogue between the police officer and the janitor.			Amour 
JANITOR	 ...no as far as I know. During the whole time, they had a nurse, but it's been a while since I last saw her. My wife has been... The plain-clothes detective enters the bedroom which is now accessible. Its windows are open and the draft makes the curtains billow into the room.	PLAIN-CLOTHES DETECTIVE	 (to the firemen who are now curious enough to come and stand by the	DOOR)	 Did you open the windows? The firemen shake their heads. The PLAIN-CLOTHES DETECTIVE turns toward the big double bed placed against the back wall of the bedroom. On the right- hand bed, there's only the bare mattress. On the left-hand bed lies the partly decomposed body of an old woman. Where once there were eyes, now there are only gaping holes. The corpse has been neatly dressed and is adorned with flowers that have already dried out a little. On her chest is a crucifix.			Amour 
ANNE	 From us?	GEORGES	 (laughs briefly out loud) Hey, why not? If I thought about it, I could come up with at least three or four people we know who've been burgled. After having examined the outside of the second leaf of the double door, he comes in, closing the door behind him.	ANNE	 What time is it? Can't we call the superintendent?			Amour 
(TO ANNE)	 You can depend on that guy.	ANNE	 (who comes back to the table with the egg) I hope so. The last time, he kept us waiting for ages, if you remember.	GEORGES	 (laughs while acquiescing) Yes, that's true. (Reacting when she places the egg in his egg cup) Thanks. If I call a regular professional, we'll still be waiting two months time.	ANNE	 (more to herself) Really? She has sat down. Looks straight ahead. He cracks open his egg, puts salt on it, eats.	Amour 
ANNE	 (who comes back to the table with the egg) I hope so. The last time, he kept us waiting for ages, if you remember.	GEORGES	 (laughs while acquiescing) Yes, that's true. (Reacting when she places the egg in his egg cup) Thanks. If I call a regular professional, we'll still be waiting two months time.	ANNE	 (more to herself) Really? She has sat down. Looks straight ahead. He cracks open his egg, puts salt on it, eats.			Amour 
GEORGES	 (laughs while acquiescing) Yes, that's true. (Reacting when she places the egg in his egg cup) Thanks. If I call a regular professional, we'll still be waiting two months time.	ANNE	 (more to herself) Really? She has sat down. Looks straight ahead. He cracks open his egg, puts salt on it, eats.	GEORGES	 The Frodons waited three days when their toilet was blocked. Not exactly pleasant. He eats. Wants to put on more salt, but the saltcellar is empty.			Amour 
SILENCE	 Finally he gets up, heads for the sink, turns on the tap, wets a tea towel, wrings it out a little, comes back and places it on Anne's face. Waits for a reaction that doesn't come. Then he pulls up her hair in the nape of her neck and applies the cloth there. Then sits down and looks at her imploringly.	GEORGES (CONT'D)	 (close to tears) Anne...Darling...please! Once again they both remain seated. In the background, we hear the GUSHING of the tap that in his panic he has forgotten to turn it off. Making a sudden decision, he gets up, rapidly crossing the hallway, he goes into the bedroom where he starts to dress agitatedly, which takes him quite a lot of time. Suddenly, the GUSHING of the tap stops, which had accompanied us as far as the bedroom. George doesn't notice it immediately, then he stops short.	GEORGES (CONT'D)	 Anne? Finally he returns, half dressed, into the kitchen. Anne is seated in the same place and looks at him.	ANNE	 What are you doing? She turns toward the breakfast.	Amour 
ANNE	 But what DID happen?	GEORGES	 (almost reluctantly bowing his head as he speaks) You were sitting there, staring at me. You didn't answer me when I asked you what the matter was. He picks up the wet tea towel from the table.	GEORGES (CONT'D)	 I put this tea towel on your face, and you didn't react. Anne looks at the towel, then at Georges, and shakes her head, perturbed that she can't understand. Georges looks at her. He sees the damp marks on the collar of her robe.	GEORGES (CONT'D)	 Look... There's still dampness on your collar. Anne follows his gesture, tugs on her collar and sees the damp marks. She slowly grasps that something is awry.	Amour 
GEORGES	 Can you remember that?	ANNE	 (more and more desperate, close to tears) No I can't! Do you want to torture me? Leave me in peace! Georges looks at her.	GEORGES	 Don't you think it would be better to fetch Dr. Bertier?	ANNE	 No! She takes her cup of tea, as if to show how well she is, and drinks it up. When she wants to re-fill her cup, she completely misses her aim. She notices it, puts down her cup and bursts into tears.	Amour 
GEORGES	 Did you both make up?	EVA	 (with a little laugh) My God, you know him, don't you? Over the winter, he suddenly discovered his passion for a viola player who'd been in our ensemble for years. What can I tell you? It was a huge drama, and the poor little darling wound up trying to commit suicide. That scared him and he came back to me in full remorse. I've got used to it now. What's a bit embarrassing is that the ensemble, you can't keep any secrets from anyone.	GEORGES	 Do you love him?	EVA	 Yes, I think so. Brief PAUSE.	Amour 
