DUCKS	 It's Peezee. Gotta be.    He hates your fuckin' guts.	CAESAR	 (brooding) I don't know.	DUCKS	 Who else knew about the money? And how did Peezee know they popped Tony Cisco when we didn't even hear about it 'til last night?	CAESAR	 (sighs heavily) I don't know.	Analyze That 
DUCKS	 Who else knew about the money? And how did Peezee know they popped Tony Cisco when we didn't even hear about it 'til last night?	CAESAR	 (sighs heavily) I don't know.	DUCKS	 (pressing) What is so hard to understand here? You said yourself Peezee was a mamaluke and you couldn't trust him. Now suddenly you're soft on the guy?	CAESAR	 I just don't think it was him.	Analyze That 
CAESAR	 (sighs heavily) I don't know.	DUCKS	 (pressing) What is so hard to understand here? You said yourself Peezee was a mamaluke and you couldn't trust him. Now suddenly you're soft on the guy?	CAESAR	 I just don't think it was him.	DUCKS	 Okay, I'll bite. If not Peezee, then who?	Analyze That 
DUCKS	 Okay, I'll bite. If not Peezee, then who?	CAESAR	 (slowly rising to his full height) I think it was you, Ducks. Caesar starts to walk away as the bartender, now holding a sawed-off shotgun, moves closer to Ducks. The exotic dancer splits in a hurry through a curtain at the back of the stage.	DUCKS	 (scared) You gotta be kiddin'! Caesar stops at the door where two of his soldiers have	DUCKS	 Caesar, you know me! What kind of fuckin' idiot would I have to be to try that shit with you?	Analyze That 
CAESAR	 (slowly rising to his full height) I think it was you, Ducks. Caesar starts to walk away as the bartender, now holding a sawed-off shotgun, moves closer to Ducks. The exotic dancer splits in a hurry through a curtain at the back of the stage.	DUCKS	 (scared) You gotta be kiddin'! Caesar stops at the door where two of his soldiers have	DUCKS	 Caesar, you know me! What kind of fuckin' idiot would I have to be to try that shit with you?	CAESAR	 A dead fuckin' idiot. As he walks out the door, the soldiers OPEN FIRE on Marty "Ducks." Caesar doesn't look back.	Analyze That 
VITTI	 Why?	EARL	 (shrugs) Don't know. Thanks for looking out for me, Mr. Vitti.	VITTI	 Yeah.     Take it easy. He notices something in the box.	VITTI	 Hey, Earl.     Is that my after-shave?	Analyze That 
VITTI	 Hey, Earl.     Is that my after-shave?	EARL	 (blanches) I'm sorry. I just grabbed stuff -- I didn't know --	VITTI	 That's okay.     Keep it.   Go ahead.	EARL	 Thanks.     See you around. Earl exits with the guard. Vitti hesitates a moment, then	Analyze That 
RABBI	 And now I'd like to call on Isaac's son, Dr. Ben Sobel, who would like to say a few words. Ben rises and crosses solemnly to the podium.	BEN	 (addressing audience) It's very difficult for me to talk about my father, because in a sense I'm talking about two men.	BEN (CONT'D)	 One, of    course, is the public Isaac Sobel,    the eminent psychotherapist and popular    author known to millions of readers    around the world. Laura, Michael and Ben's Mother listen proudly to the eulogy.	BEN	 The second Isaac Sobel is the private man -- my father -- Dad. And for those of you who knew him well and knew our family -- well, let's face it -- my father was a psychotic, mind- fucking prick. An arrogant, abusive, ego-inflated --	Analyze That 
VITTI	 Not a good time? Let me explain something to you. I'm in fucking Hell right now. This is not a good time.	BEN	 (sotto voce) I can't talk right now.     My father died!	VITTI	 So what does that have to do with me?	BEN	 Call me later --	Analyze That 
WISEGUY #2	 Can I have your tapioca?	COYOTE	 (to Vitti) Hey, Fredo! Or is it Guido? His friends laugh. Vitti stops and stares dumbly at them.	COYOTE	 Just keep walkin', Don Corleone. There is a tense moment, then Vitti bursts out laughing.	COYOTE	 Shut up! Vitti laughs harder, strangely manic.	Analyze That 
COYOTE	 You're a dead man, jefe! Coyote lunges at Vitti with the knife, but Vitti suddenly whirls around, bashes Coyote in the face with his food tray and bursts into song.	VITTI	 (singing, with appropriate dance moves) 'When you're a Jet, You're a Jet all the way, From your first cigarette To your last dyin' day...' Prisoners and guards stare at him like he's nuts. Coyote stabs at him again, but Vitti dodges and smashes him over the head with the tray.	VITTI	 'When you're a Jet, If the shit hits the fan, You got brothers around, You're a family man...'	COYOTE	 You're a dead man, jefe! Coyote rushes him, but Vitti sidesteps and hits him in the face. Guards move in from all sides.   Vitti jumps up on the tabletop to escape them.	Analyze That 
COYOTE	 You're a dead man, jefe! Coyote rushes him, but Vitti sidesteps and hits him in the face. Guards move in from all sides.   Vitti jumps up on the tabletop to escape them.	VITTI	 (kicking at them, singing) 'I like to be in America, Okay by me in America...' The guards drag him down and cuff his hands behind him, then carry him out stiff as a board.	VITTI	 'Tonight, tonight, won't be just any night -- '			Analyze That 
BEN	 (sighs deeply) I can't believe he's gone.	LAURA	 I can't believe what you said about him. Cold and withholding? You had to tell everybody?	MICHAEL	 Nice. Why didn't you just take a swing at the casket?			Analyze That 
MILLER	 Dr. Sobel, I'm Agent Miller, this is Special Agent Cerrone, Federal Bureau of Investigation. We'd just like to ask you a few questions, if we could.	LAURA	 (testy) Can I ask what this is about?    We just came from the cemetery.	CERRONE	 We know this is a difficult time for you, Dr. Sobel. Sorry about your father.	BEN	 Thank you, I'm going to miss him	Analyze That 
BEN	 Michael?	LAURA	 You told her -- (nodding at Agent Cerrone) You told her at the drop of a hat. Agents Cerrone and Miller eye each other.	BEN	 She's with the F.B.I.   She needs to know these things.	LAURA	 Oh, I see. And I don't. Why tell Laura? She couldn't possibly handle a phone call.	Analyze That 
BEN	 No, we're fine.	LAURA	 If you don't need me anymore, I'll be in the kitchen. (to Agent Cerrone) And two words of advice -- from one professional woman to another -- Pant. Suit. She exits.	BEN	 She's grieving. It's a process.	MILLER	 We understand. (prompting) Vitti?	Analyze That 
BEN	 She's grieving. It's a process.	MILLER	 We understand. (prompting) Vitti?	BEN	 Oh, yes. Paul Vitti and I were involved in some organized crime activity a couple of years ago. I mean, I wasn't involved -- not 'involved' involved -- I was just trying to help him therapeutically, and some people tried to, uh, kill us. No big deal.	MILLER	 Well, shortly after you spoke, he	Analyze That 
DR. CUTLER	 I'm treating him with Thioridazine, 300 milligrams, T.I.D. That seems to keep him pretty calm.	BEN	 (watching Vitti) That would keep a parade pretty calm. He just keeps singing West Side Story songs?	DR. CUTLER	 'Tonight,' 'Maria,' the balcony scene.	BEN	 The balcony scene?   Both parts?	Analyze That 
VITTI	 (singing) 'Who's the pretty girl in the mirror	BEN	 Paul, it's me.    Ben Sobel.   Paul? (beat) Maria?	VITTI	 Tony?	BEN	 (with a look to Dr. Cutler) Oh, boy. (to Vitti) What's going on, Maria?	Analyze That 
