MANETTA	 Anyway, Carlo Gambino came out of it capo de tutti capi, and that was the last time the whole commission tried to meet -- until now.	VITTI	 (brooding) I don't know. I don't like it. What do we need a meeting for? Let everybody worry about their own business.	MANETTA	 The '57 meeting was about how we were going to divide up the whole country. This meeting is about how we're gonna survive. You got 'made' guys informing for the Feds; bosses going to jail; everybody's dealing drugs; people are getting whacked without permission. And on top of everything, now we got the Chinese Triads and these crazy Russians to deal with. Everything's changing. We need a leader. Someone with fresh ideas. Someone like you. It's gonna be a new century, Paul. We gotta change with the times.	VITTI	 What are we gonna get, a fuckin' web site?	Analyze This 
CAROLINE	 (weepy) I kept telling him that I needed room to grow and find myself as a person. Not just as a woman but as an independent entity.	BEN SOBOL		CAROLINE	 I told him I needed to get in touch with my uniqueness, but he couldn't handle that. He said I was driving him away. Do you think I was driving him away, Dr. Sobol?			Analyze This 
CAROLINE	 But what should I do?	BEN	 Well, Caroline, I think the first thing you have to do... (voice rising) ... is stop whining about this pathetic loser! You're a tragedy queen! (mocking) 'Steve doesn't respect me. Steve doesn't love me anymore.' Who gives a shit! Get a fucking life! You are, without a doubt, the most boring human being I have ever met! Please, say something interesting before I lapse into a goddamn coma!	CAROLINE	 Dr. Sobol?	BEN		Analyze This 
MICHAEL	 You're late.	BEN	 (changing hurriedly) I know. I couldn't get rid of my last patient. I think she was a tick in a past life.	MICHAEL	 Yeah, what's Caroline's problem? Your boyfriend's gone, he hates your guts, get over it.	BEN	 Michael! What did I tell you? You can't listen to my sessions! It's private stuff.	Analyze This 
MICHAEL	 Okay, okay. How's that guy who dreams about shitting trout?	BEN	 (entering, putting on his tux shirt) Fine. He moved up to striped bass. Put on your cummerbund. Boy, have you grown. Did your mother move next door to a nuclear power plant?	MICHAEL	 (struggling with the cummerbund) Why do we have to wear rented clothes to Grandpa's party? This blows.	BEN	 (helping him) We have to dress up because Grandpa can't have a good time unless everyone else is extremely uncomfortable. (looks at Michael and makes a quick decision) Forget the tux. Regular clothes.	Analyze This 
BEN	 (entering, putting on his tux shirt) Fine. He moved up to striped bass. Put on your cummerbund. Boy, have you grown. Did your mother move next door to a nuclear power plant?	MICHAEL	 (struggling with the cummerbund) Why do we have to wear rented clothes to Grandpa's party? This blows.	BEN	 (helping him) We have to dress up because Grandpa can't have a good time unless everyone else is extremely uncomfortable. (looks at Michael and makes a quick decision) Forget the tux. Regular clothes.	MICHAEL	 (taking off his tux shirt) Are you ambivalent about Grandpa Isaac?	Analyze This 
MICHAEL	 (struggling with the cummerbund) Why do we have to wear rented clothes to Grandpa's party? This blows.	BEN	 (helping him) We have to dress up because Grandpa can't have a good time unless everyone else is extremely uncomfortable. (looks at Michael and makes a quick decision) Forget the tux. Regular clothes.	MICHAEL	 (taking off his tux shirt) Are you ambivalent about Grandpa Isaac?	BEN (O.S.)	 (from his room) Ambivalent? Where do you get that stuff?	Analyze This 
BEN	 (helping him) We have to dress up because Grandpa can't have a good time unless everyone else is extremely uncomfortable. (looks at Michael and makes a quick decision) Forget the tux. Regular clothes.	MICHAEL	 (taking off his tux shirt) Are you ambivalent about Grandpa Isaac?	BEN (O.S.)	 (from his room) Ambivalent? Where do you get that stuff?	MICHAEL	 Mom.	Analyze This 
MICHAEL	 (taking off his tux shirt) Are you ambivalent about Grandpa Isaac?	BEN (O.S.)	 (from his room) Ambivalent? Where do you get that stuff?	MICHAEL	 Mom.	BEN	 (annoyed) She's not supposed to do that, you know.	Analyze This 
MICHAEL	 Mom.	BEN	 (annoyed) She's not supposed to do that, you know.	13   CONTINUED:    (2)                                                 13		BEN (CONT'D)	 Your mother and I, when we got divorced, we agreed we wouldn't put you in the middle, or use you as a go-between to talk about each other. So just do me a favor and tell your mother to shut her big mouth. (comes back into Michael's room) Did she say anything about me getting married again? I think she could be feeling a little anger about it.	Analyze This 
13   CONTINUED:    (2)                                                 13		BEN (CONT'D)	 Your mother and I, when we got divorced, we agreed we wouldn't put you in the middle, or use you as a go-between to talk about each other. So just do me a favor and tell your mother to shut her big mouth. (comes back into Michael's room) Did she say anything about me getting married again? I think she could be feeling a little anger about it.	MICHAEL	 Oh, yeah. She really cares. She says you're intimidated by women your own age, and that's why you go for these young babes.	BEN	 (fuming) Okay. Listen, for two seconds, pretend I'm not your father. I'm just some guy, okay?	Analyze This 
MICHAEL	 Oh, yeah. She really cares. She says you're intimidated by women your own age, and that's why you go for these young babes.	BEN	 (fuming) Okay. Listen, for two seconds, pretend I'm not your father. I'm just some guy, okay?	MICHAEL	 You gonna vent?	BEN	 Yeah. (venting) I hate her! I really hate her! (a beat, then brightly) Okay. Dad again. Let's go.	Analyze This 
MICHAEL	 You gonna vent?	BEN	 Yeah. (venting) I hate her! I really hate her! (a beat, then brightly) Okay. Dad again. Let's go.					Analyze This 
14    CONTINUED:                                                       14		JELLY	 (as they walk) The word is Primo Sindone must have ordered it, but, uh --	VITTI	 What?	VITTI	 What?	Analyze This 
VITTI	 What?	JELLY	 (reluctantly) A lot of people think you set him up.	VITTI	 Why the fuck would I want to kill Dominic? He was like a father to me.	JELLY	 So you could be the big boss. Everybody figures you're lookin' to wipe out the competition before the big meeting.	Analyze This 
NICKY	 Please, Mr. Vitti, I told 'em I don't know anything but they don't believe me 'cause that one time I said Little Joe hit Dukey and it turned out he didn't but I didn't know because --	JIMMY	 (smacks him) Shut the fuck up!	VITTI	 Nicky, you know me, right?	NICKY	 Yeah.   You're Mr. Vitti.	Analyze This 
NICKY	 Uh, you're gonna crack me on the head with that pipe?	JIMMY	 (slaps him) It's a rhetorical question, you fuckin' idiot.	VITTI	 I'm only gonna ask you this one time. Who killed Dominic Manetta?	NICKY	 I don't know.	Analyze This 
NICKY	 I don't know.	VITTI	 (roars) Don't fuckin' lie to me!	NICKY	 (in tears) Honest to God, I don't know!	VITTI	 You little rat bastard...	Analyze This 
VITTI	 (roars) Don't fuckin' lie to me!	NICKY	 (in tears) Honest to God, I don't know!	VITTI	 You little rat bastard...	14A   CONTINUED:    (2)                                              14A		Analyze This 
BEN	 (to himself, urgently) Look at this. Everybody's nuts. Ooh, I hate walking into that house late.	MICHAEL	 I think you're reacting like this because you're mad we have to go to this party.	BEN	 No. Don't. I'm not going to be analyzed by someone who up until a few years ago believed in Santa. Sorry, but we only have room for one Dr. Sobol in this family.			Analyze This 
MICHAEL	 But there's two Dr. Sobols. There's you and Grandpa.	BEN	 (a beat) Can we talk about something else?	MICHAEL	 Are you going to read Grandpa's new book? Mom says you won't because you're...	15   CONTINUED:                                                         15		Analyze This 
JIMMY	 (heading Ben off) What's the matter with you?   Are you some kind of moron?	BEN	 I'm sorry.   It's totally my fault.	JIMMY	 Did you see anything?			Analyze This 
JELLY	 That's all right, sir. It's our fault for being in front of you like that.	BEN	 (surprised) Well, I should have been watching. Let me give you my insurance information --	JELLY	 It's okay.   Forget about it.	BEN	 Really? It looks like your whole rear end might be screwed up.	Analyze This 
BEN	 Maybe we should call the police?	JELLY	 (suddenly menacing) Why?    Fuck the police.	BEN	 Right!   Fuck 'em.	BEN	 At least take my card. You might look at the damage in the morning and change your mind.	Analyze This 
ISAAC	 (ending the sing- along) All right, neurotics only! Well, you must have been a beautiful ba-a-by, 'cause baby look at you now, thank God for Prozac, baby look at you now!	BEN AND MICHAEL		BEN	 What do you mean you're not coming? It's my wedding.			Analyze This 
BEN	 Yeah, that's the word on the street. The self-help book business is full of vindictive pricks.	DOROTHY	 (looking around) Ben!   The language.	BEN	 I'm sorry, but I've been alone for eight years, now I've finally met someone I want to spend the rest of my life with and I would really like you to meet her before we get married. You're going to be her family. I think it's better she knows that up front.	ISAAC	 You're really hostile tonight.	Analyze This 
BEN	 I'm joking.	DOROTHY	 (jumping in) I think I'll go talk to the mayor.	BEN	 The mayor's here?	DOROTHY	 I can only hope.	Analyze This 
