SONYA	 (whispering) Princess Anastasia - you're late and it's all my  fault!	ANASTASIA	 Don't worry, Sonya, no one'll notice. . .	ANASTASIA	 (loudly) . . .  owwwwwwwww!			Anastasia 
"THE RULARS OF RUSSIA"  (OPENING NUMBER)		IVAR	 (angrily) You're a servent! Never forget your place!	DMITIRI	 (defiant) Someday my place will be out there!	IVAR	 Never! You're a peasant, Dmitri! Back in the kitchen	Anastasia 
IVAR	 (angrily) You're a servent! Never forget your place!	DMITIRI	 (defiant) Someday my place will be out there!	IVAR	 Never! You're a peasant, Dmitri! Back in the kitchen	TATIANA	 Why were you so late tonight	Anastasia 
TATIANA	 What were you showing her?	ANASTASIA	 (sheepishly) How to read.	TATIANA	 I thought you were told not to tutor your servants anymore.	ANASTASIA	 I know, but I had to because . . .	Anastasia 
NICHOLAS	 Rasputin!  You're alive . . .	RASPUTIN	 (advancing) Despite being shot, poisoned and thrown into an icy river . . .	YES!		NICHOLAS	 (honestly) I had nothing to do with it!	Anastasia 
YES!		NICHOLAS	 (honestly) I had nothing to do with it!	RASPUTIN	 You gave the orders!	NICHOLAS	 I did no such thing!	Anastasia 
ANASTASIA	 We're not afraid of you!	RASPUTIN	 (furious) You . . .  my little babushka . . . you'll be so much fun to kill that I'll save you for last!	RASPUTIN		THIS IS THE END OF THE ROMANOV		Anastasia 
ANYA	 Don't touch him.	PHLEGMENKOF	 (to Anya) You ragged, skinny, little nothing!  I have had just about enough of you . . .					Anastasia 
PHLEGMENKOF	 That's horrible, skinny thing?! She's crazy - she has no memory of anything before she came here! She didn't even know her name! That one is a rotten troublemaker, willful. . .	SEREBREAKOV	 I'll break her will. . . (to Anya) I shall come for you tomorrow at dawn. (he touches her face as she pulls away) You will enjoy serving under me.	PHLEGMENKOF	 I couldn't break you - but he can!			Anastasia 
ANYA	 It might be. I have to go and find out.	"A SOMEPLACE AND A SOMEONE"	 (Anya's "I want" song).  Anya SINGS SOFTLY to the children about how all she has is the key around her neck to the "someone and thesomeplace" she was "lost from long ago".  She tells the children that she must go find them again.	ANYA	 I have to go now, before it gets light.	GREGOR	 (worried) But what if we can't ever find where we came from?!	Anastasia 
ANYA	 I have to go now, before it gets light.	GREGOR	 (worried) But what if we can't ever find where we came from?!	ANYA	 Then you'll have to make your own home. Lots of people do.	GREGOR	 (nervous, sad) Anya! What if we can't find anyone who loves us?!	Anastasia 
