SHARON	 Can you hear me? (shouting, off) This one's conscious!	VOICE (O.S.)	 Paramedics on the way!	SHARON	 Wait. Wait. Listen to me.    Can you feel that?			Angel Eyes 
SHARON	 (to radio) Three Adam Five -- show us 1019 to the jail with one male prisoner.	KID	 Take off your uniform. Take off my handcuffs, bitch, and come back here. I want one touch.	ROBBY	 Give it a rest!			Angel Eyes 
SHARON	 I just dealt with the situation. The prisoner...	SANDERMAN	 And you don't see a pattern here? (pause) I want you to keep yourself way inside the line instead of walking on it. All right? Are you taking notes?	ROBBY	 You broke his nose.	SHARON	 He grabbed me.     End of story.	Angel Eyes 
SHARON	 Looks great.	MRS. VANDER	 Y'know, I cried over the invitation -- just imagine me in church. (laughs) It'll be so good to spend time with you.	MRS.   VANDER	 You know Dan and I   renewed our vows last year. I    bet that's where your mom got   the idea.	SHARON	 Their vows?	Angel Eyes 
SHARON	 Is he looking more like you now -- or did he get lucky?	LARRY	 He's got Kathy's looks and brains and my strong back. You should feel his grip. (pause) You just passing by?	SHARON	 Place is coming along nice. The octagon window. Dad's signature.	SHARON	 Look, Larry, I shouldn't have to hear it from Mrs. Vander -- about what's happening.	Angel Eyes 
LARRY	 What's happening?	SHARON	 (hurt) So you really weren't going to tell me? Nobody was going to tell me? Mom and Dad renewing their vows, the church, the party. Mrs. Vander is all excited. She bought a new dress. It's blue.	LARRY	 We're workin' on Dad. We think you should be there. We told him.	SHARON	 Mom told him?	Angel Eyes 
SHARON	 I'm semi-okay. I heard about the... ceremony and the party.	KATHY	 (embarrassed) Oh. I hope you'll be there. (pause) Really.	SHARON	 Take it easy.    You too, Champ.	SHARON	 Oh, no. You're not breaking my fingers again.	Angel Eyes 
ROBBY	 Freeze!	SHARON	 (to radio) Three-A-5, foot pursuit. Suspect fleeing south on Pico Place, young man, green jacket. No visible weapon... (to Robby) Robby!	ROBBY	 Right behind you! (to man) Stop and lie down with your arms... shit.	ROBBY	 Careful!	Angel Eyes 
SHARON	 (to radio) Three-A-5, foot pursuit. Suspect fleeing south on Pico Place, young man, green jacket. No visible weapon... (to Robby) Robby!	ROBBY	 Right behind you! (to man) Stop and lie down with your arms... shit.	ROBBY	 Careful!	SHARON	 I see him!	Angel Eyes 
ELANORA	 Can you be serious?	CATCH	 (as he works) What day is today?	ELANORA	 Wednesday.	CATCH	 No.	Angel Eyes 
CATCH	 She's a police officer.	ELANORA	 (stops; worried) Are you in trouble?	CATCH	 No.   No trouble.	ELANORA	 Well... that's a good thing.	Angel Eyes 
SHARON	 Why would you do that -- jump a man with a gun?	CATCH	 (shrugs) He was going to shoot you.	SHARON	 He could've shot you. You have a death wish? You a bungee jumper?	CATCH	 No. I didn't have time to think about it.	Angel Eyes 
SHARON	 Every time I close my eyes, I see that goddamn gun pointing at me and I don't know why I'm telling you unless it's because you were there and because I had three drinks, but I'm not ready to go inside and close my eyes and I don't want to go to your place and I don't want to keep driving around, so what the hell do we do?	CATCH	 Whew. I feel like we're boxing, and you've got me on the ropes. (pause) We'll do whatever you want.	SHARON	 What I want  is to know how you happened to  be walking by that parking lot  at that minute. What if you hadn' t been there?	CATCH	 I guess we were supposed to meet.	Angel Eyes 
SHARON	 So, we... smell each other?   Who says that?	CATCH	 I have no idea. (as they smile) I'm more in the destiny school, we-met-in-another-life school. Do you believe that? Do you think when we die -- we come back in another form?	SHARON	 You mean like   a duck? No. I think dead is   dead. I've been thinking about   it all day -- and I don't want to   think about it anymore.	SHARON	 Why'd you do that?	Angel Eyes 
CATCH	 Does that mean I'm going?	SHARON	 (flustered) No.    You don't have to.    I...	CATCH	 You okay now?	SHARON	 Oh.    You're here as a medic.	Angel Eyes 
SHARON	 Why?	CATCH	 (shrugs) Must be the smell.	CATCH	 I better go.	SHARON	 Oh, God.	Angel Eyes 
SHARON	 It's looking great, Mom.	MOTHER	 (pleased) Thanks, honey. It's the best year ever for the impatiens. The very best.	MOTHER	 Let's go in.			Angel Eyes 
MOTHER	 You just think about the bad, and you never remember the good. I wish you remembered the good.	SHARON	 Sorry.  I wish I did, too. (then, almost like a child) Does he? Remember any good about me?	MOTHER	 Of course. He doesn't hate you. He just... still feels hurt.	SHARON	 Hurt?    I hurt him?	Angel Eyes 
SHARON	 What else did you bring?   Food?	CATCH	 (opening the bag) You definitely don't deserve food. I've got coffee, sugar, sweetener, non-dairy...	SHARON	 Just black.   Black. Thanks.	SHARON	 So what kind of life did you rearrange in order to get to Denny's? You never said one word about yourself last night. What d'you do?	Angel Eyes 
CATCH	 Somebody who keeps appointments.	SHARON	 You're ducking. Don't duck. (then a thought) Oh, shit -- you're married, right?	CATCH	 I'm not.	SHARON	 I don't believe you.	Angel Eyes 
SHARON	 (sarcastic) Can I come in?	CATCH	 Yeah.   Sure.   Come in.	SHARON	 You live here? Nobody lives here. This place is some kind of front, a scam, a drop -- or what?			Angel Eyes 
ELANORA	 Tell her, Catch. Tell somebody. It's been almost two years.	CATCH	 (a warning) Nora...	ELANORA	 Every time I tell somebody, it gets a little bit easier. I'm not saying it goes...	CATCH	 Nora!	Angel Eyes 
CATCH	 That doesn't matter.	ELANORA	 (smiles) She is pretty.	CATCH	 She's sort of pissed-off at me.	ELANORA	 Apologize.	Angel Eyes 
