VITTORIA	 (in Italian, subtitled) Somebody pulled us off the grid, Phillipe.	PHILLIPE	 (responds in French, also subtitled) You hit 36kV down there yesterday. The whole synchrotron only loads 18.	VITTORIA	 (switching to French) And the LEAR's specked up to 42. It's all approved by the Director, you want me to call him?	PHILLIPE	 Waste of power, what're you extracting, still ten to the seventh APs a second?    How long to produce a gram at that rate?	Angels & Demons 
PHILLIPE	 (responds in French, also subtitled) You hit 36kV down there yesterday. The whole synchrotron only loads 18.	VITTORIA	 (switching to French) And the LEAR's specked up to 42. It's all approved by the Director, you want me to call him?	PHILLIPE	 Waste of power, what're you extracting, still ten to the seventh APs a second?    How long to produce a gram at that rate?	VITTORIA	 About two billion years.     At that rate.	Angels & Demons 
VITTORIA	 About two billion years.     At that rate.	PHILLIPE	 Vittoria. (switching to soft	ITALIAN)	 Please don't blow us all to heaven.	DISSOLVES TO:		Angels & Demons 
(GESTURING)	 Bags under your eyes, up at five a.m., Italian accent... Do I hear Naples in those Rs?	VINCENZO	 (smiles, shows an ID) Claudio Vincenzo, Corpo della Gendarmeria Vaticano.	LANGDON	 Vatican Police?    I was expecting another letter. (Vincenzo looks confused) My request for access to the Archives?	LANGDON (CONT'D)	 Shouldn't you be in Rome?   Busy time for you guys.	Angels & Demons 
VINCENZO	 (smiles, shows an ID) Claudio Vincenzo, Corpo della Gendarmeria Vaticano.	LANGDON	 Vatican Police?    I was expecting another letter. (Vincenzo looks confused) My request for access to the Archives?	LANGDON (CONT'D)	 Shouldn't you be in Rome?   Busy time for you guys.	VINCENZO	 In fact I was in New York, on vacation.    I got a call in the middle of the night --- find Robert Langdon. A matter of great urgency.	Angels & Demons 
VINCENZO	 It's worse than just that.    Four cardinals were kidnapped from their quarters inside the Vatican some time between three and five a.m. this morning. Shortly afterward, the Office of the Swiss Guard received that document, along with the threat that the Cardinals will be publicly executed, one per hour, starting at seven p.m. tonight, in Rome.	LANGDON	 (mind racing ahead) Conclave?	VINCENZO	 Was to begin today.    We have postponed its start for a few hours, a story of illness, there are no suspicions. Yet.	LANGDON	 What do you want from me?	Angels & Demons 
LANGDON	 I wasn't under the impression that episode had endeared me to the Vatican.	VINCENZO	 Oh, it didn't.     But it made you -- what is the word? (Italian pronunciation) Formidable.     Formidable.    A plane is standing by twenty minutes from here. Will you come with me?	VINCENZO (CONT'D)	 Professor Langdon, you have spent ten years of your academic life searching for the very symbol you now hold in your hand.     And the madman who created it, or who knows the secrets of its origin-- that person is in Rome. (checks his watch) How much longer must we pretend you have not already decided to come?			Angels & Demons 
MORTATI (CONT'D)	 It is as much a sin to offer flattery to accept it.	FR. SIMEON	 (chastened, but not	REALLY)	 The Camerlengo asks how long you can postpone the opening prayer without making another announcement to the public?	MORTATI	 Two years and three months. (Simeon looks confused) The conclave of 1316? (never mind)	Angels & Demons 
REALLY)	 The Camerlengo asks how long you can postpone the opening prayer without making another announcement to the public?	MORTATI	 Two years and three months. (Simeon looks confused) The conclave of 1316? (never mind)	MORTATI (CONT'D)	 Tell the Camerlengo the Cardinal Electors will take every minute required to perform their sacred trust.    No further announcements are necessary.	FR. SIMEON	 He's be concerned about the public dimension.    People will think-	Angels & Demons 
FR. SIMEON	 He's be concerned about the public dimension.    People will think-	MORTATI	 (cutting him off) What we tell them to think.					Angels & Demons 
ACCENT		ROCHER	 (to Vittoria) Ms. Vetra?    I'm Commander Rocher, Commandante Principale of the Swiss Guard.    Thank you for coming.     And Professor Langdon?	LANGDON	 That's right. Rocher looks him up and down, so, you're Langdon.	ROCHER	 Thank God, the symbologist is here. Ms. Vetra, this way, please.	Angels & Demons 
(CONTINUING)	 -- canister was stolen from our lab around midnight last night.     The intruder killed my research partner, Leonardo Bentivoglio, and mutilated him in order to bypass security.	VITTORIA (CONT'D)	 We use retinal scanners. (they still don't get it) They cut out his eyes.	VITTORIA (CONT'D)	 That canister contains an extremely combustible substance called antimatter.    We need to locate it immediately or evacuate Vatican City.	ROCHER	 I'm quite familiar with incendiaries, Ms. Vetra.    I haven't heard of antimatter.	Angels & Demons 
ROCHER	 And what might cause it to fall out of suspension?	VITTORIA	 The battery going dead.     Which it will. (looks at the screen) In six hours and eleven minutes.	VITTORIA (CONT'D)	 Where is that camera?   Number eighty- six?	OLIVETTI	 It's wireless.     It too was stolen. That could be anywhere inside the Vatican walls.	Angels & Demons 
VOICE (O.S.)	 We will destroy your four pillars... brand your preferiti and sacrifice them on the altars of science... and then bring your church down upon you. Vatican City will be consumed by light.	LANGDON	 It's an ancient llluminati threat. (Rocher pauses the recording) The destruction of Vatican City through light.     The four pillars -- he probably means the kidnapped cardinals.     You didn't mention they were the preferiti. (to Vittoria) The favorites to be chosen as the new Pope.     Play it again.	VOICE (O.S.)	 We will destroy your four pillars... brand your preferiti and sacrifice them on the altars of science...	LANGDON	 Stop it there.	Angels & Demons 
ROCHER	 He said they'd be killed publicly. In churches.	LANGDON	 (nods, not surprised) Revenge for La Purga.	ROCHER	 La Purga?	LANGDON	 Don't you guys read your own history? 1668.     The church kidnapped four llluminati scientists and branded their chests with the symbol of the cross.     To "purge their sins." Murdered them and left their bodies in the street as a warning to others to stop questioning church rulings on scientific matters.     It was after La Purga that a darker, more violent llluminati emerged.     This sounds like retribution. (to Rocher) Is there any more?	Angels & Demons 
