LUCY (O.S.)	 (over answering machine; sweet, British, slightly desperate) Joe, it's Lucy.  Remember me?  It's the black sheep here.  Bah...not funny. Haven't heard from you, need you, call me.  Love you madly.  Hi, Sally.  Joe, I'd love to talk to you before I go...	JOE	 Go where?	LUCY (O.S.)	 (over answering machine) It's a damn nuisance you aren't here, big brother.  Sorry I drone on.  I miss you. I lo--			Anniversary Party, The 
JOE	 Go where?	LUCY (O.S.)	 (over answering machine) It's a damn nuisance you aren't here, big brother.  Sorry I drone on.  I miss you. I lo--	NEW ANGLE		WIDE SHOT		Anniversary Party, The 
JOE AND SALLY	 Good boy, Otis.	VOICE (O.S.)	 (over answering machine) Hello, I have Dr. Harmon calling for Sally Therrian.	SALLY	 Hello, hi, hi...and?  Thank God.			Anniversary Party, The 
STEVEN	 And change sides...	AMERICA	 (with the authority of long years of service) Mr. Joe, we have to have the house.  If you please now...	JOE	 It's yours.			Anniversary Party, The 
SALLY	 No.  Did you?	JOE	 (after a beat) No.  I missed that.	SALLY	 I missed all of you.  We're okay, aren't we?	JOE	 We're great.	Anniversary Party, The 
JOE	 What?	SALLY	 They can't find a sitter... (into the receiver) Hello?  Excuse me?  Yes, uh, hold on. (she looks at Joe) Just a moment. (puts the call on hold) It's Skye Davidson.  She needs directions to the house.  You invited Skye fucking Davidson to our anniversary party?	JOE	 Okay.  I'm sorry, look, I meant to tell you.  It was the only chance I had to meet her.	SALLY	 You invited her to our anniversary party? I didn't even invite my mother.	Anniversary Party, The 
JOE	 She goes on location tomorrow.  Sally, I'm sorry.  Look, I can't keep her on hold.	SALLY	 (pissed) No, no of course not.  It's Skye fucking Davidson, for fuck's sake.	JOE	 (regards her) You want me to uninvite her?	SALLY	 No, no of course not.  How old is she? Twenty-fucking-two?	Anniversary Party, The 
SALLY	 (pissed) No, no of course not.  It's Skye fucking Davidson, for fuck's sake.	JOE	 (regards her) You want me to uninvite her?	SALLY	 No, no of course not.  How old is she? Twenty-fucking-two?	SALLY (CONT'D)	 (into the bathroom mirror) And she's a stinking fucking actress, for fuck's sake.	Anniversary Party, The 
SALLY (CONT'D)	 (into the bathroom mirror) And she's a stinking fucking actress, for fuck's sake.	JOE	 (into the receiver) Skye! (his face lights) I'm so glad you're able to make it...it's our sixth, actually. (flattered) You read the book again?  Well, no, the ending to chapter six...it's just that it's not filmic. We tried it in an earlier draft, but, it just wasn't filmic... Well, sure, we can absolutely look at that again.  If you're coming from Laurel, you want to take Sunset west, we're just past Will Rogers State Park.  Three blocks west of that, you want to hang right.  It's about three quarters of a mile up a big white thing on the left.	JOE (CONT'D)	 Oh?  I don't think tonight.  I'm sure they're well behaved.  All our friends have dogs, and they always want to bring them.  We'd be outnumbered, you see?  So we sort of put a ban on it.  Sorry.	JOE (O.S.) (CONT'D)	 I'm looking forward to meeting you, too. And Skye, I'm thrilled that you're willing to take this leap with me. Eternally grateful, really.	Anniversary Party, The 
JOE (O.S.) (CONT'D)	 I'm looking forward to meeting you, too. And Skye, I'm thrilled that you're willing to take this leap with me. Eternally grateful, really.	SALLY	 (into the bathroom mirror) I'm going to throw up.	JOE (O.S.)	 I can't imagine anyone else playing Genna.	SALLY	 (sanguine) Really?	Anniversary Party, The 
JOE (O.S.)	 I can't imagine anyone else playing Genna.	SALLY	 (sanguine) Really?					Anniversary Party, The 
JERRY	 You have to sign your taxes anyway.	SALLY	 (a grin) Of course we do. (to Judy) We have to sign our taxes.	JOE	 (kisses Judy; all charm) You can never be too early or too thin.	JERRY	 Happy anniversary, buddy!  Six months ago, who would have thunk it?	Anniversary Party, The 
SALLY	 (a grin) Of course we do. (to Judy) We have to sign our taxes.	JOE	 (kisses Judy; all charm) You can never be too early or too thin.	JERRY	 Happy anniversary, buddy!  Six months ago, who would have thunk it?	JOE	 (sotto) Well, not me, to be honest.	Anniversary Party, The 
JERRY	 Happy anniversary, buddy!  Six months ago, who would have thunk it?	JOE	 (sotto) Well, not me, to be honest.	JERRY	 (sotto) Don't fuck up again.  It's got a ripple effect.  Sally suffers, we all suffer.	JUDY	 (offers) We have a gift?	Anniversary Party, The 
