A STAGE MANAGER	 takes a nervous peek through the curtains to check the audience-- it's a full house. He holds a prop umbrella in one hand, anxiously checks his watch in the other. He looks on both wings of the stage-- and then relief floods his face as he sees The Man in the Grey Suit hurrying over to him. The Stage Manager wordlessly hands him the umbrella and signals to a stagehand in the background. The curtains start to OPEN and the MURMUR of the audience dies down. 1 pg. 2 5   INT. BROADWAY THEATER - THE STAGE - CONTINUOUS                5 The man with the umbrella stands on the empty stage, a single light on him. He is "PROLOGUE". (We will see the same actor later as the "Prologue" of Henry V). "Prologue" regards his audience for a   beat before:	PROLOGUE	 Soul of the Age! The applause, delight, the wonder of our stage! Our Shakespeare, rise... (beat, repeating) Our Shakespeare... For he is all of ours, is he not? The most performed playwright of all time! The author of 37 plays, 154 sonnets, and several epic poems that are collectively known as the ultimate expressions of humanity in the English language. And yet... And yet... (beat) Not a single manuscript of any kind has ever been found written in Shakespeare's own hand. In four hundred years, not one document-- be it poem, play, diary or even a simple letter. (beat) He was born the son of a glove-maker, and at some unknown time, armed with but an elementary school education, he went to London where, the story goes, he became an actor and eventually a playwright.	OFF STAGE	 A stagehand takes a wooden hammer and beats against a flat metal pate, creating the SOUNDS of THUNDER. Another stagehand starts to lift shutters in front of a stage light back and forth to create LIGHTNING STRIKES.			Anonymous 
POLE	 Jonson!   Jonson!!    Show yourself! The soldiers immediately spread out into different parts of the theater. Jonson's gone. Because--	JONSON	 has moved under the stage silently scurrying like a rat trying to find a place to hide among the stacks of props and costumes (swords, masks, flags and banners, shields, barrels, canons, etc.) But Jonson freezes when he sees-- 4 pg. 5	POLE (CONT'D)	 Out with you! Jonson! We'll smoke you out like a rat if we have to! (beat) Jonson?! Jonson!! Nothing.    A beat, then--			Anonymous 
JONSON	 has moved under the stage silently scurrying like a rat trying to find a place to hide among the stacks of props and costumes (swords, masks, flags and banners, shields, barrels, canons, etc.) But Jonson freezes when he sees-- 4 pg. 5	POLE (CONT'D)	 Out with you! Jonson! We'll smoke you out like a rat if we have to! (beat) Jonson?! Jonson!! Nothing.    A beat, then--	POLE (CONT'D)	 (to a soldier) Torch it. The soldier hesitates.	POLE (CONT'D)	 Torch it!   All of you! The soldiers obey, lighting fire to the walls, the galleries, the columns as-- 5 pg. 6	Anonymous 
FIGURE	 Ask him about the plays.	JONSON	 (to the Interrogator) Plays? (to the Figure) Which would you prefer, my lord? A pastoral? An historical? An historical-pastoral, or an hysterical historical pastoral-- And SMACK!    He's hit by the guards again.   He SPITS out a tooth.	INTERROGATOR	 We are not interested in your plays, Jonson. We are interested in the plays given to you by Edward de Vere, Earl of Oxford. Jonson stares at him a beat, and then looks into the darkness.	JONSON	 I'm sorry my lord, but I am not sure I know whereof you speak. I have had the honor of meeting his lordship-- And SMACK--	Anonymous 
SOUTHAMPTON (O.S.)	 Well?	TWO MEN	 walk towards the theater. Edward de Vere (47), the Earl of OXFORD, an intensely handsome man. His clothes have seen better days. His companion is Henry Wriothesley, Earl of SOUTHAMPTON (22). Blonde, attractive, a bit of a pretty boy-- and extremely enthusiastic.	SOUTHAMPTON (CONT'D)	 Wonderful, isn't it?	OXFORD	 (frowning slightly) Well, it's certainly... big. 8 pg. 9	Anonymous 
SOUTHAMPTON (CONT'D)	 Wonderful, isn't it?	OXFORD	 (frowning slightly) Well, it's certainly... big. 8 pg. 9	SOUTHAMPTON	 I promise you, Edward, you've seen nothing like it before! Nothing!			Anonymous 
OXFORD	 Bricklayers and whores watching Aristophones?   You're quite right, Henry, not only have I never witnessed it, I'm not sure I care to.	SOUTHAMPTON	 (teasing) You're an elitist, you know that, Edward? Oxford pauses at the entrance.	OXFORD	 There won't be puppets, will there? Southampton grins and gives a few coins to an USHER, who escorts the two of them (the retainers stay outside) inside.	USHER	 My lords...	Anonymous 
SOUTHAMPTON	 (teasing) You're an elitist, you know that, Edward? Oxford pauses at the entrance.	OXFORD	 There won't be puppets, will there? Southampton grins and gives a few coins to an USHER, who escorts the two of them (the retainers stay outside) inside.	USHER	 My lords...			Anonymous 
OXFORD (CONT'D)	 --Out came the ap mekhanes thes... As when Hippolytus is saved by Artemis, or Medea flown to Athens... Always good for an ap mekhanes thes was Euripides Oxford continues up, two steps behind Southampton. They come to the third floor and enter the box seating area reserved for nobles, giving Oxford his first real look at the theater itself. Oxford looks around and sees- pg. 11 He wears an enormous feather on his hat. Also on stage is an actor called John HEMINGE (late 40's), who plays "Sogliardo"	SHAKESPEARE	 And whither were you riding now, signior?	"FASTIDIOUS"	 Who, I? What a silly jest's that! Whither should I ride but to the court?			Anonymous 
"FASTIDIOUS"	 Who, I? What a silly jest's that! Whither should I ride but to the court?	SHAKESPEARE	 O, pardon me, sir, twenty places more; your hot-house, your pig-house, or your whore-house! The audience ROARS in laughter as Shakespeare looks below at a buxom young lady among the "groundlings". He smiles seductively. She smiles back. (32), young, brilliant, a bit foppish (he likes the boys), Thomas NASHE (late 30's)-- a heavy-set, a hard drinking satirist-- and Thomas DEKKER (29), considered a bit of a hack by his colleagues. They are called the "Mermaid's Wits" because they frequent a pub named The Mermaid's Tavern.	NASHE	 (takes a swig of ale) His second play, and almost a full house. (burps) He's got a wit, does Jonson.	MARLOWE	 That might be so, but like a grain of wheat hid in a bushel of chaff: you shall seek all day ere you find it, and when you have it, it's not worth the search!	Anonymous 
SHAKESPEARE	 O, pardon me, sir, twenty places more; your hot-house, your pig-house, or your whore-house! The audience ROARS in laughter as Shakespeare looks below at a buxom young lady among the "groundlings". He smiles seductively. She smiles back. (32), young, brilliant, a bit foppish (he likes the boys), Thomas NASHE (late 30's)-- a heavy-set, a hard drinking satirist-- and Thomas DEKKER (29), considered a bit of a hack by his colleagues. They are called the "Mermaid's Wits" because they frequent a pub named The Mermaid's Tavern.	NASHE	 (takes a swig of ale) His second play, and almost a full house. (burps) He's got a wit, does Jonson.	MARLOWE	 That might be so, but like a grain of wheat hid in a bushel of chaff: you shall seek all day ere you find it, and when you have it, it's not worth the search! pg. 12 The others smile as a WOMAN passes.			Anonymous 
