ALICE	 "Make" him?	LARRY	 (thoughtfully) You know what I mean.	THE AUDITORIUM - CONTINUOUS		LARRY (V.O.)	 I'm not exactly worldly, but I'm the Secretary of State next to him.	Antitrust 
LARRY	 I'm just screwed.	ALICE	 (that's not true) You know what he's like. He just wants to work on stuff that's cool.	LARRY	 You don't wanna move, do you?	ALICE	 I can paint anywhere.	Antitrust 
ALICE (V.O.)	 I mean, nobody else can follow what they're talking about half the time.	MILO/TEDDY	 (under Alice) 'Could be a condition-variable in the locking code -- If it didn't seg fault, first!					Antitrust 
LARRY	 I can't help it. I feel like they'd do anything to keep their --	ALICE	 Anything? That's not even credible. If he wants to go up there? To check it out? I think you should encourage him. (seeing Larry's incredulity) It's his life. But everybody's treating him like this -- valuable object. You're hurting your own case.					Antitrust 
LARRY	 In exchange for endowments. They should just drop the pretense and name the schools after 'em.	BRIAN	 (to Teddy) I can't believe you refused a ticket!	TEDDY	 My parents're already freaked-out I'm staying here. 50 miles from Chinatown.	BRIAN	 Well maybe if you told 'em how much money you'd be making -- (to Milo) You're going up there. Right?	Antitrust 
TEDDY	 My parents're already freaked-out I'm staying here. 50 miles from Chinatown.	BRIAN	 Well maybe if you told 'em how much money you'd be making -- (to Milo) You're going up there. Right?	LARRY	 I think you should go.	MILO	 (amazed) You do?	Antitrust 
LARRY	 I think you should go.	MILO	 (amazed) You do?	LARRY	 I mean, it's your life.			Antitrust 
MILO	 ...That's okay. INT. DEN-LIKE ROOM - MOVING (bodies roiling in Hell). Milo is -- puzzled.	GARY	 The house knows the paintings I like, it knows my favorite music. Same for anybody else who's in the system.					Antitrust 
GARY	 Would you like a Coke or something?	MILO	 (too shy, too nervous) Oh. No thanks.	GARY	 When we started, I just hired my smart friends. That was great. We got a little bigger, I had to hire smart strangers. Much harder.	GARY	 Now I don't get to hire anybody. But I know you're the guy to write Skywire.	Antitrust 
MILO	 Low enough to relay internet traffic.	GARY	 (he smiles: exactly) Among other things... We know convergence is the real super-highway: all the PC's, TV's, phones, etc. linked together. Why cram it into a cable if you can use the whole sky?	MILO	 (turning the sleek object) Skywire.			Antitrust 
GARY	 (he smiles: exactly) Among other things... We know convergence is the real super-highway: all the PC's, TV's, phones, etc. linked together. Why cram it into a cable if you can use the whole sky?	MILO	 (turning the sleek object) Skywire.					Antitrust 
MILO	 I do!	GARY	 (pleased) Yeah? I wanna feel like I did when I wrote that. But I'm 42, that's 100 in cyber-years. I look at you and see the things that got me here. (the furrows deepen) But somehow got away.					Antitrust 
ALICE	 Don't bring that up. Like a different girlfriend would'd've let you die?	MILO	 (shrugs) You saved my life in alot of ways.	ALICE	 It's not just Gary that makes you wanna go there? 'Cause it's a big place. You might not even see him again.	MILO	 I know.	Antitrust 
MILO	 Guess what? They got their --	ALICE	 Milo, this is Mr. Barton from the Justice Department. (gives Barton the water) Sorry about the glass.	BARTON	 Don't worry, Milo. I'm here as a friend. Or maybe a supplicant.	MILO	 Right... What's that mean again?	Antitrust 
BARTON	 Beggar. We're at a disadvantage with Outpost. Our experts aren't as smart as theirs. Sometimes we can't tell which technologies pose the threat of a monopoly. We need a really smart guy to help us pick our fights. I'm taking a shot in the dark, here. I can offer you 32,000 a year, a Buick. I'm hoping you've got a feeling it's the right thing to do.	MILO	 (fiddling with the card) It's just -- I kind of feel the need to do something with my ability. Create something...	BARTON	 Like I said: shot in the dark.	BARTON	 If you see something there that rubs you the wrong way? Do the right thing.	Antitrust 
MILO	 His Snapples were in alphabetical order.	REDMOND	 (he laughs) Well, he micro-managed the company till it got too big... (he opens the door) 'Guess he needs to micro-manage something.					Antitrust 
REDMOND	 Every geek here's got a thing for Lisa. But that's about the biggest reaction she's had to anybody.	MILO	 (shy, changing the emphasis) She's a programmer?	REDMOND	 Heavy graphical background, doing design-interface for Skywire apps. (he all but winks) You'll be working with her.	MILO	 I've got a girlfriend, remember?	Antitrust 
MILO	 (shy, changing the emphasis) She's a programmer?	REDMOND	 Heavy graphical background, doing design-interface for Skywire apps. (he all but winks) You'll be working with her.	MILO	 I've got a girlfriend, remember?	REDMOND	 Right. That's rare around here. You know how nuns' re-married to Jesus? 'Posties are married to Outpost.	Antitrust 
REDMOND	 Here's your world. (pointing at the desk) Copy of Gary's book, also the audio version, narrated by Gary. (Gary by a highway on its cover). As we look at it:	VOICE (SHROT)	 The card's encoded. Tells us who came through the door and when.					Antitrust 
MILO	 Tailgater?	SHROT	 (kills the alarm) Somebody coming in on your swipe. (gives Milo a photo	ID)	 You see somebody wandering around without ID, it's your duty to challenge him. I don't give a shit if you're a stock-option billionaire. If you don't challenge, I'll have your butt.			Antitrust 
REDMOND	 I phoned her at your hotel, told her about our corporate housing options. She sounds neat.	MILO	 ...She is. (turning away from Lisa) She is!	REDMOND	 'Might be some friction on the domestic front. You're expected you to put in ridiculous hours. People've accused us of breaking up relationships to get their undivided attention.			Antitrust 
REDMOND	 'Might be some friction on the domestic front. You're expected you to put in ridiculous hours. People've accused us of breaking up relationships to get their undivided attention. INT. BLDG. 20 HALLWAY - CONTINUOUS (making sure no one's looking) before ducking into	MILO'S OFFICE - CONTINUOUS						Antitrust 
MILO	 Could work with a new switch. There may be a few more things hidden.	GARY	 Don't spend too much time searching. You ever vetted somebody's old code before? (when Milo shakes his head) It's a different skill. Stay close to the surface. The best-hidden secrets are in plain sight. You know the best place to hide a leaf, right? (when Milo shakes his head) In a tree.					Antitrust 
ALICE	 Milo! What about --?	MILO	 Oh, It's great. It's great! (they start to kiss, but:) 'Think I should tell him I learned everything using 1.0? Maybe I could show him one of my early programs.	MONTAGE W/ MUSIC				Antitrust 
DOJ AGENT	 "Infotek's urgent need to license Outpost Office is such that we can use it as a tool in the current negotiation." (looks up) When you wrote the word "tool," what'd you mean by it?	GARY	 I don't remember.	DOJ AGENT	 What d'you think you meant by it?			Antitrust 
OTHER AGENT	 Since you didn't have an answer to that question, Mr. Boyd --	GARY	 ("confused" again) Didn't I? Have an answer? "I don't remember."	DOJ AGENT	 Did you wanna take a break, Mr. Boyd?			Antitrust 
MILO	 Maybe I'm going too fast.	GARY	 (sharply; incredulous) Too fast? At least four companies're on the verge of workable convergence systems, Milo, they --	GARY	 Even when I had a hand in every aspect of the company I knew the one thing you can never control is somebody's creative process.	MILO	 It's okay. Really.	Antitrust 
MILO	 It's okay. Really.	GARY	 (reaching into his pocket) Take a look at this. Slightly different approach.	MILO	 You did this -- overnight?	GARY	 You're making me young again.	Antitrust 
LISA	 You're famous around here.	MILO	 (winces) I'm getting a teacher's pet rep.	LISA	 I wouldn't worry about it. You've gotta figure most people around here were their teachers' pets.	MILO	 ...Were you?	Antitrust 
MILO	 You really wrote this just today?	GARY	 (dark, unsmiling) What're you implying.	MILO	 (taken aback) Nothing!	GARY	 Everything I do is under scrutiny. The questions they ask, trying to make anything strategic look sordid. (knits his brow) I'm confused. Doesn't everybody in business try to get ahead?	Antitrust 
GARY	 (dark, unsmiling) What're you implying.	MILO	 (taken aback) Nothing!	GARY	 Everything I do is under scrutiny. The questions they ask, trying to make anything strategic look sordid. (knits his brow) I'm confused. Doesn't everybody in business try to get ahead?	MILO	 (uncomfortable) I'm sure.	Antitrust 
MILO	 (taken aback) Nothing!	GARY	 Everything I do is under scrutiny. The questions they ask, trying to make anything strategic look sordid. (knits his brow) I'm confused. Doesn't everybody in business try to get ahead?	MILO	 (uncomfortable) I'm sure.	GARY	 The purpose of this company isn't to destroy our competitors any more than the purpose of living is to breath. But the software business is binary: you're a zero or a one. Being obsessive isn't a crime. It's a character trait.	Antitrust 
GARY	 Everything I do is under scrutiny. The questions they ask, trying to make anything strategic look sordid. (knits his brow) I'm confused. Doesn't everybody in business try to get ahead?	MILO	 (uncomfortable) I'm sure.	GARY	 The purpose of this company isn't to destroy our competitors any more than the purpose of living is to breath. But the software business is binary: you're a zero or a one. Being obsessive isn't a crime. It's a character trait.	GARY	 It scales, don't you think?	Antitrust 
ALICE	 This feels fairly grown up, I'd say.	MILO	 To our new life. (she's looking at him) ...What's wrong?	ALICE	 That's what I need to ask you. (when he says nothing) You know you can't keep anything from me.	MILO	 He gave me some new code-fixes this morning. I said, "Did you really do this just today?" Cause I was impressed. He said "What're you implying?"	Antitrust 
MILO	 To our new life. (she's looking at him) ...What's wrong?	ALICE	 That's what I need to ask you. (when he says nothing) You know you can't keep anything from me.	MILO	 He gave me some new code-fixes this morning. I said, "Did you really do this just today?" Cause I was impressed. He said "What're you implying?"	MILO	 It's the way he said it. Just the way my dad did, when he was caught in a lie. That's how you knew you were onto something ugly.	Antitrust 
MILO	 It's the way he said it. Just the way my dad did, when he was caught in a lie. That's how you knew you were onto something ugly.	ALICE	 (just confused) What would it mean, anyway? If he didn't write it?	MILO	 That's what I'm asking myself. Does he have some genius stowed away? Why not let him write Skywire. (upset) 'Not saying it makes sense.	ALICE	 Milo!	Antitrust 
ALICE	 (just confused) What would it mean, anyway? If he didn't write it?	MILO	 That's what I'm asking myself. Does he have some genius stowed away? Why not let him write Skywire. (upset) 'Not saying it makes sense.	ALICE	 Milo!	MILO	 I'm so stupid.	Antitrust 
ALICE	 He's your boss. He's not your --	MILO	 (he's nodding) I know, I know.	ALICE	 If you can't deal with him on that basis, you better get a new counselor.	MILO	 (the very idea hurts) Isn't that -- extreme?	Antitrust 
ALICE	 If you can't deal with him on that basis, you better get a new counselor.	MILO	 (the very idea hurts) Isn't that -- extreme?	ALICE	 What's extreme is what that ER doctor said when he pumped your stomach. Eat another sesame seed and that's it.	ALICE	 I mean, if one little comment from Gary is gonna upset you this much --	Antitrust 
LISA	 They just pushed up the schedule on Skywire apps. How fast are you going?	MILO	 "There is no second place." Plus every time I get jammed-up, Gary has an inspiration. (looks at her, curious) Is it like that with your counselor?	LISA	 Mine's not the CEO. He barely remembers to take a shower.	MILO	 Right, right. But does he ever just, like, hand you code?	Antitrust 
LISA	 Maybe once. I re-wrote it, anyway.	MILO	 (he smiles) You're compulsive.	LISA	 Mmm-more like -- I have a little trouble. Trusting people.	MILO	 Why's that?	Antitrust 
MILO	 So, when you were talking about wishing people were more like computers. Was that then? Or now?	LISA	 Then and now. (when he looks at her) But not right now.	VOICE	 Milo!	BRIAN	 Just dropped off a resume. Almost got in the front door.	Antitrust 
MILO	 You're living here?	BRIAN	 'Thought if I relocated it could help my case. I'm writing programs for the local public access station. Where any whack-job with 100 bucks gets his own show? God, does it suck. (gives him a business card) Can you help me?	MILO	 Sure, I'll see what I can do.	BRIAN	 Well I parked illegally. See y'later?	Antitrust 
BRIAN	 Well I parked illegally. See y'later?	MILO	 (watching Brian go) 'Forgot to introduce you. (a beat) I have a girlfriend.	LISA	 That's great. I -- didn't know.	MILO	 She saved my life.	Antitrust 
MILO	 Jesus, Teddy.	TEDDY	 I'm cool. They didn't touch the machine. Or my disks. Probably didn't know what they were. So, you a Moonie yet? (he waits) Milo?	MILO	 I met this girl.	TEDDY	 What? Come on. Is it serious?	Antitrust 
MILO	 I know you lost all his work. Maybe I could come down here and --	LARRY	 You are naive. Look at your employment contract: you can't work anywhere else in this field for at least few years. (he smiles sadly) Not that I don't miss you.	MILO	 Just thought his work should go on.	LARRY	 He was on the verge of something, too. He was gonna show us the next day. He said "The answer's not in the box, it's in the band." Know what it means?	Antitrust 
GARY	 You've been coming in early.	MILO	 It helps. Alice said it would help. To focus on something. (a little guilty) 'Don't know what I'd do without her.					Antitrust 
GARY	 Been thinking about the push mechanism in the handler. And it came over me: it's in the wrong place.	MILO	 (an uncertain smile) The wrong place?	GARY	 The answer's not in the box. It's in the band.	LISA (O.S.)	 Milo? You okay?	Antitrust 
ALICE	 They hack into people's programs?	MILO	 Nobody does work like this on-line. It's in your PC, or in a mainframe. Self-contained. They'd have to be, like, watching people. Physically. (he freezes) Oh Jesus.					Antitrust 
ALICE	 "Like this?" It's Gary you're talking about.	MILO	 (it really hurts) You think I don't know that?	ALICE	 Milo. Why would he --	MILO	 How should I know? "Solving a problem," I guess. Or needing to control everything. I don't know. (can't think about it) I've gotta get in there.	Antitrust 
ALICE	 Milo. Why would he --	MILO	 How should I know? "Solving a problem," I guess. Or needing to control everything. I don't know. (can't think about it) I've gotta get in there.	ALICE	 Even if all this were true. There're 20 other buildings. All of them filled with computers and --	MILO	 It's the only one with dishes on the roof. The studio's a front. That's why they keep postponing its opening. (muttered, obsessive) ...gotta get in there.	Antitrust 
ALICE	 Even if all this were true. There're 20 other buildings. All of them filled with computers and --	MILO	 It's the only one with dishes on the roof. The studio's a front. That's why they keep postponing its opening. (muttered, obsessive) ...gotta get in there.	ALICE	 Milo, you told me those DOJ Agents are all over the place. How could they hope to hide a surveillance post? (as he mulls this) And how can you get in there, anyway? With the cameras and the swipe cards --	MILO	 I can't just walk away!	Antitrust 
MILO	 It's the only one with dishes on the roof. The studio's a front. That's why they keep postponing its opening. (muttered, obsessive) ...gotta get in there.	ALICE	 Milo, you told me those DOJ Agents are all over the place. How could they hope to hide a surveillance post? (as he mulls this) And how can you get in there, anyway? With the cameras and the swipe cards --	MILO	 I can't just walk away!	ALICE	 You can't just walk in, either.	Antitrust 
MILO	 I know how to get in there. But you've gotta help me.	ALICE	 (scared, reluctant) ...Whaddo I do?	MILO	 So you believe me?	ALICE	 Just tell me what to do.	Antitrust 
MILO	 Come on.	GUARD	 Sir, you gotta use your own -- (noticing) Where's your ID?	MILO	 Do you know who I am?	GUARD	 It's my job, I gotta --	Antitrust 
GUARD	 It's my job, I gotta --	MILO	 (he's getting better) The kind of stock options I'm sitting on?					Antitrust 
