"CARPENTER"................................CHRISTOPHER WALKEN		Z (O.S.)	 (over a dark screen) All my life, I've lived and worked in the big city...					Antz 
STAIRS!		GENERAL FORMICA	 Cut the chit-chat down there! (turning to Carpenter) We've spoiled these workers, Carpenter.  They've never had it so good, and listen to them -- always grumbling and complaining...	CARPENTER	 ...Yes, sir.	GENERAL FORMICA	 What have they got to complain about? Three square meals a day...	Antz 
FORMICA	 Please don't worry, your majesty. Leave the worrying to me.  As you know, I'm not an ant of half- measures.  I don't pussyfoot around. This crisis is my number one priority, and I promise you it's being dealt with swiftly, and decisively.	QUEEN	 (to baby) No snacking between meals!  Off you go! (to Formica) Now -- what were we saying?	FORMICA	 (Oliver North-style) I do not recollect, your majesty. Will that be all?	QUEEN	 Yes, General Formica.  Carry on, my good man!  I don't know what we would do without you.	Antz 
QUEEN	 (to baby) No snacking between meals!  Off you go! (to Formica) Now -- what were we saying?	FORMICA	 (Oliver North-style) I do not recollect, your majesty. Will that be all?	QUEEN	 Yes, General Formica.  Carry on, my good man!  I don't know what we would do without you.	BALA (O.S.)	 General Formica!	Antz 
BALA (O.S.)	 General Formica!	CARPENTER	 (sotto) Princess Bala, sir.  Your fiancee.	FORMICA	 Princess!  You look -- outstanding. Is there anything I can do for you?	BALA	 Well -- I thought -- since we're getting married...it might be nice if we...got to know one another.	Antz 
BALA	 It's just that -- well, I'm honored that you selected me, and everything, I just thought the marriage might go a little more smoothly if -- we had a conversation?	FORMICA	 (uncomfortable) Conversation...yes...well... (to Carpenter) Wasn't she briefed?	QUEEN	 (holding up a baby) Look, General!  A darling baby soldier! (emotionally, to baby) Don't try to be a hero!  Just make sure you come back in one piece! (handing it off) Next!	FORMICA	 (using the interruption) I'll take your suggestion under advisement, Princess.  In the meanwhile --	Antz 
FORMICA	 (uncomfortable) Conversation...yes...well... (to Carpenter) Wasn't she briefed?	QUEEN	 (holding up a baby) Look, General!  A darling baby soldier! (emotionally, to baby) Don't try to be a hero!  Just make sure you come back in one piece! (handing it off) Next!	FORMICA	 (using the interruption) I'll take your suggestion under advisement, Princess.  In the meanwhile --	BALA	 General -- we have to talk sometime!	Antz 
QUEEN	 (holding up a baby) Look, General!  A darling baby soldier! (emotionally, to baby) Don't try to be a hero!  Just make sure you come back in one piece! (handing it off) Next!	FORMICA	 (using the interruption) I'll take your suggestion under advisement, Princess.  In the meanwhile --	BALA	 General -- we have to talk sometime!	FORMICA	 Very well.  Carpenter, is there a convenient time to talk vis-a-vis: relationship?	Antz 
BALA	 So, um...how was your day?  What did you do?	FORMICA	 (scouring his mind) Well... (that's it!) I declared war!	BALA	 (sadly) Oh...and I was afraid we had nothing in common...	CARPENTER	 (under his breath) Fourteen-fifty hours, sir.	Antz 
FORMICA	 (scouring his mind) Well... (that's it!) I declared war!	BALA	 (sadly) Oh...and I was afraid we had nothing in common...	CARPENTER	 (under his breath) Fourteen-fifty hours, sir.	FORMICA	 Duty calls!	Antz 
BALA	 (sadly) Oh...and I was afraid we had nothing in common...	CARPENTER	 (under his breath) Fourteen-fifty hours, sir.	FORMICA	 Duty calls!	FORMICA	 No squeak.  Outstanding!	Antz 
