BUD (V.O.)	 It's a real nice apartment - nothing fancy -- but kind of cozy -- just right for a bachelor. The only problem is - I can't always get in when I want to. INT. THE APARTMENT - EVENING (Picasso, Braque, Klee) tacked up on the walls.	KIRKEBY	 (calling off) Come on, Sylvia.  It's getting late.	KIRKEBY	 Cut it out, Sylvia.  We got to get out of here.			Apartment, The 
KIRKEBY	 Please, Sylvia!  It's a quarter to nine!	SYLVIA	 (dropping slivers of ice into the pitcher) First you can't wait to get me up here, and now -- rush, rush, rush! Makes a person feel cheap.	KIRKEBY	 Sylvia -- sweetie -- it's not that -- but I promised the guy I'd be out of here by eight o'clock, positively.	SYLVIA	 (pouring martini) What guy?  Whose apartment is this, anyway?	Apartment, The 
KIRKEBY	 Sylvia -- sweetie -- it's not that -- but I promised the guy I'd be out of here by eight o'clock, positively.	SYLVIA	 (pouring martini) What guy?  Whose apartment is this, anyway?	KIRKEBY	 (exasperated) What's the difference?  Some schnook that works in the office.			Apartment, The 
SYLVIA	 (pouring martini) What guy?  Whose apartment is this, anyway?	KIRKEBY	 (exasperated) What's the difference?  Some schnook that works in the office.					Apartment, The 
BUD	 Good evening, Mrs. Lieberman.	MRS. LIEBERMAN	 Some weather we're having.  Must be from all the meshugass at Cape Canaveral. (she is half-way up the steps) You locked out of your apartment?	BUD	 No, no.  Just waiting for a friend. Good night, Mrs. Lieberman.	MRS. LIEBERMAN	 Good night, Mr. Baxter.	Apartment, The 
KIRKEBY	 Sssssh.	SYLVIA	 (still cha cha-ing) You're one button off, Mr. Kirkeby.	SYLVIA	 You got to watch those things. Wives are getting smarter all the time.  Take Mr. Bernheim -- in the Claims Department -- came home one night with lipstick on his shirt -- told his wife he had a shrimp cocktail for lunch -- so she took it out to the lab and had it analyzed -- so now she has the house in Great Neck and the children and the new Jaguar --	KIRKEBY	 Don't you ever stop talking?	Apartment, The 
MRS. DREYFUSS	 Something the matter?	BUD	 I seem to have dropped my key. (faking a little search) Oh -- here it is.	MRS. DREYFUSS	 Such a racket I heard in your place -- maybe you had burglars.	BUD	 Oh, you don't have to worry about that -- nothing in there that anybody would want to steal... (unlocking door quickly) Good night, Mrs. Dreyfuss.	Apartment, The 
MRS. DREYFUSS	 Such a racket I heard in your place -- maybe you had burglars.	BUD	 Oh, you don't have to worry about that -- nothing in there that anybody would want to steal... (unlocking door quickly) Good night, Mrs. Dreyfuss.					Apartment, The 
KIRKEBY	 Sure, sure.  Look, kid -- I put in a good word for you with Sheldrake, in Personnel.	BUD	 (perking up) Mr. Sheldrake?	KIRKEBY	 That's right.  We were discussing our department -- manpower-wise -- and promotion-wise -- (finds the galoshes behind a chair) -- and I told him what a bright boy you were.  They're always on the lookout for young executives.	BUD	 Thank you, Mr. Kirkeby.	Apartment, The 
BUD	 (perking up) Mr. Sheldrake?	KIRKEBY	 That's right.  We were discussing our department -- manpower-wise -- and promotion-wise -- (finds the galoshes behind a chair) -- and I told him what a bright boy you were.  They're always on the lookout for young executives.	BUD	 Thank you, Mr. Kirkeby.	KIRKEBY	 (starting toward door) You're on your way up, Buddy-boy. And you're practically out of liquor.	Apartment, The 
BUD	 Thank you, Mr. Kirkeby.	KIRKEBY	 (starting toward door) You're on your way up, Buddy-boy. And you're practically out of liquor.	BUD	 I know.  Mr. Eichelberger -- in the Mortgage Loan Department -- last night he had a little Halloween party here --	KIRKEBY	 Well, lay in some vodka and some vermouth -- and put my name on it.	Apartment, The 
BUD	 Yes, Mr. Kirkeby.  You still owe me for the last two bottles --	KIRKEBY	 I'll pay you on Friday. (in the open doorwaY) And whatever happened to those little cheese crackers you used to have around?	BUD	 (making a mental note) Cheese crackers.			Apartment, The 
KIRKEBY	 I'll pay you on Friday. (in the open doorwaY) And whatever happened to those little cheese crackers you used to have around?	BUD	 (making a mental note) Cheese crackers.					Apartment, The 
