ACCOUNTANT	 What's to prevent it ?	CHARLIE	 Maybe nothing. But I'll tell you, I didn't build a two-billion-dollar company in the last twenty years by doing nothing. We can protect our interests. (pause, for a drink) We are still the most powerful nation in the world. Militarily.	CHARLIE	 (continuing) You know bodyguard; he was a captain in Viet Nam. You talk to him, except he won't talk. This kind of man can kill you with his pinky. A nice quiet fella, though.	CHARLIE	 (continuing) Carries a attache case at all times. You know what's in it ? (another sip) An Ingram Machine pistol.	Apocalypse Now 
CAPTAIN	 Winning the war by yourself.	WILLARD	 (he calls for the waiter) Part.	CAPTAIN	 Which part is that ?	WILLARD	 My part.	Apocalypse Now 
CAPTAIN	 Thirty -- sometimes fifty.	WILLARD	 You know, I can remember once, getting back below the DMZ -- and the first Americans we ran into were a track squadron. I just couldn't believe how much water they had. We'd been chewing bamboo shoots for almost a week, and before that, for two weeks, we'd been drinking anything -- rain water, river shit, stuff right out of the paddies. And there were these guys standing by their trucks spilling water all over. I could've killed them. (solemnly) I swear to God I would have, too, if ...	CAPTAIN	 I didn't know we had units up there in North Vietnam.	WILLARD	 We do.	Apocalypse Now 
WILLARD	 (continuing) What do you want ?	CIVILIAN	 (indicating the Army jeep) If you're B.L. Willard, 4th Recon Group, we'd like you to come with us.	WILLARD	 Whose orders ?	CAPTAIN	 Headquarters 11 Corps -- 405th A.S.A Battalion -- S-2 -- Com-Sec -- Intelligence -- Nha Trang.	Apocalypse Now 
WILLARD	 I've worked with them on occasions and I saw the movie , sir.	COLONEL	 Then you can appreciate Command's concern over their -- shall we say 'erratic' methods of operation. (pause) I have never favored elite units, Captain, including your paratroopers or whatever. Just because a man jumps out of an airplane or wears a silly hat doesn't give him any priviliges in my book -- not in this man's army.	MAJOR	 We didn't need 'em in Korea -- no sir, give me an Ohio farm boy and an M-1 Garand, none of this fancy crap -- no sir.	CIVILIAN	 (stopping him) Major.	Apocalypse Now 
MAJOR	 We didn't need 'em in Korea -- no sir, give me an Ohio farm boy and an M-1 Garand, none of this fancy crap -- no sir.	CIVILIAN	 (stopping him) Major.	COLONEL	 We have Special Forces A detachments all along the Cambodian border. Two here and another one here -- twelve or fourteen Americans -- pretty much on their own; they train and motivate Montagnard natives; pick their own operations. If they need something, they call for it, and get it within reason. What we're concerned with is here.			Apocalypse Now 
36  FULL SHOT - HELICOPTERS		KILGORE	 (bellowing) Lieutenant: Bomb that tree line back about a hundred yards -- give me some room to breathe.	37  CLOSE VIEW ON WILLARD		38  VIEW ON KILGORE		Apocalypse Now 
KILGORE	 Body cards, you damn fool -- cards !	WILLARD	 (formally) Captain B-L. Willard, sir -- 4th Recon Group -- I carry priority papers from Com-Sec Intelligence 11 Corp -- I believe you understand the nature of my mission.	KILGORE	 (not looking up) Yeah -- Na Trang told me to expect you -- we'll see what we can do. Just stay out of my way till this is done, Captain.	39  TRACKING VIEW		Apocalypse Now 
WILLARD	 (formally) Captain B-L. Willard, sir -- 4th Recon Group -- I carry priority papers from Com-Sec Intelligence 11 Corp -- I believe you understand the nature of my mission.	KILGORE	 (not looking up) Yeah -- Na Trang told me to expect you -- we'll see what we can do. Just stay out of my way till this is done, Captain.	39  TRACKING VIEW		KILGORE	 (to himself) Six a spades -- eight a hearts -- Isn't one worth a Jack in this whole place.	Apocalypse Now 
39  TRACKING VIEW		KILGORE	 (to himself) Six a spades -- eight a hearts -- Isn't one worth a Jack in this whole place.	40  TRACKING ON KILGORE		KILGORE	 What ? Here. You sure?	Apocalypse Now 
KILGORE	 What'd you do for supplies?	WILLARD	 (he shrugs) Mercenaries -- agents, traitors -- they put out caches.	KILGORE	 Can you trust them?	WILLARD	 No. They put out two or three for every one I needed. When you get to the one you'll use, you just stake it out. If something feels wrong, you just pass it up. On one mission, I had to pass up three and ended up living on rats and chocolate bars.	Apocalypse Now 
