SWEET COED		(SHYLY)	 Hi... My name is Mary O'Reilly O'Toole O'Shea and...over there is the island my friend Muffy owns... It's spring break... and she's invited us over for the weekend, and we're waiting for the ferry now to take us there... (blushing, mortified to cameraman) I don't know what else to say!	CAMERAMAN (CHAZ'S VOICE)	 Tell us something about yourself.	SWEET COED	 Something about myself? Oh, Gee... (composing herself, earnestly) Well, I want to work with handicapped children... My parents are my best Friends... Next semester I start convent school, and I... fuck on the first date. O.S. her friends explode with LAUGHTER. Brassy former deb NIKKI BRASHEARS gives us a big, wet wink, dropping the act.	April Fool's Day 
CAMERAMAN (CHAZ'S VOICE)	 Tell us something about yourself.	SWEET COED	 Something about myself? Oh, Gee... (composing herself, earnestly) Well, I want to work with handicapped children... My parents are my best Friends... Next semester I start convent school, and I... fuck on the first date. O.S. her friends explode with LAUGHTER. Brassy former deb NIKKI BRASHEARS gives us a big, wet wink, dropping the act.	SWEET COED/NIKKI	 April Fool...	CHAZ'S VOICE	 Whoo! Outrageous woman! Nikki, you are my kind o' gal! He PANS THE CAMERA over to KIT-- a pretty, unaffected, natural beauty, bright and very much aware.	April Fool's Day 
KIT	 Pass.	CHAZ'S VOICE	 C'mon , Arch? Skip? He PANS over to the other two college boys on the dock here - ARCH, a big, good-natured, easygoing WASP jock (rugby and crew); and SKIP, Mr. Preppy, the perfect image of the lazy spoiled, indulged, and reckless upper-crust kid. Skip also happens to be Muffy's cousin.	ARCH	 (ponders it with due consideration) Yeah, sure... I fuck on the first date... Skip cracks up. Arch's laughter follows.	NIKKI (O.S.)	 Where's Rob? Chaz QUICK-PANS the camera back to Kit, following the action.	April Fool's Day 
CHAZ'S VOICE	 C'mon , Arch? Skip? He PANS over to the other two college boys on the dock here - ARCH, a big, good-natured, easygoing WASP jock (rugby and crew); and SKIP, Mr. Preppy, the perfect image of the lazy spoiled, indulged, and reckless upper-crust kid. Skip also happens to be Muffy's cousin.	ARCH	 (ponders it with due consideration) Yeah, sure... I fuck on the first date... Skip cracks up. Arch's laughter follows.	NIKKI (O.S.)	 Where's Rob? Chaz QUICK-PANS the camera back to Kit, following the action.	CHAZ'S VOICE	 (teasing, with innuendo) Yeah, Kit, where is he?	April Fool's Day 
NIKKI (O.S.)	 Where's Rob? Chaz QUICK-PANS the camera back to Kit, following the action.	CHAZ'S VOICE	 (teasing, with innuendo) Yeah, Kit, where is he?	ARCH (O.S.)		(MORE TEASING)	 Oh, Kit... Concerned, Kit keeps her humor anyway, waving the lens away again.	April Fool's Day 
KIT	 Oh, c'mon, Chaz, give me some room, will you? He does, finally shutting down the videopak. The image reverts to FILM again.	NIKKI	 (looks at her, persisting)					April Fool's Day 
(ABASHED)	 Thanks... for the lift, I mean...	SUBURBAN LADY	 (smiles, no reason for disappointment) It was a real lift for me, too, hon. A late model Detroit sedan slows at the intersection, turning off the highway to take the junction in the direction Rob is going. A road sign indicates: "BAR HARBOR MOUNT DESERT" in another direction. Rob hefts his gear, hurrying to flag the sedan. The Volvo wagon continues on, braking for the next undergraduate male hitchhiking down the road.					April Fool's Day 
MUFFY	 Shit.	CLARA'S VOICE	 Need any help down there? Clara comes clopping down the steps. Muffy turns, the mannequin's arm still in her hand. Old workclothes and a head kerchief take the place of Muffy's normally impeccable prep Seven Sisters outfit (including the regulation penny loafers) in all this dust. Early 20's, pretty in an off-beat sort of way, Muffy is every inch a blue-blood.	MUFFY	 (puffing with the effort) No, Clara, thanks. Just trying some last minute straightening down here... god, I don't think I've ever worked so hard in my life...!	CLARA	 Sure you don't want me to stay? There's nobody gonna be around here to help till first ferry back Monday, y'know...	April Fool's Day 
CLARA'S VOICE	 Need any help down there? Clara comes clopping down the steps. Muffy turns, the mannequin's arm still in her hand. Old workclothes and a head kerchief take the place of Muffy's normally impeccable prep Seven Sisters outfit (including the regulation penny loafers) in all this dust. Early 20's, pretty in an off-beat sort of way, Muffy is every inch a blue-blood.	MUFFY	 (puffing with the effort) No, Clara, thanks. Just trying some last minute straightening down here... god, I don't think I've ever worked so hard in my life...!	CLARA	 Sure you don't want me to stay? There's nobody gonna be around here to help till first ferry back Monday, y'know...	MUFFY	 (continuing with her work) Nope, you're a peach, Clara. But this one's mine. I told my father I'd do it, and I will. My way. I don't want him to have any excuses.	April Fool's Day 
CLARA	 Sure you don't want me to stay? There's nobody gonna be around here to help till first ferry back Monday, y'know...	MUFFY	 (continuing with her work) Nope, you're a peach, Clara. But this one's mine. I told my father I'd do it, and I will. My way. I don't want him to have any excuses.	CLARA	 (dubiously , turning to go) All right, then. Have a nice party.	MUFFY	 (a buoyant laugh) Nice? It has to be better than nice... it's gotta be bloody unforgettable! Clara climbs the stairs.	April Fool's Day 
MUFFY	 (continuing with her work) Nope, you're a peach, Clara. But this one's mine. I told my father I'd do it, and I will. My way. I don't want him to have any excuses.	CLARA	 (dubiously , turning to go) All right, then. Have a nice party.	MUFFY	 (a buoyant laugh) Nice? It has to be better than nice... it's gotta be bloody unforgettable! Clara climbs the stairs.	CLARA	 Good luck.	April Fool's Day 
