MARIA	 Is that what's happening now?	ROBERT	 When I was a kid my favorite teacher was Mr. James. Mr. James said that world events always revolve around five things: (extending his fingers one-	BY-ONE)				Arbitrage 
BY-ONE)	 INT. ROBERT'S LIVING ROOM - DAY And right on cue, we see for the first time -- ROBERT MILLER (60) -- sitting on a sofa across from MARIA BARTIROMO and a CAMERA CREW, mid-interview. ELLEN MILLER (58) watches on a nearby MONITOR.	ROBERT	 M-O-N-E-Y. Goldenrod - 4.17.11 2.					Arbitrage 
(LAUGHING)	 Was this freshman econ?	ROBERT	 This was fifth-grade econ. (smiles, off her laugh) But this is something we've seen over and over again, time and time again, that competition for this-- limited amount of dollars out there, can make even the best of us manic. So it's not surprising that we see these asset bubbles, but when reality sets in of course, they burst.					Arbitrage 
FALCON 900EX - SOARING THROUGH THE SKIES AT 550MPH	 And we push tighter into the plane, cutting into the engine, as we hear a sonic boom and focus inside, revealing... INT. FALCON A sleek, slate-gray cabin, divided into three seating areas. At the back of the plane, five AIDES DE CAMP chatter in hushed tones, pouring over a sea of red-inked paper. In the galley, GAVIN BRIAR (42), pours a coffee. He brings it	ROBERT	 who sits alone in his private area facing the cockpit, scribbling his own red-ink across a stack of CONTRACT DOCUMENTS. His effortless slouch, silver hair, and all- commanding mannerisms make one thing clear: Robert's our man.	GAVIN	 (handing him the coffee) Here you go... Robert sips it. Goldenrod - 4.17.11 3.			Arbitrage 
ROBERT	 who sits alone in his private area facing the cockpit, scribbling his own red-ink across a stack of CONTRACT DOCUMENTS. His effortless slouch, silver hair, and all- commanding mannerisms make one thing clear: Robert's our man.	GAVIN	 (handing him the coffee) Here you go... Robert sips it. Goldenrod - 4.17.11 3.	GAVIN (CONT'D)		(SITTING)	 You're disappointed.	Arbitrage 
ROBERT	 No. We did not. Instead I fly two thousand miles for a marketing meeting... And where was Mayfield? What was this "emergency"? What was that about?	GAVIN	 (after a beat) Did you speak to the auditors?	ROBERT	 Why?	GAVIN	 What if... we don't don't close this week... We push into a close-up of Robert, as he contemplates what this would mean.	Arbitrage 
(HALF-SMILE)	 Debatable.	ROBERT	 (to Peter, as they hug and	SMILE)	 How you doin', son? Good? Robert rounds the table and takes his seat next to Ellen as she discreetly waves to the SERVANTS.	ELLEN	 We had to eat. The kids were starving...	Arbitrage 
ELLEN	 We had to eat. The kids were starving...	ROBERT	 (hugging her, happy) No, no that's okay. Where's my drink, is this mine, here? Another SERVANT enters with a CAKE flickering birthday candles. Everyone notices and starts CLAPPING.	ALL		HEY! HAPPY BIRTHDAY! YAY!	 Robert smiles. They finish cheering, then CLINK glasses for a toast.	Arbitrage 
ROBERT (CONT'D)	 Now, I'm aware that may seem uncharacteristic, but maybe it's taken me sixty years to realize what's truly important -- and it's you guys so thank you all very much.	ALL	 (as they applaud) Hear, hear! Goldenrod - 4.17.11 7.					Arbitrage 
BROOKE	 You see this? He looks closely at it. A "Forbes" cover story: "Robert Miller, the Oracle of Gracie Square: Investor profits in uncertain times by predicting housing crisis." Goldenrod - 4.17.11 8.	ROBERT	 (shakes his head) Yeah... Oy. You know how I feel about that. Trash can.	BROOKE	 Peter's got a copy pinned up in the conference room.	ROBERT	 (sits back, takes a drink) Well, you gonna keep skirting around it? Brooke leans back and stares at him.	Arbitrage 
BROOKE	 Peter's got a copy pinned up in the conference room.	ROBERT	 (sits back, takes a drink) Well, you gonna keep skirting around it? Brooke leans back and stares at him.	BROOKE	 Why sell our company? We make a great return, we give money to the causes we believe in...	ROBERT	 My darling, you are still in your 20's. I am 60. That's a big difference in point of view.	Arbitrage 
