ALEX (V.O.)	 It's strange.  When the future's in front of you, it seems to go on forever.  I mean, you never really get there.  It's always one step ahead of you.  It's like there's no present. There's no "now".  As soon as you think, "I'm here", the moment's already gone.  Either everything's in the future, or it's in the past. (beat) There's no "now".	MAN (V.O.)	 So where are you then?	ALEX (V.O.)	 I'm in the past.			Arcade 
MR. WEAVER	 We don't have to stop now...	ALEX	 (cutting him off) That's okay.  I've got a test coming up anyway.  Gotta study.	MR. WEAVER	 (sighs) I have to tell you, I'm a little concerned about you, Alex.  It's been three months now since your mother, uh...	ALEX	 (offering, fixing him with a stare) Killed herself?	Arcade 
ALEX	 (cutting him off) That's okay.  I've got a test coming up anyway.  Gotta study.	MR. WEAVER	 (sighs) I have to tell you, I'm a little concerned about you, Alex.  It's been three months now since your mother, uh...	ALEX	 (offering, fixing him with a stare) Killed herself?	MR. WEAVER	 (reluctant) Yes.  Now your father...	Arcade 
MR. WEAVER	 (sighs) I have to tell you, I'm a little concerned about you, Alex.  It's been three months now since your mother, uh...	ALEX	 (offering, fixing him with a stare) Killed herself?	MR. WEAVER	 (reluctant) Yes.  Now your father...	ALEX	 He's a basket case.  You've talked to him. You know that.  He might as well be dead too.	Arcade 
ALEX	 (offering, fixing him with a stare) Killed herself?	MR. WEAVER	 (reluctant) Yes.  Now your father...	ALEX	 He's a basket case.  You've talked to him. You know that.  He might as well be dead too.	ALEX	 (continuing) Look Mr. Weaver, I don't even know why I came here.  I fine.  Really. (looking up) It's like I said.  It's just part of the past now.  It doesn't matter anymore.	Arcade 
NICK	 (to Benz) You're an idiot, you know that? What're you going to do when you get out of here?	BENZ	 I was thinking about writing for one of those Filipino mail order brides...	STILTS	 I think I saw that on the Home Shopping Network.  The Girlfriend Hour, right after Auto Accessories.			Arcade 
STILTS	 I think I saw that on the Home Shopping Network.  The Girlfriend Hour, right after Auto Accessories.	BENZ	 (giggling) Exactly.	LAURIE	 You guys are sick.	GREG	 So how'd it go?	Arcade 
GREG	 (continuing) Listen to me, Alex.  These counselor's don't know anything.  They're full of shit. If you don't fit the pattern of the perfect kid, they freak.	ALEX	 (nodding) I know.	GREG	 So tell me you're okay, then.	ALEX	 I'm okay.	Arcade 
ALEX	 I'm okay.	GREG	 (smiles) Good.   Cause I'd freak if you weren't.	GREG	 (to Alex) Hey...watch this...	NICK	 (engrossed in his game again) You making another one, Greg?	Arcade 
GREG	 (to Alex) Hey...watch this...	NICK	 (engrossed in his game again) You making another one, Greg?	GREG	 Sure.  Practice.	BENZ	 Lemme see...	Arcade 
STILTS	 Cool.	GREG	 (still working) See, when the emulsion's still warm you can move it around... (stops) There.	GREG	 Safe keeping.	NICK	 Shit.  I'm out.	Arcade 
