CORBETT	 (to LeMalle) No shooting.  Let's see who's so interested in us.	MITCHELL	 (to Corbett) Ain't worth it, Ben...					Arctic Blue 
15   CONTINUED:		ANNE MARIE	 (unnerved) Great idea -- pointing a lousy dart gun at some nut with a high-powered hunting rifle.	ERIC	 Bastards took off, though, didn't they?			Arctic Blue 
MITCHELL	 Let's keep going.  We're only an hour from Devil's Cauldron.	CORBETT	 (pats Mitchell's shoulder) Relax.  I just want to ask them how the hunting is.					Arctic Blue 
SPORTSMAN #1	 We're on our own, if it's any of your damn business.	CORBETT	 (re ermine) You did real good.	LEMALLE	 (to Corbett) No swinging shit.  They're over their goddamned limit.	CORBETT	 (to Sportsmen) My friend is right.  Supposed to have a licensed guide when you're on this land, too.	Arctic Blue 
CORBETT	 (re ermine) You did real good.	LEMALLE	 (to Corbett) No swinging shit.  They're over their goddamned limit.	CORBETT	 (to Sportsmen) My friend is right.  Supposed to have a licensed guide when you're on this land, too.	SPORTSMAN #1	 Hey, we paid our fuckin' permit fees.	Arctic Blue 
LEMALLE	 (to Corbett) No swinging shit.  They're over their goddamned limit.	CORBETT	 (to Sportsmen) My friend is right.  Supposed to have a licensed guide when you're on this land, too.	SPORTSMAN #1	 Hey, we paid our fuckin' permit fees.	(CONTINUED)		Arctic Blue 
SPORTSMAN #2	 I were you, I'd drive right on outta here again.  Now.	CORBETT	 (calmly) This was my roaming land, 'til the government took it over. Only Innuit can hunt here now, and tourists, like you.	CORBETT	 (continuing) According to tribal law, hunters passing through the land of another tribe can only take game to survive.  They can eat the meat, but have to surrender the hides.	LEMALLE	 Want the meat?	Arctic Blue 
LEMALLE	 I say shoot 'em, bury 'em with their shiny new car.	MITCHELL	 (to LeMalle) If you're gonna take something, take it and let's go.	(CONTINUED)		20   CONTINUED:  (2)		Arctic Blue 
20   CONTINUED:  (2)		CORBETT	 (to Sportsmen) Put him in your truck.  Smell of blood will attract the bears. (to trappers) Let's go.	LEMALLE		MITCHELL	 It was self defense.  Leave it at that.	Arctic Blue 
LEMALLE	 You think those fucks will tell it that way?	CORBETT	 (ending the argument) We'll get a head start before they go crying to the law.	(CONTINUED)		20   CONTINUED:  (3)		Arctic Blue 
20   CONTINUED:  (3)		CORBETT	 (continuing; to Sportsmen) You can pack out of here -- two, three days' hike along this river at most.  Weather should hold this early in the season.	LEMALLE	 Think I'm pretty?  You better forget how we look, 'cause next time they won't keep me from killing you.  This land ain't quite civilized, you know...	MITCHELL	 At least he scalped the dead one.	Arctic Blue 
CORBETT	 Hullo, Sam.  Slow day?	WILDER	 (wary) Ben...boys.  Yeah, real slow, and I'd like to keep it that way.	CORBETT	 (conciliatory) Just passing through.	(CONTINUED)		Arctic Blue 
WILDER	 (wary) Ben...boys.  Yeah, real slow, and I'd like to keep it that way.	CORBETT	 (conciliatory) Just passing through.	(CONTINUED)		23   CONTINUED:		Arctic Blue 
23   CONTINUED:		CORBETT	 (continuing; re boot) Needs patching.	KENAI	 Twenty-five dollar.	CORBETT	 (smiles) Sure have learned to worship the white man's god.	Arctic Blue 
KENAI	 Twenty-five dollar.	CORBETT	 (smiles) Sure have learned to worship the white man's god.	MEYERLING	 I hope I can count on you gentlemen to vote for The People's Friend this November.	CORBETT	 Share some of that oil company money in your pocket and you can.	Arctic Blue 
CORBETT	 Share some of that oil company money in your pocket and you can.	WILDER	 (to Meyerling) One flier comes loose and I shoot you for littering.	MEYERLING	 (exiting; grudgeless) Have your fun... just remember The People's Friend come election day.	WILDER	 (shakes his head) Oil Company candidate running on that slogan makes about as much sense as a rat fucking a grapefruit.	Arctic Blue 
WILDER	 (to Meyerling) One flier comes loose and I shoot you for littering.	MEYERLING	 (exiting; grudgeless) Have your fun... just remember The People's Friend come election day.	WILDER	 (shakes his head) Oil Company candidate running on that slogan makes about as much sense as a rat fucking a grapefruit.	CORBETT	 Hard to work up an interest in politics, way we live.  You're the first people we've seen in two weeks.	Arctic Blue 
MEYERLING	 (exiting; grudgeless) Have your fun... just remember The People's Friend come election day.	WILDER	 (shakes his head) Oil Company candidate running on that slogan makes about as much sense as a rat fucking a grapefruit.	CORBETT	 Hard to work up an interest in politics, way we live.  You're the first people we've seen in two weeks.	(CONTINUED)		Arctic Blue 
23   CONTINUED:  (2)		LEMALLE	 (to Kenai) How about a quart of Jack Daniel's?	KENAI	 How about it is right.  Back in the primary this town was voted dry.	LEMALLE	 (to Corbett) Aw, shit.  Let's go.  Leave a note for Viking Bob, tell him to meet us in Cache.	Arctic Blue 
KENAI	 How about it is right.  Back in the primary this town was voted dry.	LEMALLE	 (to Corbett) Aw, shit.  Let's go.  Leave a note for Viking Bob, tell him to meet us in Cache.	CORBETT	 Relax.  One more day without drink won't kill you.  Right, Sam?	WILDER	 I'm living proof of that sad fact.	Arctic Blue 
25   CONTINUED:		CORBETT	 Had no choice... (pointedly, at LeMalle) ...Given the situation.	MITCHELL	 I know.  Least you didn't shoot all of them.	LEMALLE	 Fuck you, Mitchell.  Woulda been my ass if Ben didn't waste that prick.	Arctic Blue 
LEMALLE	 Fuck you, Mitchell.  Woulda been my ass if Ben didn't waste that prick.	CORBETT	 (after a beat) Mitchell, look, it don't take three of us to wait for Viking Bob.	CORBETT	 (continuing) Go ahead.  Take the jeep.  I'll come to Cache with Bob when he gets here.	MITCHELL	 Okay by me.  You're the one likes these hot springs so much.	Arctic Blue 
ERIC	 Thanks.	ANNE MARIE	 (to Wilder) I bet you haven't had lunch.	WILDER	 (smiles) Bet you're right.  But I didn't come by to wangle a meal --	ERIC	 -- We appreciate the company. Anne Marie's getting cabin fever already.	Arctic Blue 
ANNE MARIE	 (to Wilder) I bet you haven't had lunch.	WILDER	 (smiles) Bet you're right.  But I didn't come by to wangle a meal --	ERIC	 -- We appreciate the company. Anne Marie's getting cabin fever already.	WILDER	 What'd you say they call these spaceships?	Arctic Blue 
ERIC	 Best thing is, Meyerling has to chase around to find us.	ANNE MARIE	 (laughs) The little creep hates it that Eric actually does what the company hired him to do.	WILDER	 Watch it with Meyerling.  Man's as mean and corrupt as they get. Cut his mother's throat if it'd get him a couple votes.	(CONTINUED)		Arctic Blue 
27   CONTINUED:		WILDER	 (continuing) Question is why they sat here when the storm moved in.  Check their stuff while I sniff around.	ERIC	 They had Emergency Locater Transmitters, but didn't use them. (opens one up; shakes his head) Maybe because they didn't bring batteries.			Arctic Blue 
WILDER	 (continuing) Question is why they sat here when the storm moved in.  Check their stuff while I sniff around.	ERIC	 They had Emergency Locater Transmitters, but didn't use them. (opens one up; shakes his head) Maybe because they didn't bring batteries.					Arctic Blue 
28   CONTINUED:		WILDER	 (continuing) Even for Ben Corbett, this is nasty.  Man's got balls.  He was sitting in Devil's Cauldron when I left, calm as can be.	ANNE MARIE	 Thank God.  You can arrest him.	WILDER	 Not necessarily.  Corbett's awful hardbitten these days.	Arctic Blue 
WILDER	 (continuing) His old roaming area's all private reserve now.  Normally, long as he stays civil in my jurisdiction, I let him be. (beat) Won't be able to take him by my lonesome, though.  Nobody in town'll lift a finger on this.	ERIC	 (quietly) I'll go into town with you.	ANNE MARIE	 Eric, leave it alone.  It's not your business.	ERIC	 (shakes his head) No way can he get away with this. I'll be back by tonight.	Arctic Blue 
ANNE MARIE	 Eric, leave it alone.  It's not your business.	ERIC	 (shakes his head) No way can he get away with this. I'll be back by tonight.					Arctic Blue 
30   CONTINUED:		CORBETT	 (continuing) Now, why don't you get around to saying what you want.	CORBETT	 (continuing; smiling) You wouldn't shoot anyone...	WILDER (OS)	 But I would.	Arctic Blue 
CORBETT	 Christ if I shouldn't know better than to step in soft earth.  I've seen footprints in the tundra a hundred years old.	WILDER	 (to Eric) I got it from here.  Thanks.	CORBETT	 (to Wilder) Sam, give Dixie here fifty bucks out of my kit, will you?			Arctic Blue 
WILDER	 (to Eric) I got it from here.  Thanks.	CORBETT	 (to Wilder) Sam, give Dixie here fifty bucks out of my kit, will you?					Arctic Blue 
CORBETT	 Nice bluff the other day with the tranquilizer gun out your jeep window.  See you again, maybe.	ERIC	 (unintimidated) Yeah.  Maybe so.					Arctic Blue 
