KUPKE	 Just everything. Don't sort it --	ANN SWIFT	 (on the phone) -- NONE, there are no police --	ZERO --				Argo 
INVADE --	 ROBERT PENDER, 40s, joins them heading down the hall. They've all gotten the same call to get to the Secretary's office. PETER GENCO, late 20s, behind.	MALICK PENDER	 What did you expect? We (turning behind him) helped a guy torture and de- Schafer! Schafer! ball an entire population --	BRICE	 At least 60. Could be a hundred.	GENCO	 (catching up to them) You still haven't found Schafer?	Argo 
BRICE	 At least 60. Could be a hundred.	GENCO	 (catching up to them) You still haven't found Schafer?	PENDER		(TO GENCO)	 No, I was screaming his name cause I was fucking him. HAL SAUNDERS, late 40s, Assistant Secretary of State for Near Eastern Affairs, perpetually stressed, coming out of his office, out of breath -- ARGO - Final 11.	Argo 
(HANDED ANOTHER		PHONE)	 -- there's no one -- this is he... (to an aide) Can we get Ottawa patched? Five phones and none of them work. Coming back -- on phone --	VANCE	 Is White House joining? ARGO - Final 12.			Argo 
HODDING --		JORDAN BUTLER	 (to Secretary) They're sticking to it. No I'll call him back. release till we expel the shah. Jordan sinks into his chair, putting his feet up on the desk. JON TITTERTON, 30s, an aide to Jordan --	TITTERTON	 Put him on a plane. Fuck him.	JORDAN	 He's half dead and he's in chemo.	Argo 
TITTERTON	 The eyes of the world are on the embassy. That makes them safer than the six on the street.	ANALYST	 (coming to the door) Bani-Sadr's saying it'll be over in 24 hours.	JORDAN	 Leave the six where they are. I'll go brief the president.			Argo 
NEWSCASTER (V.O.)	 Prime Minister Bani-Sadr today re- stated demands for the hostages' release... 52 INT. CIA DIRECTORATE OF OPERATIONS - MORNING 52 As we watch him hurry out of his car and into the CIA, we start to pick up TVs as we go by them -- all tuned to some version of the same story. He enters the front doors and crosses the famous EMBLEM on the ground. He moves past the STARS ON THE WALL, signifying fallen CIA officers (and there were fewer stars then than now). He passes the SECURITY GUARD at the desk, holds up his badge. The guard nods. ARGO - Final 15.	11/23/79)		BROKAW (V.O.) ANGELA BELK (V.O.)	 Week ten of a hostage I'm so afraid that I won't crisis that seems without see him again. That he end. A glimmer of hope won't get out from over after the release of some there, because everything -- women and Afro-Americans it seems like everything but little activity in the they're trying to do is weeks since, and the images just backfiring, it's not of bound Americans under working -- armed guard have many losing hope -- Under these images we hear an undulating drone -- the constant accompaniment of life then -- coverage of the hostage crisis.			Argo 
MENDEZ	 Compromised?	O'DONNELL	 (shakes his head) Just a matter of time. We've got Revolutionary Guards going door-to- door like Jehovah's Witnesses, looking for escapees. They're out for blood, Tony. Half of them think Khomeini's been too lenient with the ones in the embassy. Walking out of his office, Mendez following.	MENDEZ	 White House?			Argo 
ENGELL	 Okay. This is Bob Pender from State O.S. He's been talking to Morgan at ExtAff. GENCO, a State Department Assistant, removes a drape from the photographs of SIX FACES, State Department I.D. photos. Pender indicates the first two photos -- and during this, we may flash to scenes of the Houseguests in the Canadian ambassador's residence --	PENDER	 Mark and Cora Lijek, 29 and 25. He's a consular officer and she's an assistant. Newlyweds. They just got there a couple of months ago. No language skills or in- country knowledge. (re: the next photo) Henry Lee Schatz. Agricultural attache from Idaho. He was there to sell U.S. tractors to Iranian agro. Hid out with the Swedes during the takeover then made his way to join the others with the Canadians. (re: next photo) J Stafford. Late twenties. He's smart and a climber. Speaks Farsi. Arranged the hire of his wife Kathy --	BATES	 Understaffed so the faculty wives were the typing pool. That gs without comment in this room of men.	PENDER	 (then, finally) Bob Anders. Senior consular officer, oldest of the group. Most likely to be group leader. So. ARGO - Final 19.	Argo 
BATES	 Understaffed so the faculty wives were the typing pool. That gs without comment in this room of men.	PENDER	 (then, finally) Bob Anders. Senior consular officer, oldest of the group. Most likely to be group leader. So. ARGO - Final 19.	PENDER (CONT'D)	 (now, shifting gears) What we like for this are bicycles. We've identified backroads from the Shemiran district -- a couple of rat lines through the mountains to the crossing at Tabriz. Cars are off the table because of the roadblocks. Pender nods to Bates, who gs to a map, indicating the north of Iran.	BATES	 We wait till the weather clears up then we deliver six bikes and provide maps to the Turkish border.	Argo 
MENDEZ	 It's 300 miles to the Turkish crossings. They'd need a support crew behind them with a tire pump.	ENGELL PENDER	 (directed at Mendez) Who is -- We've only been asked to sharpshoot this, State's handling the op.	O'DONNELL	 Tony's an exfil spesh. He got a lot of the shah's people out after the fall. ARGO - Final 20.	MENDEZ		Argo 
TAYLOR	 -- Martin was the worst one. Martin the Maximo King --	PAT TAYLOR	 (to Lee Schatz) -- he looked like a cartoon witch doctor, bone through his nose, so she asked to take her picture with	HIM --	 J Stafford, keeping to himself.	KATHY STAFFORD	 (to J Stafford) You okay? ARGO - Final 23.	Argo 
