ARSENIC AND OLD LACE	 Written by Julius J. & Philip G. Epstein Adapted from the play by Joseph Kesselring	CREDITS	 Credits roll, in white letters, on several funny cartoons, all of them about witches and witchcraft (a caldron over a fire, with two witches on either side of it - A close-up of one of the witches - A witches falling down from the sky on her broomstick, and loosing her hat in the fall - A furious black cat spitting at an owl seated on a branch - A carafe with two glasses, actually a direct reference to the film - An Halloween pumpkin pressing her two forefingers in its ears, with music notes around it - Black bats flying over a village).	BROOKLYN - GENERAL OVERVIEW - EXTERIOR DAY	 A general overview of Brooklyn, near New York, seen from the roof of a very high building. Written in white letters on this overview, the following words : This is a Hallowe'en tale of Brooklyn, where anything can happen-- and it usually does. Then : At 3 P.M. on this particular day, this was happening- Several white circles move on the screen, then the whole screen is covered by a huge base ball, with Brooklyn written on it in black letters.	BASEBALL GAME - SPECTATORS - EXTERIOR DAY	 Close-up of the face of man, screaming :	Arsenic and Old Lace 
TEDDY	 I must be catching cold.	ABBY	 (to Teddy) No, dear. It was Reverend Harper who sneezed. (to Reverend Harper) Bless you. Teddy puts back in his pocket the handkerchief he had taken out and starts playing again.	ABBY	 We mustn't be angry with Mortimer. He's so very much in love with her. And Sister Martha and I are so happy about it. He used to come to see us only occasionally, and now, now he's in Brooklyn six nights a week.	BROPHY	 Remember now, watch your language.	Arsenic and Old Lace 
O'HARA	 Oh no, absolutely nothing to report. He salutes but with a less official attitude than his Sargent. Teddy smiles.	TEDDY	 Splendid ! Thank you, gentlemen. (very serious again) At ease. Brophy puts his arm down. O'Hara looks at his Sargent with a perplexed expression, and takes longer to put his arm down	ABBY	 You know the Reverend Doctor Harper from the church next door ?	BROPHY	 Hello, Reverend. This is Officer O'Hara, the new man on the beat. Teddy looks at O'Hara with a puzzled expression.	Arsenic and Old Lace 
MARTHA	 Look surprised when he tells us. Abby laughs. They hear a door slamming in the next room.	MORTIMER	 (voice over) Aunt Abby, Aunt Martha ! Mortimer rushes into the room and throws his hat on a chair.	MORTIMER	 Hold on to your bustles. We're married. Elaine and I are married. The two sisters hug and kiss Mortimer.	ABBY	 Oh, darling, how wonderful ! Oh, Martha, isn't it wonderful ? They're married!	Arsenic and Old Lace 
MARTHA	 Nonsense !	MORTIMER	 (he yells) But there's a body in the window-seat !	ABBY	 Yes, dear. We know. Mortimer looks even more shocked than before. His two aunts keep on setting the table as if nothing had happened.	MORTIMER	 You know ?	Arsenic and Old Lace 
MARTHA	 Well we put it in wine because it's less noticeable. When it's in tea, it has a distinct odor.	MORTIMER	 You mean you... (yelling) You put it in the wine ?	ABBY	 Yes. And I put Mister Hoskins in the window-seat, because Reverend Harper was coming. Mortimer seems ready to faint.	MORTIMER	 Ohh ! Look at me, darling. He takes again Abby's hands in his.	Arsenic and Old Lace 
MARTHA	 We told you to forget the whole thing.	MORTIMER	 (yelling) Forget ? Look, my dear aunt Martha, can't I make you realize that something has to be done ? Abby leaves the stove where she was working and comes to the table.	ABBY	 Now, Mortimer, you behave. You're too old to be flying off the handle like this.	MORTIMER	 But, but Mister Hodgekiss...	Arsenic and Old Lace 
MORTIMER	 So ?	MARTHA	 So, we all took him down to Panama, and put him in the lock and gave him a decent Christian burial. There, now you see ? (she stands up) That's why we told you not to bother about it, because we know exactly what's to be done. Mortimer is sitting on the table, and seems not to know what he must do next. But he suddenly stands up.	MORTIMER	 Wait a minute ! He rushes to his aunts.	MORTIMER	 Come here, darlings. What about the others ? All twelve of them didn't walk in here and drop dead.	Arsenic and Old Lace 
MORTIMER	 How it would be marvelous if he wasn't there. He slowly opens the lid of the seat. When the lid is a few inches open, he peeks inside.	ELAINE	 (voice over) Hey, you ! When he hears Elaine's voice, Mortimer slams the lid down and sit on the seat.	ELAINE	 Thought you were tall, dark streak of light. She is standing by the half-open door, and she makes the gestures Mortimer made when he had told her the same sentence, earlier in the churchyard.	MORTIMER	 What are you doing here?	Arsenic and Old Lace 
MORTIMER	 I'm sorry, Judge. But... a thing happened. But, Judge, about Teddy, you see...	ELAINE	 (voice over) Mortimer !	MORTIMER	 Hold it. You see, Judge, it's his bugle blowing. Yes, the neighbors have been complaining, and the police are all set to throw him into a state institution.			Arsenic and Old Lace 
ABBY	 Oh, how do you do ? Come in. The kitchen door has remained open, and we see Martha still working on her cooking.	GIBBS	 (voice over) I understand you've got a room to rent. Hearing that, Martha drops her cooking and comes into the room.	ABBY	 Yes... Do step in. Abby opens the door wide for him to get in.	GIBBS	 Well, are you the lady of the house ?	Arsenic and Old Lace 
ABBY	 Yes, I'm Miss Brewster.	MORTIMER	 (voice over) Yeah, operator ? Give me long distance, please. Martha has joined her sister.	ABBY	 And this is my sister. Another Miss Brewster. Gibbs takes off his hat.	GIBBS	 My name's Gibbs. Quick shot on Mortimer, still on the phone. He gives a quick look toward his aunts, but doesn't seem interested.	Arsenic and Old Lace 
MARTHA	 A... are your family Brooklyn people ?	MORTIMER	 (voice over) Hello ? Hap...	GIBBS	 Haven't got any family.	MORTIMER	 (voice over) Well, operator...	Arsenic and Old Lace 
GIBBS	 Haven't got any family.	MORTIMER	 (voice over) Well, operator...	ABBY	 All alone in the world ?	GIBBS	 Yeah.	Arsenic and Old Lace 
GIBBS	 Yeah.	MORTIMER	 (voice over) No, no... Abby looks at her sister with a knowing smile.	ABBY	 Well, Martha....	MORTIMER	 (voice over) No, Happy Dale... Yes.	Arsenic and Old Lace 
ABBY	 Well, Martha....	MORTIMER	 (voice over) No, Happy Dale... Yes.	ABBY	 Well, you've come to just the right house. You sit down. She helps him sit down in the armchair, while Martha is bringing a carafe of wine and a glass.	MORTIMER	 (voice over) Dale. D like in dig, you know, when you dig a lock. That's right. A like in arsenic. Got that ? Short close-up on the carafe of wine, now on the table.	Arsenic and Old Lace 
ABBY	 Well, you've come to just the right house. You sit down. She helps him sit down in the armchair, while Martha is bringing a carafe of wine and a glass.	MORTIMER	 (voice over) Dale. D like in dig, you know, when you dig a lock. That's right. A like in arsenic. Got that ? Short close-up on the carafe of wine, now on the table.	GIBBS	 Is there always this much noise ?	MARTHA	 Oh ! He doesn't live with us. Mortimer is standing, with the telephone set in one hand, and the receiver on his ear in the other hand. He whispers.	Arsenic and Old Lace 
MARTHA	 Oh ! He doesn't live with us. Mortimer is standing, with the telephone set in one hand, and the receiver on his ear in the other hand. He whispers.	MORTIMER	 I can see the headlines now. Oh, please. (back to normal voice) Hello ? Back to the table.	GIBBS	 I'd really like to see the room. Well, I don't think I'll like it. He stands up and takes his hat, which he had put on the table.	ABBY	 The room's upstairs. Abby is seated at the table, with Martha standing behind her. She takes the carafe.	Arsenic and Old Lace 
GIBBS	 I haven't tasted elderberry wine since I was a boy.	MORTIMER	 (voice over) Oh...	GIBBS	 Thank you. Abby starts pouring the wine in the glass.	MORTIMER	 (voice over) Operator ! Well, I don't want the Happy Dale Laundry ! I want the Happy Dale Sanitarium ! Sanitarium ! Sanitarium ! Sanitarium ! Yes, like a broken record ! Gibbs takes the glass from Abby.	Arsenic and Old Lace 
GIBBS	 Thank you. Abby starts pouring the wine in the glass.	MORTIMER	 (voice over) Operator ! Well, I don't want the Happy Dale Laundry ! I want the Happy Dale Sanitarium ! Sanitarium ! Sanitarium ! Sanitarium ! Yes, like a broken record ! Gibbs takes the glass from Abby.	GIBBS	 Have your own elderberry bushes ?	MARTHA	 No, but the cemetery's full of them. Gibbs raises his glass.	Arsenic and Old Lace 
GIBBS	 Well, skoal. In the background, Mortimer is yelling louder and louder. Gibbs, who had the glass almost to his lips, puts it down. The two sisters watch him with expecting eyes.	MORTIMER	 (voice over) Hello, operator! No, operator, what's taking you so long ? It's only across the river ! I could swim it faster ! Yes ! Hello ! Hello... Gibbs, who had taken the glass back to his lips, put it down once more.	MORTIMER	 (voice over) What ?... What, they're busy ? Busy ? They're busy and you're dizzy ! No, I'm not drunk, madam, but you've given me an idea ! A noise of chairs and various objects falling. Mortimer comes to the table and takes the carafe and a glass. Abby, concentrated on Gibbs raising the glass to his lips again, doesn't see him, but Martha does, and seems very anxious about it. She taps her two forefingers together.	MARTHA	 Mortimer ! Ah-ah ah-ah !... Mortimer keeps on pouring the wine in the glass	Arsenic and Old Lace 
MARTHA	 But, Mortimer.	MORTIMER	 (voice over) What, darling, what ?	MARTHA	 We were planning to hold services before dinner.	MORTIMER	 Look, couldn't that wait until I get back ?	Arsenic and Old Lace 
MORTIMER	 Good. He puts the hat on his head. The hat is ostensibly to large for him. He opens the front door	ABBY	 (voice over) Mortimer ! He was almost out, but he turns around.	MORTIMER	 What ? Abby points to the hat, but can't talk.	ABBY	 Uh-uh-uh-uh !...	Arsenic and Old Lace 
TEDDY	 Where is the poor devil ?	ABBY	 (voice over) In the window-seat.	TEDDY	 It seems to be spreading. We've never had yellow fever there before.	MARTHA	 Abby. I've never even seen Mister Hoskins !	Arsenic and Old Lace 
DOCTOR EINSTEIN	 It's all right, Johnny. It's okay. Einstein has his little bottle in one hand, and, with the finger of the other hand, he tries to explain to Jonathan that the corpse is safely in the window-seat. Jonathan looks at Einstein, and then goes across the room to look around. He even moves the drapes of a window to look outside.	ELAINE	 (voice over) Maybe you'd better explain what you're doing here. Jonathan keeps on checking around. He goes to the window above the window-seat, and looks outside.	JONATHAN	 We happen to live here. He spots an orphan shoe on the floor and picks it up.	ELAINE	 (voice over) You don't live here. I've been in this house every day, and I've never seen you before. Where are Miss Martha and Miss Abby ? What have you done to them ? Einstein tries to explain to Jonathan, without using words, that the shoe belongs to the corpse in the window-seat.	Arsenic and Old Lace 
JONATHAN	 We happen to live here. He spots an orphan shoe on the floor and picks it up.	ELAINE	 (voice over) You don't live here. I've been in this house every day, and I've never seen you before. Where are Miss Martha and Miss Abby ? What have you done to them ? Einstein tries to explain to Jonathan, without using words, that the shoe belongs to the corpse in the window-seat.	JONATHAN	 Perhaps we'd better introduce ourselves. May I present Doctor Einstein ? He puts the shoe on the table, then lifts the tablecloth to look underneath it.	ELAINE	 Doctor Einstein ?	Arsenic and Old Lace 
ELAINE	 Now I suppose you're gonna tell me that you're Boris...	JONATHAN	 (cutting her very harshly) I am Jonathan Brewster.	ELAINE	 Oh ! You're Jonathan. Jonathan comes close to her and looks at her in such a strange way that she starts walking backward.	JONATHAN	 You've heard of me ?	Arsenic and Old Lace 
ELAINE	 Mortimer, what about me ?	MORTIMER	 There's no room for anybody else in the house. (to Elaine) Please, darling, just a moment. (to Jonathan) So take that little squirt and beat it ! (to Martha) Now where's Teddy ? I've got to see him right away. Is he upstairs ? He starts climbing the stairs.	DOCTOR EINSTEIN	 Mister Brewster ! We don't take up much room. Johnny can sleep on the sofa, and I'll sleep on the window-seat.	MORTIMER	 Nothing to... He stops going upstairs	Arsenic and Old Lace 
MORTIMER	 Oh, that. Martha just found the shoe on the table and seems very intrigued by it.	ELAINE	 (voice over) It was worse than that. He's some kind of a maniac. Abby looks at the shoe, and seems also very intrigued. Martha whispers something to her.	MORTIMER	 (voice over) I know, darling, I know.	ELAINE	 (voice over) Oh, Mortimer, I'm afraid of him.	Arsenic and Old Lace 
ELAINE	 (voice over) It was worse than that. He's some kind of a maniac. Abby looks at the shoe, and seems also very intrigued. Martha whispers something to her.	MORTIMER	 (voice over) I know, darling, I know.	ELAINE	 (voice over) Oh, Mortimer, I'm afraid of him.	MORTIMER	 (voice over) Oh, darling, don't worry about it. I'm here now. Now forget it. Abby whispers back to Martha, who puts the shoe back on the table. The two sisters move away.	Arsenic and Old Lace 
MORTIMER	 (voice over) I know, darling, I know.	ELAINE	 (voice over) Oh, Mortimer, I'm afraid of him.	MORTIMER	 (voice over) Oh, darling, don't worry about it. I'm here now. Now forget it. Abby whispers back to Martha, who puts the shoe back on the table. The two sisters move away.	ELAINE	 We were married today, we were going over Niagara Falls in a barrel, your brother tries to strangle me, a taxi's waiting, and now you want to sleep on a window-seat ! Mortimer hardly listens to her, but catches the last word.	Arsenic and Old Lace 
ELAINE	 (voice over) Oh, Mortimer, I'm afraid of him.	MORTIMER	 (voice over) Oh, darling, don't worry about it. I'm here now. Now forget it. Abby whispers back to Martha, who puts the shoe back on the table. The two sisters move away.	ELAINE	 We were married today, we were going over Niagara Falls in a barrel, your brother tries to strangle me, a taxi's waiting, and now you want to sleep on a window-seat ! Mortimer hardly listens to her, but catches the last word.	MORTIMER	 Window seat... Witherspoon. Darling, you'd better run along home.	Arsenic and Old Lace 
ELAINE	 Mortimer ? But... but...	MORTIMER	 No, no, please. (in the phone) Hello ? Operator ? Get me Happy Dale 2-7-0, please.	ELAINE	 But, Mortimer, didn't you hear what I was just saying ?	MORTIMER	 Yes, 2-7-0.	Arsenic and Old Lace 
ELAINE	 He was going to kill me !	MORTIMER	 (to Elaine) Wait a minute, I can't hear the man. (to Witherspoon on the phone) What ? I've got the papers all drawn up. I know it's late, but I want you to come down here and get my brother immediately ! I's got to be done. (to Elaine) Please, darling, please.					Arsenic and Old Lace 
