ARTHUR	 Evening, Constable!	OLDER COP 1	 (seen it all before) Hi, Arthur.	ARTHUR	 Are you familiar with the expression `I can explain everything'?	OLDER COP 1	 Out of the car, please.	Arthur 
GARY	 I burnt my sister's hair.	JAY	 (high fiving him) Cool...	GARY	 Ho wanted to evict me, just 'cause I don't fit her definition of hygiene. Plenty of places to take a shit, toilet's just one of them. Just ask the a-rabs.	ARTHUR	 It's like a chat show, this. (looking into an imaginary	Arthur 
GARY	 Ho wanted to evict me, just 'cause I don't fit her definition of hygiene. Plenty of places to take a shit, toilet's just one of them. Just ask the a-rabs.	ARTHUR	 It's like a chat show, this. (looking into an imaginary	CAMERA)	 It's been said of my next guest, by Jay the bandaged lunatic, that she's `a sick-ass, whacked-out, whacked-up asswipe'. (to a PROSTITUTE) Carmella, when did you first dream of becoming a crack whore?	PROSTITUTE	 Mother died when I was six.	Arthur 
ARTHUR	 It's like a chat show, this. (looking into an imaginary	CAMERA)	 It's been said of my next guest, by Jay the bandaged lunatic, that she's `a sick-ass, whacked-out, whacked-up asswipe'. (to a PROSTITUTE) Carmella, when did you first dream of becoming a crack whore?	PROSTITUTE	 Mother died when I was six.	ARTHUR	 Oh G-d, I hate when that happens.	Arthur 
ARTHUR	 I am the Batman. Gotham can sleep easy tonight.	JAY	 (points at A CAMERAMAN) Don't point that shit at me, bitch! I will FUCK YOU UP! Jay attacks the cameraman violently. Gary piles in.	HOMELESS ROBIN	 Yes! Yes! Kill the lizards! Arthur pushes past the press.	PRESS	 Arthur! What will your mother say? Didn't she send you here to get you out of the British papers? Arthur!	Arthur 
FIRST MAN	 Um. $800 please.	ARTHUR	 Coming right up. (keys it in) Fries with that? The man laughs, along with others in the line, including Sofia who catches his eye.	ARTHUR (CONT'D)	 Congratulations everyone! THE	RECESSION'S OVER!	 Arthur dials a number on his gold iPhone.	Arthur 
ARTHUR		(TAKEN ABACK)	 Erica? Fancy meeting you here! Er...Everybody, this is Erica - the very best friend forever of my girlfriend Susan. And Erica's parents Ernest and Margaret. (to Erica and her parents) Are you familiar with the expression `I can't explain anything'?	ERICA	 Who are the women with you, Arthur?	ARTHUR	 Oh, um, this is Sofia. I believe she works for Avis. Checks the cars for dings, dead people in the trunk, that sort of thing. And this is Carmella. Anyway...	Arthur 
ARTHUR	 (noticing Sofia's stopped having sex with him) Why are you stopping? Oh, sorry. How impolite of me. Sofia, this is Hobson, my nanny.	SOFIA	 Nanny?	HOBSON	 He's merely shaped like an adult.			Arthur 
ARTHUR (CONT'D)	 Not the death metal, please!	HOBSON	 (shouting over the music) Aren't you a fan of Carcass? Hobson reads off an album cover in a little wall screen.	HOBSON (CONT'D)	 `Vomited Anal Tract' is surely a classic of its genre.	ARTHUR		Arthur 
HOBSON	 With the emphasis on the `pissed'. Really, what is it about unearned wealth that brings out such idiocy in those who have it and those who want it? The way you're going, you'll have spent your inheritance before you've inherited it.	ARTHUR	 (shifts to new pose) `Eagle pointing at lesbian.'	HOBSON	 Why did you fire Jessica?	ARTHUR	 What kind of yoga teacher won't let a pupil invent positions? She was a Nazi with a pan pipe C.D.	Arthur 
ARTHUR	 Wow. What did you say?	NAOMI	 Just generalised criticism of his parents and genitals. (to the tourists) Everyone make it over alive? Excellent. Next we enter Times Square, world famous for New Year's Eve, when a Waterford Crystal Ball descends at eye-poppingly slow speed for the inexplicable entertainment of a million drunk fools. Many people think the square is actually a square, despite blatant evidence otherwise.	(TO ARTHUR)	 Sir? What shape is Times Square?	ARTHUR	 A circle?	Arthur 
