CARLOS	 (whispering to the burnt spider) You lose...	COLETTE	 What do you mean?	CARLOS	 I mean get out.			Assignment, The 
COLETTE	 You're a pig, you know that? How can you be like that?	CARLOS	 (barely above a whisper) Leave without saying another word.					Assignment, The 
JACK	 That's not what I told him. I said he recognized me. Afterwards I realized who he was. By then it was too late.	DU FOLTIERE	 (writing in his notebook) Ah yes... The deputy chief of station did not recognize him... But he recognized you.	JACK	 I wasn't the one wearing the disguise.	DU FOLTIERE	 Yes of course... But then how are you sure it was him?	Assignment, The 
CARLOS	 (in German) Pardon me. Is the conference still in progress?	RECEPTIONIST	 (in German) Yes, but sir...	CARLOS	 (in German) I have an urdent delivery for the ministers.	ANGLE ON - THE LANDING		Assignment, The 
RECEPTIONIST	 (in German) Yes, but sir...	CARLOS	 (in German) I have an urdent delivery for the ministers.	ANGLE ON - THE LANDING				Assignment, The 
NIGERIAN OIL MINISTER	 (angry) I protest the unfound charges of the oil minister from Venezuela. We do not use, nor intend to use, the lower gradings to capture more of the market --	CARLOS	 (brandishing his automatic)	EVERYONE FREEZE!		KOJ	 We've got company.	Assignment, The 
JACK	 Who's asking for it?	MICKENA	 "The Arm of the Arab Revolution." Alias of the month time. (shrugs) Could be anybody. The point is... their leader claims to be Carlos...	JACK	 He does, does he?	MICKENA	 He wants to make sure everyone knows it's him. He wants the credit and the Austrians want a positive ID. That's when your name came up.	Assignment, The 
ON JACK		JACK	 (whispering) I think it's him, but I can't be sure. Not with those dark glasses and the beard...	ON CARLOS		ANGLE ON CARLOS		Assignment, The 
CARLOS	 We were never really properly introduced Mister Shaw. My name is Carlos.	JACK	 (smiling) Eat shit and die slow.	MICKENA (O.S.)	 Jack, no!	MICKENA	 You don't want your picture taken shaking his hand.	Assignment, The 
MICKENA	 You don't want your picture taken shaking his hand.	CARLOS	 (to the minister) As I was saying, I'm sorry about the loss of life. And thank you for your cooperation.	ON JACK				Assignment, The 
AMOS	 (accented English) How do you feel?	CARLOS	 (broken English) I do not speak English. (in Spanish) Yo soy Cubano... de Cuba... Castro... Su amigos... Amigos... Entiende?	AMOS	 You spoke English well enough to your contact... the street vendor... so please let's not play games. We're both professionals, Carlos.	CARLOS	 (with heavy Cuban accent) My name... Ramirez... no Carlos.	Assignment, The 
