VANESSA	 Austin!	AUSTIN	 (sheepish) Well, you know.	VANESSA	 Hey, I've never seen that big star before.	AUSTIN	 Yeah, what is that?	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Hello? Vanessa? What are you doing, luv?	VANESSA	 (back turned) Just putting on my--	FEMBOT VANESSA	 (computer voice)	MAKE-UP!		Austin Powers - The Spy Who Shagged Me 
VANESSA	 (back turned) Just putting on my--	FEMBOT VANESSA	 (computer voice)	MAKE-UP!		AUSTIN	 (frightened) Vanessa, you're a Fembot!	Austin Powers - The Spy Who Shagged Me 
MAKE-UP!		AUSTIN	 (frightened) Vanessa, you're a Fembot!	AUSTIN	 Machine gun jubblies, how did I miss those?	VANESSA		Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Machine gun jubblies, how did I miss those?	VANESSA						Austin Powers - The Spy Who Shagged Me 
MUSIC: VERY SAD PIANO		AUSTIN	 (very sad) I can't believe Vanessa, my bride, my one true love, the woman who taught me the beauty of sharing your whole life with another, the person who taught me the meaning of love, was a Fembot. How will I ever go on? (beat) Wait a tic! That means I'm single! Oh, behave!					Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 Right. Perhaps you've confused me with someone who gives a shit.  Might I remind you that I run the show here? I demand a little respect.	NUMBER TWO	 (indicating Dr. Evil's milk mustache) Dr. Evil, I think you--	DR. EVIL	 Silence! I will not tolerate your insolence! Remember what happened last time.	FLASHBACK (FOOTAGE FROM FIRST MOVIE)		Austin Powers - The Spy Who Shagged Me 
FRAU	 Doctor, you have a 'milk mustache.'	DR. EVIL	 (wiping it off, embarrassed) Oh, I know. I know.	NUMBER TWO	 Dr. Evil, I'd like to introduce the Greek assassin, Oedipus.	DR. EVIL	 Welcome to my private army, Oedipus. Excited?	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 Of course you do.	NUMBER TWO	 (clearing throat) Dr. Evil, as you know, the rate at which you liquidate henchmen far exceeds our ability to replace them.	DR. EVIL	 I have so few pleasures left to me, Number Two. The key to life is to rotate your vices. One day it's executions, another day it's creamy French cheese.  It's like frickin' heroin.	NUMBER TWO	 Well, Dr. Evil, perhaps I have the answer. While you were frozen, we began a program to clone you.	Austin Powers - The Spy Who Shagged Me 
NUMBER TWO	 We had a few glitches, but I think you'll be pleased with the results.	FRAU	 (shouting) Send in the clone!	NUMBER TWO	 He is identical to you in every way, except he is one-eighth your size.	DR. EVIL	 Breathtaking. I shall call him Mini- Me. (to clone) Mini-Me, you will sit to my right.	Austin Powers - The Spy Who Shagged Me 
NUMBER TWO	 He is identical to you in every way, except he is one-eighth your size.	DR. EVIL	 Breathtaking. I shall call him Mini- Me. (to clone) Mini-Me, you will sit to my right.	DR. EVIL	 Come Mr. Bigglesworth!	DR. EVIL	 Mini-me, something to eat? (expectant pause) No? (pause)	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 With a White House intern!	NUMBER TWO	 (clearing his throat) Uh-hem.	DR. EVIL	 What, that already happened?	DR. EVIL	 This is ri-goddamn-diculous. Oh well, how about a frickin' time machine? Does the president have a time machine? Have I been scooped on that?	Austin Powers - The Spy Who Shagged Me 
DR. EVIL	 No, no, no.	NUMBER TWO	 (interrupting) Dr. Evil, wouldn't it be easier to use your knowledge of the future to play the stock market? We could literally make trillions.	DR. EVIL	 (smug laugh to himself) Why make trillions when we could make... (pause) Billions?	NUMBER TWO	 Excuse me?	Austin Powers - The Spy Who Shagged Me 
NUMBER TWO	 (interrupting) Dr. Evil, wouldn't it be easier to use your knowledge of the future to play the stock market? We could literally make trillions.	DR. EVIL	 (smug laugh to himself) Why make trillions when we could make... (pause) Billions?	NUMBER TWO	 Excuse me?	DR. EVIL	 Why think small is all I'm saying.	Austin Powers - The Spy Who Shagged Me 
BRITISH COLONEL	 We've had reports that there's a spy in the Ministry of Defense.  The contents of this room are vital to the country. Be on special alert.	FAT SOLDIER	 (thick Scottish accent) Those bastards will have to kill me before I let anything happen to this wee naked hairy popsicle, sir!	BRITISH COLONEL	 Very good. And try and lose some weight for God's sake!	FAT SOLDIER	 Yessir! (sotto after the Colonel) I outta smash your teeth out with a Toffee Hammer Mr. English Colonel Telling-Me-What-To-Do-And-Stealing- our-Oil-Refusing-To-Recognize- our- Scottish-Independence!	Austin Powers - The Spy Who Shagged Me 
BRITISH COLONEL	 Very good. And try and lose some weight for God's sake!	FAT SOLDIER	 Yessir! (sotto after the Colonel) I outta smash your teeth out with a Toffee Hammer Mr. English Colonel Telling-Me-What-To-Do-And-Stealing- our-Oil-Refusing-To-Recognize- our- Scottish-Independence!					Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Gor blimey, I'm on empty! That's funny, I just filled the Shaguar up this morning.	BASIL EXPOSITION	 (on picture phone) Hello, I'm Basil Exposition, head of British Intelligence.	AUSTIN	 You always are, Basil. Listen, the weirdest thing just happened, I've run out of petrol.	BASIL EXPOSITION	 We'll send a man around immediately. How was your honeymoon?	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 (looking around) Tres chic, baby.	REG	 Austin, the models are ready.	AUSTIN	 Ta, Reg. Bless your cotton socks. Hey, Reg, do you have any hobbies?			Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Hobbies, man! I for one enjoy making models!	SUPERMODELS	 (circling Austin) It's him! Oh my God! It's Austin Powers!	AUSTIN	 One at a time, girls. One. At. A. Time!	CINDY	 Hi, I'm Cindy. I don't believe I've had the pleasure.	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 Of course you haven't had "The Pleasure", we just met, baby, yeah!	REBECCA	 How do you do, Austin? I'm Rebecca. (indicating the photo gear) Your equipment is quite impressive.	AUSTIN	 Thank you. Your breasts are amazing.	AUSTIN	 And what's your name, baby?	Austin Powers - The Spy Who Shagged Me 
AUSTIN	 And what's your name, baby?	MODEL	 (thick Russian accent) Ivana Humpalot.	AUSTIN	 Excuse me?	IVANA	 Ivana. Ivana Humpalot.	Austin Powers - The Spy Who Shagged Me 
REBECCA	 A lemur?	AUSTIN	 A small mammal native to the African savannah. C'mon baby, you know. Like this! (imitating lemur) OK, predator coming! Now, burrow, burrow! You're a lemur. It's all you've got. (beat) I take it back. Be a tiger again. Smashing!	AUSTIN	 And... done! I'm spent!	REG	 Hel-lo, you forgot about Ivana.	Austin Powers - The Spy Who Shagged Me 
IVANA	 You are hairy, like an animal!	AUSTIN	 (growling and barking) Grrrr, baby.	AUSTIN	 Grrrr. Ruf! Ruf! (covers the bear's eyes) Wait a tick, I don't want him watching me while I'm on the job!	IVANA	 Make love to me, monkey man.	Austin Powers - The Spy Who Shagged Me 
