COLETTE (V.O.)	 (Reading) ...consumed totally, completely, absolutely, by endless thoughts of Yuri fondling her breast, his other hand groping her womanhood, knowing... They sit around the dining room table. Colette, convinced	CAPTION: WILLIAM BRUCE	 The OLDEST MEMBER of the group (over 60) sits with his arms folded as he listens, shifting in his chair. Captain Grumpy.	CAPTION: JOHN K. BUTZIN	 Finally, the young (mid-to-late 20s), angelic, WOMAN listening intently, the one who probably stopped to rescue a cat on her way here.	CAPTION: HANNAH RINALDI		Authors Anonymous 
WILLIAM	 It's my creative vision, John.	ALAN	 (Jumping in) Which we are here to support. This is William's decision.	WILLIAM	 Let me just read. See if you can pick out the word. Tell me if it's better, or worse.	JOHN	 (Muttering) One goddamn word. Henry continues staring at the empty chair.	Authors Anonymous 
WILLIAM	 Let me just read. See if you can pick out the word. Tell me if it's better, or worse.	JOHN	 (Muttering) One goddamn word. Henry continues staring at the empty chair.					Authors Anonymous 
ALAN	 (Smiling) All for one . . . . But our camera picks up on the individual writers and something is amiss. Everything seems a beat off. People appear happy, but a little subdued. The joy seems a bit too forced.	HANNAH	 I'm merely the first one to get signed. But we're all going to have an agent soon.	JOHN	 Well, as a matter of fact, there's an agent in Santa Monica very interested in John K. Butzin. He's reading the manuscript as we speak. The others let John's remark pass without comment.   William taps Henry on the shoulder.			Authors Anonymous 
JOHN	 Well, as a matter of fact, there's an agent in Santa Monica very interested in John K. Butzin. He's reading the manuscript as we speak. The others let John's remark pass without comment.   William taps Henry on the shoulder.	WILLIAM	 (Lower voice) Hey, can you lend me ten bucks? Henry is still a bit dazed by this unexpected turn of events.	HENRY	 Sure.	WILLIAM	 Thanks, bro'. You're the best. Henry's eyes can't leave Hannah.	Authors Anonymous 
HANNAH	 (Calling back) Thank you! 'Night. Alan and Colette continue to smile and wave until Hannah is out of ear shot.	ALAN	 Well, Hannah's got an agent. Short beat.	COLETTE	 She must have slept with him.			Authors Anonymous 
MAUREEN	 Colette Mooney. My, that woman is something else. A light goes off in Hannah's head.	HANNAH	 (To herself; counting on her fingers) Colette Mooney. C-o-l-e-t-t-e M-o-o- n-e... She can't finish the count. The ugly truth is staring her in the face.	HANNAH (CONT'D)	 13 letters.    Oh, dear... Hannah and Maureen exchange concerned looks.			Authors Anonymous 
ALAN	 Question: You think your agent might be interested in this idea? Does he have a dog?	HANNAH	 (Evading) Oh. I don't know--	ALAN	 How about a cat? It could be a cat.	HANNAH	 Um. Sure.   Probably could be.	Authors Anonymous 
HENRY	 I'll help you develop the idea, Alan. Alan looks pleased. Hannah looks grateful. 40   INT. RESTAURANT #1 - DAY                                        40 The TWO MIDDLE-AGED WOMEN (CUSTOMER #1 AND CUSTOMER #2) sit across from each other in the nearly-deserted restaurant. Body language suggests an intense, passionate, personal chat.	WILLIAM (V.O.)	 A writer has to hear everything. On the streets. In the restaurants. But something's amiss. Customer #1 stops abruptly, glancing at the table next to them: William has suddenly materialized. Sitting with a cup of coffee and a legal pad, scribbling.	WILLIAM (V.O.) (CONT'D)	 My dialogue has to be real so I'm everywhere. Standing behind you at the checkout stand.			Authors Anonymous 
HENRY	 What?	HANNAH	 (Nodding excitedly) Brian sold Sleeping on the Moon! Now Maureen starts jumping up and down. Henry can't hide his surprise.	MAUREEN	 Oh my god!   Oh my god!	HANNAH	 (On telephone) Yes, Brian. I will. Thank you. Thank you. Thank you. I will. Promise. Thank you! Hannah turns off her iPhone. Mother and daughter can't believe the news. Jumping up and down. Warm embrace.	Authors Anonymous 
MAUREEN	 Oh my god!   Oh my god!	HANNAH	 (On telephone) Yes, Brian. I will. Thank you. Thank you. Thank you. I will. Promise. Thank you! Hannah turns off her iPhone. Mother and daughter can't believe the news. Jumping up and down. Warm embrace. In turn, they both embrace Henry, who also shares the genuine, sincere moment.	HENRY	 You did it, Hannah!   You did it!			Authors Anonymous 
