WOMAN	 Well, you're wrong. I don't.	WILLS	 (with a weary smile) Give it time.	CHARLOTTE	 -- and for weeks I sat by her bed and cried. I told her I loved her and I begged her not to leave me. All I could think about was what I'd lose if she died. And then one night... she was in really bad pain... I stopped thinking about myself for a second and I thought about her. (fighting tears) I stopped crying. I said goodbye. And in less than an hour Ella was gone.	WOMAN	 It's so sad.	Autumn in New York 
WILLS	 (with a weary smile) Give it time.	CHARLOTTE	 -- and for weeks I sat by her bed and cried. I told her I loved her and I begged her not to leave me. All I could think about was what I'd lose if she died. And then one night... she was in really bad pain... I stopped thinking about myself for a second and I thought about her. (fighting tears) I stopped crying. I said goodbye. And in less than an hour Ella was gone.	WOMAN	 It's so sad.	CHARLOTTE	 I really think it's possible to hold a person back... cry them back... from dying. That's what I did to Ella and I'll never do it to anyone else again. (softly) I hope no one ever does it to me.	Autumn in New York 
WOMAN	 It's so sad.	CHARLOTTE	 I really think it's possible to hold a person back... cry them back... from dying. That's what I did to Ella and I'll never do it to anyone else again. (softly) I hope no one ever does it to me.	WOMAN	 So what do you know about her?	WILLS	 That she's just a kid.	Autumn in New York 
TANYA	 Oh, I do -- except for the fact that there isn't a single thing on the menu I can eat.	WILLS	 (with a chuckle) Sure, there is; there's just very little you're willing to digest.	TANYA	 Fine then. We'll go, I'll get big, fat, and horrible, and it'll serve you right.	WILLS	 No, it won't. Because it takes at least a few weeks to get fat and by then you won't even be speaking to me.	Autumn in New York 
WILLS	 No, it won't. Because it takes at least a few weeks to get fat and by then you won't even be speaking to me.	TANYA	 (curiously) Why do you say that?	WILLS	 Because we have no future. All I can offer you is this... what we have right now... nothing more meaningful... until it ends.	WILLS	 I could have waited to tell you, but I wanted to leave no room for misunderstanding.	Autumn in New York 
WILLS	 How are you, Melissa?	MELISSA	 (blushing) Fine, Mr. Keane.	WILLS	 Good evening, Celia. And how --	CELIA	 (with forced cheeriness) Just dandy, sir, thanks!	Autumn in New York 
WILLS	 Good evening, Celia. And how --	CELIA	 (with forced cheeriness) Just dandy, sir, thanks!	JESUS	 Table seven.	CELIA	 This way, please.	Autumn in New York 
WILLS	 How's it going?	JOHN	 (covering the phone) Chaos.	WILLS	 The house specialty.	JOHN	 Easy for you to say, ya prick. Waltzin' in here like you own the joint.	Autumn in New York 
CELIA	 It is?	WILLS	 Sure. (beat) Especially for me.	WILLS	 Actually, I appreciate your concern, Celia. The truth is I'm a little worried myself.	CELIA	 Seriously?	Autumn in New York 
CELIA	 Seriously?	WILLS	 Seriously. I've been trying to do better. (uneasily) But... you know how it is... old habits die hard.	CELIA	 So I'm not fired?	WILLS	 Nope. In fact, John's been looking for an assistant. Tell him you've just been promoted.	Autumn in New York 
CHARLOTTE	 You guys! Let me think! (concentrating) Okay. Okay.	SIMON	 Watch carefully, everyone -- they ought to begin emerging any moment now.	CHARLOTTE	 Very funny! Actually, any moment now you're gonna turn straight and fall at my feet.			Autumn in New York 
SHANNON	 No way!	CHARLOTTE	 Don't! (to Simon) Wait a few seconds, then go to the bathroom.	SIMON	 How will I know him?	CHARLOTTE	 He's beautiful. And much older.	Autumn in New York 
CHARLOTTE	 He's beautiful. And much older.	SIMON	 Really? (getting up) If he's rich you might have a fight on your hands.	CHARLOTTE	 Okay, look.	SHANNON	 He's as old as my dad!	Autumn in New York 
CHARLOTTE	 Thanks.	SHANNON	 (under her breath) Twenty years old and never been...	CHARLOTTE	 (laughing) Shut up!	WILLS	 I'll let you get back to your celebration. (kissing Dolly's cheek) A pleasure to see you again.	Autumn in New York 
SHANNON	 (under her breath) Twenty years old and never been...	CHARLOTTE	 (laughing) Shut up!	WILLS	 I'll let you get back to your celebration. (kissing Dolly's cheek) A pleasure to see you again.	DOLLY	 Same here.	Autumn in New York 
CHARLOTTE	 (laughing) Shut up!	WILLS	 I'll let you get back to your celebration. (kissing Dolly's cheek) A pleasure to see you again.	DOLLY	 Same here.	SIMON	 Leaving so soon?	Autumn in New York 
SIMON	 Be still my beating heart. (beat) Or is that your heart?	SHANNON	 (whisper to Charlotte) You're not really into him, are you?	CHARLOTTE	 Hey, Dolly, how do you know him?	DOLLY	 (uneasily) From Newport. Old friend of your mom's.	Autumn in New York 
CHARLOTTE	 Hey, Dolly, how do you know him?	DOLLY	 (uneasily) From Newport. Old friend of your mom's.					Autumn in New York 
CHARLOTTE	 Kinda cool, kinda creepy. Anyway, you wanna speak to my grandmother?	WILLS	 (with a chuckle) I don't think so.	WILLS	 I called because I'm going to be attending a benefit... a black-and- white ball.... and I'd like you to design a hat... for my date.	CHARLOTTE	 Really? Wow. Sounds fun. Okay.	Autumn in New York 
CHARLOTTE	 Any particular style?	WILLS	 (sipping his coffee) No, just plenty of it. How long will it take?	CHARLOTTE	 A week or two.	WILLS	 You have till Thursday. I'll need it here by seven o'clock. I'm at the Pembroke on Central Park West and 76th.	Autumn in New York 
WILLS	 What's your fee?	CHARLOTTE	 (faltering) I don't really have one. I usually just make them for friends.	WILLS	 How's five hundred dollars?	CHARLOTTE	 Really? Wow.	Autumn in New York 
JOHN	 Save it, pal! Don't even bother! I may not have gone to a fancy school like Bendover --	WILLS	 (to Sarah) That would be Andover.	SARAH	 Sure, if his folks could have afforded it.	JOHN	 -- but when Wills Keane comps three bottles of Dom to a twenty-year-old girl, then tells me he did it 'cause he likes the kid's grandma, I smell a rat!	Autumn in New York 
JOHN	 -- but when Wills Keane comps three bottles of Dom to a twenty-year-old girl, then tells me he did it 'cause he likes the kid's grandma, I smell a rat!	SARAH	 (looking around) Oh, is that what that is? I figured there was a dirty diaper somewhere.	WILLS	 (lightly) Okay, I admit it, she interests me.	JOHN	 (turning to Sarah) He's gonna do it! I don't believe it! He moved us back here for nothing!	Autumn in New York 
SARAH	 (looking around) Oh, is that what that is? I figured there was a dirty diaper somewhere.	WILLS	 (lightly) Okay, I admit it, she interests me.	JOHN	 (turning to Sarah) He's gonna do it! I don't believe it! He moved us back here for nothing!	SARAH	 So much for that turned leaf.	Autumn in New York 
WILLS	 (lightly) Okay, I admit it, she interests me.	JOHN	 (turning to Sarah) He's gonna do it! I don't believe it! He moved us back here for nothing!	SARAH	 So much for that turned leaf.	WILLS	 (amused) Come on, you're overreacting.	Autumn in New York 
SARAH	 So much for that turned leaf.	WILLS	 (amused) Come on, you're overreacting.	JOHN	 Is that what you think? Buddy, since we hit town, I have done nothin' but cut you slack! Every week a new woman on your arm and I didn't say a word. Why? 'Cause I figured at least they're in the right demographic. Maybe by accident you'll trip over something substantial. But this little girl? Best she could be is Miss Right's daughter!	WILLS	 (uneasily) I know. It's just that there's something about her. She's special... and I just thought --	Autumn in New York 
JOHN	 Is that what you think? Buddy, since we hit town, I have done nothin' but cut you slack! Every week a new woman on your arm and I didn't say a word. Why? 'Cause I figured at least they're in the right demographic. Maybe by accident you'll trip over something substantial. But this little girl? Best she could be is Miss Right's daughter!	WILLS	 (uneasily) I know. It's just that there's something about her. She's special... and I just thought --	SARAH	 "She's young. She's hot. I'm on the verge of menopause. Why not go for it?"	WILLS	 There wouldn't be much point in lying to you, would there?	Autumn in New York 
SHANNON	 Am I the most spoiled brat in the world or what?	CHARLOTTE	 Spoiled brats don't even ask questions like that. (re: the hat) What do you think?	SHANNON	 That you're the most beautiful person in the entire world.			Autumn in New York 
CHARLOTTE	 I wanted it to be a tiny poem.	WILLS	 If only I had some use for it. (off her look) My date canceled a few hours ago.	CHARLOTTE	 Why?	WILLS	 I don't know. She was vague. Would you... like to come in her place?	Autumn in New York 
WILLS	 The outfit I bought her is hanging in the guest room closet.	CHARLOTTE	 (anxiously) It's okay? Are you sure?	WILLS	 (amused) Of course.			Autumn in New York 
CHARLOTTE	 (anxiously) It's okay? Are you sure?	WILLS	 (amused) Of course.					Autumn in New York 
LISA	 Why do you say that?	RICH WOMAN #1	 (with an icy smile) Good wives are rarely found up cherry trees.					Autumn in New York 
