NICK FURY	 Until such time as the world ends, we will act as though it intends to spin on. Clear out the tech below. Every piece of PHASE 2 on a truck and gone.	AGENT MARIA HILL	 Yes, sir. (to standing agents) With me.					Avengers, The (2012) 
(IN ENGLISH)	 You may have to write it down. Suddenly, WEASELLY THUG'S cell rings. Confused, he answers.	WEASELLY THUG	 Ya? (looks at LUCHKOV) It's for you. LUCHKOV takes the phone, pissed.	LUCHKOV	 Who the hell is...	AGENT PHIL COULSON	 You're at 114 Solenski Plaza, 3rd floor. We have an F22 exactly 8 miles out. Put the woman on the phone or I will blow up the block before you can make the lobby. HOLY SHIT. LUCHKOV places the cell phone against Natasha's ear seeing how she's tied to a chair with her hands tied behind her back.	Avengers, The (2012) 
TONY	 You're good on this end. The rest is up to you.	PEPPER POTTS	 (on the other line) You disconnected the transition lines? Are we off the grid? INSIDE THE SUIT -- PEPPER APPEARS ON HIS HUD MONITOR.	TONY	 Stark Tower is about to become a beacon of self-sustaining clean energy.			Avengers, The (2012) 
TONY	 Which is why he can't stay.	AGENT PHIL COULSON	 We need you to look this over. (he holds out a file towards	STARK)	 Soon as possible.	TONY	 I don't like being handed things.	Avengers, The (2012) 
TONY	 Yeah.	PEPPER	 You mean if you finished? (Stark nods his head) Well, um...then... She whispers something in his ear. Tony GASPS. Coulson looks away in embarrassment.	TONY	 Square deal. It's the last date. Pepper kisses him.	PEPPER	 Work hard. As Pepper leaves with Agent Coulson, Tony grabs the Tesseract in holograph form, worried.	Avengers, The (2012) 
STEVE	 Only word I care about.	BANNER	 (takes in the sentiment) Must be strange for you, all of this.	STEVE	 Well, this is actually kind of familiar.	NATASHA	 Gentlemen, you may wanna step inside in a minute. It's gonna get a little hard to breath. Suddenly the HELICARRIER starts SHAKING as it prepares to fly "sail."	Avengers, The (2012) 
BANNER	 Iridium, what did they need the Iridium for?	TONY	 It's a stabilizing agent. (walks in with Coulson; to	COULSON)	 I'll fly you there. Keep the love alive. Means the portal won't collapse on itself, like it did at SHIELD.	TONY (CONT'D)		Avengers, The (2012) 
TONY (CONT'D)		(TO THOR)	 No hard feelings, Point Break. You've got a mean swing. (referring to the Iridium) Also, it means the portal can open as wide, and stay open as long, as Loki wants.	(TO CREW)	 Uh, raise the mid-mast, ship the top sails. That man is playing GALAGA! Thought we wouldn't notice. But we did. (covering his eye, looks	AROUND)	 How does Fury do this?	Avengers, The (2012) 
STEVE	 You think Fury's hiding something?	TONY	 He's a spy. Captain, he's the spy. His secrets have secrets. (points to Banner) It's bugging him too, isn't it?	BANNER	 (bobbling the words) Uh...I just wanna finish my work here and...	STEVE	 Doctor? A beat.	Avengers, The (2012) 
TONY	 He's a spy. Captain, he's the spy. His secrets have secrets. (points to Banner) It's bugging him too, isn't it?	BANNER	 (bobbling the words) Uh...I just wanna finish my work here and...	STEVE	 Doctor? A beat.	BANNER	 'A warm light for all mankind, Loki's jab at Fury about the cube.	Avengers, The (2012) 
STEVE	 I heard it.	BANNER	 (pointing at Tony) Well, I think that was meant for you. Even if Barton didn't post that all over the news.	STEVE	 The Stark Tower? That big ugly (Tony gives him a look) ...building in New York?	BANNER	 It's powered by Stark Reactors, self- sustaining energy source. That building will run itself for what, a year?	Avengers, The (2012) 
BANNER	 (pointing at Tony) Well, I think that was meant for you. Even if Barton didn't post that all over the news.	STEVE	 The Stark Tower? That big ugly (Tony gives him a look) ...building in New York?	BANNER	 It's powered by Stark Reactors, self- sustaining energy source. That building will run itself for what, a year?	TONY	 That's just the prototype. I'm kind of the only name in clean energy right now.	Avengers, The (2012) 
TONY	 That's just the prototype. I'm kind of the only name in clean energy right now.	BANNER	 (referring to Tony) So, why didn't SHIELD bring him in on the Tesseract project? I mean, what are they doing in the energy business in the first place?	TONY	 I should probably look into that once my decryption programmer finishes breaking into all of SHIELD's secure files.	STEVE	 (taken by that) I'm sorry, did you say...?	Avengers, The (2012) 
TONY	 I should probably look into that once my decryption programmer finishes breaking into all of SHIELD's secure files.	STEVE	 (taken by that) I'm sorry, did you say...?	TONY	 Jarvis has been running it since I hit the bridge. In a few hours we'll know every dirty secret SHIELD has ever tried to hide. (holds out a bag of blueberries) Blueberry?	STEVE	 Yet you're confused about why they didn't want you around?	Avengers, The (2012) 
STEVE	 (taken by that) I'm sorry, did you say...?	TONY	 Jarvis has been running it since I hit the bridge. In a few hours we'll know every dirty secret SHIELD has ever tried to hide. (holds out a bag of blueberries) Blueberry?	STEVE	 Yet you're confused about why they didn't want you around?	TONY	 An intelligence organization that fears intelligence? Historically, not possible.	Avengers, The (2012) 
(SMILING)	 And you're all about style, aren't you?	TONY	 (a nerve hit) Of the people in this room, which one is; A. wearing a spangly outfit, and B. not of use?	BANNER	 Steve, tell me none of this smells a little funky to you? Steve takes in the possibility, but as an obedient soldier, shakes it off.	STEVE	 Just find the cube. Steve walks out of the lab. Still torn apart by the possibility, he walks away, towards the HULL of the ship.	Avengers, The (2012) 
BANNER	 Ah, see. I don't get a suit of armor. I'm exposed, like a nerve. It's a nightmare.	TONY	 You know, I've got a cluster of shrapnel, trying every second to crawl its way into my heart. (points at the MINI-ARC REACTOR in his chest) This stops it. This little circle of light. It's part of me now, not just armor. It's a... terrible privilege.	BANNER	 But you can control it.	TONY	 Because I learned how.	Avengers, The (2012) 
