ANNA	 Four or five days.	FATHER	 (resignedly) Oh, very well. I'll just spend the weekend alone by myself and take a little rest. I should be used to it by now.	ANNA	 Used to what?	FATHER	 To the fact of my retirement, not only as a diplomat but also as a father.	Avventura, L' (The Adventure) 
FATHER	 To the fact of my retirement, not only as a diplomat but also as a father.	ANNA	 (protestingly and with a deep sense of compassion) But how could you say such a thing?	FATHER	 Because it's true. After thirty years -- not having ever spoken the truth to anyone, I should at least allow myself to do so with my own daughter.	ANNA	 And have you any other truths to tell me?	Avventura, L' (The Adventure) 
CLAUDIA	 I see... so it's farewell to the yacht...and farewell to the cruise...	ANNA	 You know, it's terrible to be far away from one another. Really, it's difficult to keep an affair going when one is here and the other is somewhere else. But, at the same time...it's comforting.  Because it gives you a chance to consider what you want and how you want it... but when he's right there before you all the time... well, he's right there... (Then, with a sense of exasperation) Oh, let's go back....	SANDRO	 I'll be right down.	***	 Sandro's apartment is extremely small. Although it contains many books, it has the atmosphere of a place that is very seldom lived in. Sandro has just finished knotting his tie. He closes his suitcase and heads toward the door. He turns back, however, to pick up a towel fallen from the bed. He takes the towel into the bathroom. Then he goes to the door again, opens it, and sees Anna. She appears a little anxious. Without giving Sandro a chance to say a word, she enters the apartment, closing the door behind her. Sandro puts down his suitcase and is about to embrace her, but Anna steps aside and begins staring at him with an intense look upon her face. Taking him all in with her eyes, she examines his suit, his hands, his legs, his shoes. Then her gaze moves back up to his face which she proceeds to scrutinize. Sandro is unable to understand her behavior, so he shrugs and jokingly exclaims:	Avventura, L' (The Adventure) 
SANDRO	 I have a feeling that you're not used to being alone.	CLAUDIA	 (glancing first at Sandro and then at Anna) That seems to apply to you also...	SANDRO	 Don't be so humble.	CLAUDIA	 How should I be ... arrogant?	Avventura, L' (The Adventure) 
PATRIZIA	 Why have we stopped?	RAIMONDO	 (kissing her hand) Lady Patrizia!	CORRADO	 Aren't you going in for a swim, Patrizia?	PATRIZIA	 What makes you think I would even dream of such a thing? Raimondo, why don't you go in for a dip?	Avventura, L' (The Adventure) 
ANNA	 I'd like to find a place where I can get some peace and rest, maybe around here somewhere. I'd like to try...	SANDRO	 What could be more restful than this?... (He opens his eyes and is upright in the water) Excuse me, what is it that you want to try?	GIULIA	 (referring to Anna) Where is she going?	SANDRO	 Ask her.	Avventura, L' (The Adventure) 
SANDRO	 What could be more restful than this?... (He opens his eyes and is upright in the water) Excuse me, what is it that you want to try?	GIULIA	 (referring to Anna) Where is she going?	SANDRO	 Ask her.	SAILOR	 I've always worked on pleasure boats... even though it's more tiring.	Avventura, L' (The Adventure) 
SANDRO	 Anna...	CLAUDIA	 (to Anna) But how did you become aware of it? Did it touch you?	GIULIA	 I would have died.	PATRIZIA	 ... and how ugly they are ... with all those teeth...	Avventura, L' (The Adventure) 
PATRIZIA	 ... and how ugly they are ... with all those teeth...	CORRADO	 (shouting from the shore) What happened?	GIULIA	 (shouting from the prow) There's a shark in the area. Don't move from where you are!	CORRADO	 Who's moving?	Avventura, L' (The Adventure) 
CORRADO	 (shouting from the shore) What happened?	GIULIA	 (shouting from the prow) There's a shark in the area. Don't move from where you are!	CORRADO	 Who's moving?	***	 Inside the cabin, which is partitioned into separate rooms, the general layout is neat and orderly, with a number of prints decorating the walls. Sandro and Anna, followed by Claudia, enter from the outside deck and cross over into Anna's room. It is extremely small, with two cots on one side and a long curtain that partially conceals a bureau from which several dresses are seen hanging.	Avventura, L' (The Adventure) 
ANNA	 Which one shall I wear?	CLAUDIA	 (picking up one of the two dresses) This one is gorgeous.	ANNA	 Then why don't you try it on?	ANNA	 It looks better on you than it does on me... You keep it.	Avventura, L' (The Adventure) 
