KAUFMAN	 - The-position-ds-Staff-^Neurologist.            . Sayer looks like a man who's just learned that everything he * knows about the world is wrong.         f	DIRECTOR	 (pause) A doctor ... doctor. The Director refers to stapled sheets of paper in his hands, Sayer's resume.	DIRECTOR	 The Camel Institute. Tell me                                * about that, anything with patients                          * there? Or . . .                                             *	SAYER	 (burying it) Earthworms. The Director isn't sure he heard right.	Awakenings 
DIRECTOR	 The Camel Institute. Tell me                                * about that, anything with patients                          * there? Or . . .                                             *	SAYER	 (burying it) Earthworms. The Director isn't sure he heard right.	DIRECTOR	 Sorry?                               , >			Awakenings 
DIRECTOR	 Sorry?                               , >	SAYER	 It was an immense project. " I was trying to extract a decigram of myelin from four tons of earthworms. (pause) Really.	SAYER	 I was on it for five years. I was the only one who really believed in it. The rest of them said it couldn't be done.                         t	KAUFMAN	 It can't.	Awakenings 
SAYER	 Well, I know that now.       I proved it. The director offers a slow tentative nod before consulting the resume again.	DIRECTOR	 Maybe before. At Saint Thomas. (Sayer is already shaking his head no) All research. Earth - ?	SAYER	 Pigs brains . . . theyre quite similar to human brains.	DIRECTOR	 (hopefully) Are they?	Awakenings 
SAYER	 Pigs brains . . . theyre quite similar to human brains.	DIRECTOR	 (hopefully) Are they?	SAYER	 Oh, yes . . . three years. As the Director retreats back to the resume, hoping against hope of finding in it something germane, Sayer glances away to a window. He wishes he were outside it. He has no business being here. He should leave.	SAYER	 Excuse me, I made a mistake coming here. Clearly you're looking for someone with more of a clinical background. He stands up to leave. Kaufman stands to see him out.      But the       * director keeps searching the resume.	Awakenings 
SAYER	 I guess not. As they pass an old patient in a wheelchair -	ANTHONY	 Hey, how you doing? (calling to someone down the hall) Dr. Sullivan. Staying on the old patient, he eventually manages, too late -	OLD PATIENT	 Fn ... ie Down the hall in an alcove, Dr. Sullivan glances up long sufferingly from-a.patient~with'.an .Ouij a-board who !.s mumbling,          * complaining, unintelligibly. Anthony and Sayer arrrive.	ANTHONY	 Dr. Sullivan, this is Dr. Sayer;	Awakenings 
MRS. COHEN	 Hes here? She smiles, glances around. Sayer hesitates, uncertain who she means.	SAYER	 I 'm here. (pause) To examine you.	MRS. COHEN	 Oh, no, I ' m leaving today. My son's coming to take me home. (6   Confused, Sayer tries to find a discharge form among the papers on the clipboard. Unsuccessful, he excuses himself from her and crosses the room to a nurse.	SAYER	 Excuse me. Mrs. Cohen's son. He's coming today?	Awakenings 
SAYER	 I 'm here. (pause) To examine you.	MRS. COHEN	 Oh, no, I ' m leaving today. My son's coming to take me home. (6   Confused, Sayer tries to find a discharge form among the papers on the clipboard. Unsuccessful, he excuses himself from her and crosses the room to a nurse.	SAYER	 Excuse me. Mrs. Cohen's son. He's coming today?	NURSE 1	 I wouldn't bet on it, he hasn't for twenty years. The nurse turns away. Sayer crosses slowly back to Mrs. Cohen, trying to find the words to tell her. He doesn't have to; his discomfort does it. Her hand slowly reaches up and pulls the ribbon from her hair.	Awakenings 
SAYER	 What'd I forget?	MISS COSTELLO	 I just wanted to say to you I preferred your explanation. ()   It's unclear whether he knows what she's referring to. r	MISS COSTELLO	 And that I'll look after things for you until you've "settled in." Good night, doctor. She leaves. He stares blankly out after her, then at his dashboard. To it eventually, quietly --	SAYER	 Thank you . . . He glances to his rear view mirror and can see her walking away toward her car. To the reflection --	Awakenings 
SAYER	 * Me? Sayer is taken aback. As is Sidney. One of them, and Sidney believes he knows which, is lying or crazy. ' '  * SAYER '        . I do deny it. It wasn't me. It wasn't real. (pause) We've only just now met, sir. Sidney, suddenly completely disoriented, withdraws.	SIDNEY	 If that's true . . . I'm in a predicament.					Awakenings 
SAYER	 You see me now though.	SIDNEY	 Yes. (y--\                         I   f    it    ha p   pe n s     ag a   in ,     M r. Ti t ch , I v_y                          w   an   ty    ou     to l     oo k     a ro u   nd . If yo u d   on   't    act    u al l   y se     e me     , i f yo u o n ly h   ea   rm    e,     you      c an     be s     u re th a t I ' m n   ot    re   a l,    a nd     y ou     c an     i g no re m e. Sa ye r sm il es , pl ea se d w it h hi s so lu ti on .	SID NE Y	 U nle ss you us e th e P .A. sy ste m. S a ye r' s sm il e fa de s. Si d ne y is s ti ll i n a pr ed ic a me nt a nd Sa ye r has n' t t he a nsw er .			Awakenings 
