ATTENDANT	 (in Japanese) He was delirious. But he asked for you by name. And... (to the Security Guard) Show him.	SECURITY GUARD	 (in Japanese) He was carrying nothing but this... He puts a HANDGUN on the table. The Elderly Man keeps eating.	SECURITY GUARD	 ...and this. The Security Guard places a SMALL PEWTER CONE alongside the gun. The Elderly Man STOPS eating. Picks up the cone.	ELDERLY JAPANESE MAN	 (in Japanese) Bring him here. And some food.	Inception
SECURITY GUARD	 ...and this. The Security Guard places a SMALL PEWTER CONE alongside the gun. The Elderly Man STOPS eating. Picks up the cone.	ELDERLY JAPANESE MAN	 (in Japanese) Bring him here. And some food.					Inception
SAITO	 But surely-to forget...?	COBB	 Information, yes. But an idea? Fully formed, understood? That sticks... (taps forehead) In there, somewhere.	SAITO	 For someone like you to steal?	ARTHUR	 Yes. In the dream state, conscious defenses are lowered and your thoughts become vulnerable to theft. It's called extraction.	Inception
COBB	 Did she tell you, or have you known all along?	SAITO	 That you're here to steal from me? (beat) Or that we're actually asleep?	SAITO	 I want to know who your employer is.			Inception
COBB	 Well, we'll just have to hope Grandma's wrong about that won't we?	JAMES	 (over phone) Daddy?	COBB	 Yes? JAMES (over phone) Is Mommy with you?	COBB	 No. No, we talked about this, James. Mommy's gone. JAMES (over phone) Where? GRANDMA'S VOICE (over phone) Time to go, kids. Say bye-bye-	Inception
JAMES	 (over phone) Daddy?	COBB	 Yes? JAMES (over phone) Is Mommy with you?	COBB	 No. No, we talked about this, James. Mommy's gone. JAMES (over phone) Where? GRANDMA'S VOICE (over phone) Time to go, kids. Say bye-bye-	COBB	 I'll give some presents to Grandpa, okay? Just be good for-	Inception
ARTHUR	 Hasn't shown. Wanna wait?	COBB	 (shakes head) We were supposed to deliver Saito's expansion plans to Cobol Engineering two hours ago. By now they know we failed. Time to disappear.					Inception
ARTHUR	 Stateside.	COBB	 (wistful) ) 'Course. Send my regards.					Inception
ARTHUR (CONT'D)	 (Saito nods) What are you thinking about?	SAITO	 Elephants.	ARTHUR	 Right. But it's not your idea because you know I gave it to you.			Inception
SAITO	 Mr. Cobb...? There is one other thing I could offer you. (Cobb stops) How would you like to go home? To America. To your children.	COBB	 You can't fix that. Nobody could.	SAITO	 Just like inception.			Inception
ARTHUR	 I know how much you want to go home-	COBB	 (sharp) No, you don't.	ARTHUR	 But this can't be done.	COBB	 It can. You just have to go deep enough.	Inception
ARTHUR	 Did it work?	COBB	 (quiet) Yes.	ARTHUR	 Who did you do it to?	ARTHUR	 So why are we headed to Paris?	Inception
ARIADNE	 A work placement?	COBB	 (smiles Not exactly.					Inception
ARIADNE	 (mouth full) Aren't you going to tell me anything?	COBB	 Before I describe the job, I have to know you could do it.	ARIADNE	 Why?			Inception
