ELIZABETH	 Have you voted yet, Mr Crawford?	ARTIST	 (proudly dabbing palette) Yes, Ma'am. I was there when they opened. First in line. Seven o'clock.	COMMENTARY		ARTIST	 And I don't mind telling you, it wasn't for Mr Blair.	Queen, The 
ELIZABETH	 No.	ARTIST	 Still, you won't catch me feeling sorry for you. You might not be allowed to vote, Ma'am.. (a beat) But it IS your Government.	ELIZABETH	 Yes.	ELIZABETH	 I suppose that is some consolation.	Queen, The 
ELIZABETH	 I see. INT. BUCKINGHAM PALACE - BREAKFAST ROOM - DAY (40's), her deputy Private Secretary, pops around..	JANVRIN	 The Prime Minister is on his way, Ma'am.	ELIZABETH	 To BE, Robin. (correcting, terse) Prime Minister to BE.			Queen, The 
JANVRIN	 The Prime Minister is on his way, Ma'am.	ELIZABETH	 To BE, Robin. (correcting, terse) Prime Minister to BE.	ELIZABETH (CONT'D)	 He hasn't asked my permission yet.			Queen, The 
ELIZABETH	 I don't measure the depth of a curtsey, Robin. I leave that to my sister.	JANVRIN	 And I spoke to the Cabinet Secretary who said he was expecting the atmosphere at Downing Street to be very informal. Everyone on first name terms. (a beat) At the Prime Minister's insistence.	ELIZABETH	 What? As in `Call me Tony?'	JANVRIN	 Yes.	Queen, The 
JANVRIN	 Yes.	ELIZABETH	 Oh. I'm not sure I like the sound of that. (a beat) Have we sent him a protocol sheet?					Queen, The 
ELIZABETH	 So..Have we shown you how to start a nuclear war yet?	TONY	 (thrown) No.	ELIZABETH	 First thing we do, I believe. a beat) Then we take your passport and spend the rest of the time sending you around the world.	TONY	 You obviously know my job better than I do.	Queen, The 
TONY	 I can imagine.	ELIZABETH	 ith time, one has hopefully added experience to that education, and a little wisdom - better enabling us to execute our constitutional responsibility. (a pointed addition) To advise, guide and warn the government of the day.	TONY	 Advice which I look forward to receiving.	ELIZABETH	 ell, we will save that for our weekly meetings. a beat) Now, if there's nothing else, I believe we have some business to attend to..	Queen, The 
TONY	 Your Majesty, the country has spoken...and I come now to ask your permiss..   E	ELIZABETH	 (interjecting) No, no, no. It's usual for ME to ask the questions.	ELIZABETH	 Mr Blair, the people have elected you to be their leader. And so the duty falls on me, as your Sovereign, to ask you to become Prime Minister, and form a government in my name.	ELIZABETH	 Generally, this is where you say `yes.'	Queen, The 
CHERIE	 (mimics QUEEN's manner) "Thank you so much for coming. Now bugger off."	TONY	 I know. What was all that about?	CHERIE	 Diana. Apparently she's got a new boyfriend.			Queen, The 
RENCH REPORTER	 (in French) ..the Princess of Wales and Dodi Fayed returned to Paris earlier today..	ERMAN REPORTER	 ..where they visited a local jewellery shop where unconfirmed reports suggested Mr Fayed had been looking at engagement rings..					Queen, The 
JANVRIN	 (into PHONE) Robin Janvrin.	ANVRIN (CONT'D)	 What?	ANVRIN (CONT'D)	 Right. I see.			Queen, The 
QUEEN MOTHER	 That's the latest?	PRINCE PHILIP	 I don't know. I can't hear.. (indicates TELEVISION) Everyone's shouting!					Queen, The 
CHARLES	 Perhaps now you might consider whether it's still an extravagance to bring back the mother of the future King of England in one of our planes?	ELIZABETH	 (after a long pause) All right.	ELIZABETH	 (to FOOTMAN) I don't want the boys to see the news and get upset. First thing tomorrow morning, I want the radio taken out of their bedroom, and the television taken out of the nursery.			Queen, The 
JANVRIN	 I'm sorry to disturb, Ma'am, but I've the Prime Minister, for you. From his constituency.	QUEEN MOTHER	 (privately rolls eyes, without looking up from newspaper) Lucky you.	ELIZABETH	 Thank you, Robin. I'll take it next door. T he QUEEN gets to her feet and walks out into..			Queen, The 
TONY	 I don't suppose anyone has had time to think about the funeral yet?	ELIZABETH	 We've spoken to the Spencer family, and it's their wish.. (a beat) ..their express wish, that it should be a private funeral. With a memorial service to follow in a month, or so.	TONY	 Right.	ELIZABETH	 Given that Diana was no longer a member of the Royal Family we have no choice but to respect their wishes.	Queen, The 
TONY	 You don't feel that in view of her high profile and popularity.. ( choosing his words carefully) ...it might be an idea to pay tribute to her life and achievements? (a beat) Or even just to her as a mother?	ELIZABETH	 As I said. That's the Spencers' wish.	TONY (CONT'D)	 And the public, Ma'am? The British People?			Queen, The 
